モバP,今回はあずきP以下P
あずき,せっかくの浴衣の日、浴衣をみんなで着よう大作戦だったのに……
瑛梨華,まぁまぁ、そんな時は冷たいものを口にすればすっきりNE☆
P,そうだな。それに本来、七夕は旧暦の15日にやるのがお盆だからと、繰下になったのも原因だからな
あずき,そうなの？
瑛梨華,なるほど。いい話のネタをもらったWA･YO
P,というわけで、瑛梨華を冷し中華。あずきをカルピスに回ってもらおうと思うがどうだ？
瑛梨華,MA･KA･SE･TE☆
あずき,カルピスごくごく大作戦だよ！
ありす,あとはギフトの日とかポニーテールの日とかもありますね
千枝,それからサイパン玉砕に駆逐艦玉波沈没とか
由愛,それと……栗林忠道中将や伊藤久男さんの生まれた日……です
柚,じゃあ、あずきちゃんは浴衣姿でカルピスを飲むんだね
あずき,そこで少しだけどフリスクアピール大作戦だよ
穂乃香,私よりはぴにゃこら太を……
忍,穂乃香ちゃん……
柚,ま、まぁ、冷やし中華をズルズルやって、タレが浴衣に飛び散るよりはいいカナ
穂乃香,ぴ、ぴにゃこら太を汚さないで！
忍,で、やっぱりポニーテールにするわけ？
あずき,うん。うなじも見えてセクシー大作戦も成功かな？
柚,どこかの初代シンデレラデスカ……
愛梨,くちゅん！
藍子,わわっ、大丈夫ですか？
志保,やっぱり全裸で寝るからだよ……
愛梨,えぇ～。でも、プロデューサーさんが喜ぶからぁ……
藍子,じゃあ風邪じゃないのかな？
志保,きっと智絵里ちゃんが噂をしているのよ
智絵里,違うよー
愛梨,ほら、違うって
志保,って……そうすると消去法で風邪ってことになるわね
藍子,じゃあ、愛梨ちゃんに服を着せちゃいましょう
愛梨,うわーん！
唯,ねぇねぇ、ナンデ愛梨さんは全裸なんだろうね？
芳乃,さぁー？
そら,きっと、べりーほっとだからだよ☆
柚,で、里美チャンが、カルピスの原液にガムシロップとメープルシロップを混ぜ始めちゃって
忍,うえー
あずき,口の中が甘ったるくなるよー
穂乃香,そういえば
あずき,ん？
穂乃香,あずきちゃんは、プロデューサーさんに告白とかしないんですか？
あずき,ぶふぅー！！
柚,……忍ちゃん、拭くモノある？
忍,はい
あずき,えっ！えと、その、あずきがプロデューサーにだなんて
忍,あー、見てられないね
柚,普段からセクシーセクシー言っている人がこれだもんネ
あずき,(///)
穂乃香,例えば、撮影が終わった後、暑いとか理由をつけてプロデューサーさんの部屋に潜り込むとか
あずき,…………でも、あずきは……私はまだアイドル続けたいし
穂乃香,あ……
忍,……
柚,あずきチャン
あずき,はい？
柚,ハジメテは痛いから気をつけてね
あずき,え？
忍,えっと……柚ちゃんって(///)
穂乃香,もう……(///)
柚,うん。もう済ましちゃったよ
あずき,そんな……私より柚ちゃんは年下なのに……
忍,はい、ストッープ！……穂乃香ちゃんがトリップしちゃってるから、この話題は取り止めね
穂乃香,ﾀｽｹﾃﾋﾟﾆｬｺﾗﾀ、ﾀｽｹﾃﾋﾟﾆｬｺﾗﾀ、ﾀｽｹﾃﾋﾟﾆｬｺﾗﾀ、ﾀｽｹﾃﾋﾟﾆｬｺﾗﾀ、ﾀｽｹﾃﾋﾟﾆｬｺﾗﾀ……
柚,あちゃー。というわけだから……ねっ
あずき,うん……ありがとう
瑛梨華,せっかくの七夕なのに、また曇りDA･KE･DO
あずき,あずき達みたいに栄養取って暑い夏も乗り切ろう！
瑛梨華,お疲れ様NE
あずき,お疲れ様です
瑛梨華,じゃあ、シャワー浴びて帰ろうKA
あずき,はい！
瑛梨華,♪～
あずき,……
瑛梨華,気にNA･RU？
あずき,は、はぃ……ぇ
瑛梨華,あははは、気にしないから。このグラマーなボディーはお気に入りDA･KA･RA･NE
あずき,はぁ……あずきも結構セクシーの方にはいけると思ったけど……自信なくしちゃうよ
瑛梨華,？……もしかして、あずきちゃんもプロデューサーラブ派KA･SHI･RA？
あずき,い、いぇ……その……あの……
瑛梨華,HAHAHA、隠さない隠さない！
あずき,痛い痛い！
瑛梨華,そっかぁ……
あずき,え？。それって……
瑛梨華,本来、魔法使い……つまりプロデューサーは、私たちシンデレラ候補生を、舞踏会まであげてくれるまでのお仕事
あずき,はい……
瑛梨華,ま、魔法使いさんの魔法も一降りで舞台には立てないから、日頃のレッスンがあるんだけどねw
あずき,そう言って瑛梨華さんは笑った。瑛梨華さんはそこまでわかっててここまで……。私は……アイドルになろうと思った理由が……いっぱい服が着られるという極単純な理由
瑛梨華,あずきちゃん！？
あずき,ごめんな……さい……ごめんなさ……ぃ。んっ？！
瑛梨華,いいんだよ。人を好きになるって、時には自分のすべてを……秤かけなきゃいけない時だってあるもん
あずき,うぅ……(///)
瑛梨華,まぁまぁ、照れない照れない。あずきちゃんの本音をわかったしNE☆
あずき,うぅ(///)
瑛梨華,DA･KA･RA････
あずき,そういって、取り出した手帳には一枚のプリ○ラ
瑛梨華,そ、実は私自信、いけない子NA･N･DA
あずき,えと……えっと
瑛梨華,……人を好きになるとわがままになるんだよね。独占したくなるし、いつも隣にいないと寂しいし。で、些細なことで喧嘩もするし
あずき,瑛梨華さ…ん
瑛梨華,ここまで言っちゃえばWA･KA･RU･NE
あずき,言葉が私を引っ張る
瑛梨華,じゃあ
あずき,はいっ！。告白大作戦のゼロアワーだよ！！
瑛梨華,ようやく手に入れたのNE
次回は18禁ペド凌辱○だし同人ソフトネタの話なので,戦闘シーンあり
