モバP2,※以下P表記
晶葉,今回好感度スカウターという物を作ったので、実験に付き合って欲しいんだ
P,好感度スカウター？
晶葉,あぁ。これを装着して相手を見ると、装着者に対しての対象者からの好感度を数値化して見る事が出来る
P,へぇー、凄いな
晶葉,装着者と面識が無い者は0、最高値は100で最低値がマイナス100だ
P,面白そうだな。前の人の代わりに来て暫く経つし、確かに皆からどう思われてるかも気になるな……よし、やってみようかな
晶葉,よし！ならば、早速これを付けて……
P,これで相手を見れば良いんだな？
晶葉,あぁ
P,じゃあ早速、晶葉の俺に対する好感度は……。72か……これって中々高いんじゃないか？
晶葉,うむ……70以上はかなり親しい友人といった所だ
P,おぉ、そうか！嬉しいな
晶葉,君は前のプロデューサーと同じで何かと私の実験に付き合ってくれるし、感謝している……アイドルも楽しいしな
P,そう言ってくれると、有難いな……さて、それじゃ他のアイドルの子達も見てみるかな
晶葉,よし、では行くか。おっ、あそこにまゆがいるぞ
P,いや……まゆは見なくても、どう考えても－100だろ……
晶葉,いや……恐らく違うだろう
P,えぇ、本当か……？。本当だ
晶葉,だろ？
まゆ,晶葉ちゃん、おはようございまぁす
晶葉,おはよう
P,おはようまゆ
まゆ,……おはようございます……。晶葉ちゃん、また何か実験ですかぁ？
晶葉,ああ、そうだ
まゆ,うふ♪楽しそうですねぇ……今度、まゆにも何か手伝わせて下さいね？
晶葉,ああ、頼む
P,……なぁ、まゆ
まゆ,……なんですか、お仕事の話ですか？
P,……いや、えっと……
まゆ,プロデューサーさん、私が前に言った事をもう忘れちゃったんですか？
P,う……あ、その……
まゆ,私はPさん……あの人以外のプロデューサーなんて認めません。私がまだここに残っているのは、いつか必ずあの人が帰ってくると、信じているからです。ですから必要最低限、お仕事以外なら話かけないで下さいと言いましたよね？
P,……ああ、そうだったな……ごめんな
まゆ,……それじゃ、私はレッスンがありますので……失礼します
P,晶葉、何でまゆの数値が－100じゃないってわかったんだ？
晶葉,実は－100は特殊なんだ
P,どういう事だ？
晶葉,まゆは確かに君の事を嫌っているが、しっかり仕事もするし、仕事関係なら話したりもするだろ？
P,そうだな
晶葉,例えばこれが、仕事であれ何であれ君が関わること全てに嫌悪感を抱くとか……はたまた人格等も変わってしまうだとか……。どんな風になるかはわからないので、一概には言えないが……言ってしまえば、そういう普通では無い状態が－100となる。だからまゆは、－100ではないと思った訳だ
P,じゃあ、－100なんて数値はまず出ないんだな
晶葉,いやいや、－100なんて数値を出す奴は普通じゃないからな。実は一見普通に仲良くしてる人が実は……なんて事もあるかも知れないぞ？
P,おいおい、冗談でもそんな怖い事言わないでくれよ……洒落にならん
晶葉,ははは、悪い悪い
P,さて次は……
晶葉,おっ、あそこに泰葉がいるぞ
P,本当だ、どれどれ？。ん？
晶葉,あっ
P,……止まっちゃったんだけど
晶葉,……止まっちゃったな
P,どういう事だ？
晶葉,数値－101超により計測不可能、カンストという事だ
P,え……マジで？
晶葉,ああ……マジだ
P,…………
晶葉,……あ、取り敢えず私はこれを直してくるな……
P,おはよう、泰葉
泰葉,おはようございます
P,……なぁ、突然で悪いんだけどさ……俺の事どう思ってる？
泰葉,……どうしたんですか？急に
P,実は晶葉と実験で好感度スカウターっていう、それで見た人からの装着者への好感度がわかる機械を使ったんだけど……
泰葉,……そうですか……あの人が帰ってくるまで、あまり波風は立てたくなかったので隠してたんですけどね……。正直に言うなら、不愉快極まりないです。あの人と見た目も性格も考え方もソックリという事で、あの人の代わりに採用されたみたいですけど、冗談じゃありません。あの人は、真っ黒に塗り潰された闇の中に居る私に光をくれました……あの人は、深い深い絶望のどん底に居る私に希望をくれました。私がまだ芸能界にいられるのも、テレビに出られるのも、雑誌に載れるのも、歌えるのも、踊れるのも、今この場に立っていられるのも、こうして生きていられる事すらも、全てあの人のお陰です。あの人以外のプロデューサーなんて認めません……私のプロデューサーは、後にも先にも今までもこれからも、あの人だけです。あの人以外をプロデューサーと呼ぶなんてヘドが出ます。わかってもらえたら、今後の仕事の話は、全てちひろさんか他のアイドルの人達伝いにお願いします。出来るなら、あなたに近付く事すらしたくありませんので。それでは、レッスンがあるので……
P,…………
晶葉,プロデューサー、直ったんだが……
P,……そうか……
晶葉,……どうする？止めるか？
P,……いや、やるよ……きっと、もう他に嫌ってる人なんて居ないって！
晶葉,おおっ！やってくれるか、ありがとう！おっ、あそこに春菜がいるぞ
P,本当だ、どれどれ？。えっ
晶葉,えっ
P,……止まっちゃったんだけど
晶葉,……止まっちゃったな
P,…………
晶葉,……あ、取り敢えず私はこれを直してくるな……
P,おはよう、春菜
泰葉,おはようございます
P,……なぁ、突然で悪いんだけどさ……俺の事どう思ってる？
春菜,……なんですか？急に
P,実は晶葉と実験で好感度スカウターっていう、それで見た人からの装着者への好感度がわかる機械を使ったんだけど……
春菜,……そうですか……あの人が帰ってくるまで、あまり騒ぎにしたくなかったから隠してたんですけどね……。それじゃあ……
P,おいおい、急にどうしたんだよ？お前が眼鏡を外すなんて……
春菜,だって、こうすればプロデューサーの顔が見えなくなるじゃないですか。プロデューサーの、あの人ソックリの顔を見る度に……嫌でも居なくなってしまったあの人の事を思い出して辛くなるんです……悲しくなるんです……苦しくなるんです……泣きたくなるんです……死にたくなるんです……。……あ、そうだ。プロデューサー、明日から眼鏡じゃなくてコンタクトにしてきて下さい
P,……何で……？
春菜,プロデューサーが今かけてる眼鏡……私があの人にプレゼントした物と同じモデルなんです……それが尚更、不快なんです。眼鏡という共通点だけでも嫌なのに、更に同じモデルだなんて吐き気がします。だから、お願いですからコンタクトにしてきて下さい
P,……わかった
春菜,良かった……じゃあ、私は帰りますね！明日以降の予定は、全部人伝いにお願いします。それじゃ
P,…………
晶葉,プロデューサー、直ったんだが……
P,……そうか……
晶葉,……どうする？止めるか？
P,……いや、やるよ……きっと、もう他に嫌ってる人なんて居ないって！
晶葉,おおっ！やってくれるか、ありがとう！おっ、あそこに文香がいるぞ
P,本当だ、どれどれ？。えっ
晶葉,えっ
P,……止まっちゃったんだけど
晶葉,……止まっちゃったな
P,…………
晶葉,……あ、取り敢えず私はこれを直してくるな……
P,おはよう、文香
文香,おはようございます……
P,……なぁ、突然で悪いんだけどさ……俺の事どう思ってる？
文香,……急にどうしたんですか……？
P,実は晶葉と実験で好感度スカウターっていう、それで見た人からの装着者への好感度がわかる機械を使ったんだけど……
文香,……そうですか……あの人が帰ってくるまでは……隠しておきたかったのですが……。私がプロデューサーさんの事を……どう思っているのか知ってしまったのでしたら……どうかあまり近寄らないでもらえますか……？。せめて……本を読んでいる時だけは……邪魔をしないで下さい……。ほかの時は我慢します……二人きりでの打ち合わせだって我慢します……お仕事に付いてくるのも我慢します……名前で呼ばれるのだって我慢します……話しかけてくるのだって我慢します……。ですから……お願いですから……どうか本を読んでいる時だけは……邪魔をしないで下さい……。本を読んでいる時だけが……唯一、あの人の事を思い出さずに……泣かずにいられるんです……。ですから……お願いします……
P,……わかった
文香,それでは……
P,…………
晶葉,プロデューサー、直ったんだが……
P,……そうか……
晶葉,……どうする？止めるか？
P,……いや、やるよ……きっと、もう他に嫌ってる人なんて居ないって！
晶葉,おおっ！やってくれるか、ありがとう！おっ、あそこにありすがいるぞ
P,本当だ、どれどれ？。えっ
晶葉,えっ
P,……止まっちゃったんだけど
晶葉,……止まっちゃったな
P,…………
晶葉,……あ、取り敢えず私はこれを直してくるな……
P,おはよう、ありす
ありす,おはようございます
P,……なぁ、突然で悪いんだけどさ……俺の事どう思ってる？
ありす,……急になんですか？
P,実は晶葉と実験で好感度スカウターっていう、それで見た人からの装着者への好感度がわかる機械を使ったんだけど……
ありす,……そうですか……あの人が帰ってくるまで、隠しておこうと思ってったのに……。……
P,……なぁ、あり―
ありす,橘です。私の事を名前で呼んで良いのは、家族を除いたら唯一人……あの人だけです。あなたからは話しかけられるのだって嫌なのに、名前で呼ばれるなんて気持ち悪くて吐きそうです。もしこれから、仕事などでどうしても私を呼ばないといけない時は、絶対に橘と呼んで下さい……間違っても名前では呼ばないで下さいね
P,……わかった
ありす,それじゃ、私はこれで……
P,…………
晶葉,プロデューサー、直ったんだが……
P,……そうか……
晶葉,……どうする？止めるか？
P,……いや、やるよ……きっと、もう他に嫌ってる人なんて居ないって！
晶葉,おおっ！やってくれるか、ありがとう！おっ、あそこに日菜子がいるぞ
P,本当だ、どれどれ？。えっ
晶葉,えっ
P,……止まっちゃったんだけど
晶葉,……止まっちゃったな
P,…………
晶葉,……あ、取り敢えず私はこれを直してくるな……
P,おはよう、日菜子
日菜子,むふふ……おはようございます
P,……なぁ、突然で悪いんだけどさ……俺の事どう思ってる？
日菜子,……むふ……急にどうしたんですかぁ？
P,実は晶葉と実験で好感度スカウターっていう、それで見た人からの装着者への好感度がわかる機械を使ったんだけど……
日菜子,……そうですかぁ……あの人が帰ってくるまで、内緒にしておこうと思ってたんですけどね……。日菜子がどう思ってるかわかっちゃったんでしたら、早くどっかに行ってくれませんかぁ？日菜子は妄想で忙しいんですよぉ。妄想なら……あの人はいつでも日菜子を迎えに来てくれます、いつでも日菜子の頭を撫でてくれます、いつでも日菜子に甘い言葉を囁いてくれます、いつでも日菜子にキスをしてくれます、いつでも日菜子を抱き締めてくれます、いつでも日菜子を幸せにしてくれます。妄想の時だけは、辛い事も悲しい事も苦しい事も全部ぜんぶぜぇんぶ忘れられるんです。なので、早くどっかに行ってくれませんかぁ？妄想の邪魔なんです……むふ……むふ、むふふ……むふふふ
P,……そうか、ごめんな……
日菜子,むふ、むふ……むふふ……むふふふふ、むふ……むふふふふふふふ……むふふふふふふふふふふふふふふふふふふ、むふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふふ
晶葉,プロデューサー、直ったんだが……
P,……そうか……
晶葉,……どうする？止めるか？
P,……いや、やるよ……きっと、もう他に嫌ってる人なんて居ないって！
晶葉,おおっ！やってくれるか、ありがとう！おっ、あそこに夕美がいるぞ
P,本当だ、どれどれ？。えっ
晶葉,えっ
P,……止まっちゃったんだけど
晶葉,……止まっちゃったな
P,…………
晶葉,……あ、取り敢えず私はこれを直してくるな……
P,おはよう、夕美
夕美,おはようございます！
P,……なぁ、突然で悪いんだけどさ……俺の事どう思ってる？
夕美,……急にどうしたの？
P,実は晶葉と実験で好感度スカウターっていう、それで見た人からの装着者への好感度がわかる機械を使ったんだけど……
夕美,……そうなんだ……あの人が帰ってくるまで、隠しておくつもりだったんだけどな……。私がプロデューサーの事を、どう思ってるかわかったのなら、あんまり近寄らないでね？。今、お仕事やレッスンしながら、あの人がいつ帰って来ても直ぐに渡せる様にアイビーやクワの果実、イカリソウにケマンソウにハナビシソウでしょ？それからパンジーとひまわりとスグリとモモにホトトギスと、他にも色々あるけど……。それらを枯らさないようにするのに、すごい神経使ってるの……だから極力近寄らないでね
P,……わかった
夕美,あ、待って……あんまりにもヒドイ顔してるから、これあげるね
P,えっ？俺にくれるのか？
夕美,うん、はい
P,……ありがとう……因みにこれは？
夕美,スノードロップ……花言葉の意味は、自分で調べてね。それじゃぁね
P,…………
晶葉,……もう、事務所にアイドルは居ないみたいだな……
P,……そうだな……
晶葉,…………
P,……結局、俺は邪魔者でしかなかったんだな……
晶葉,なっ、そんな事は無い！君は突然の前プロデューサーの失踪。それとほぼ同時に起きたニュージェネレーションやトライアドプリムス等のユニットメンバーを含めた、総勢21人のアイドルの突然に引退で大変だったこの事務所を立て直したんだ！。少なくとも、私は君を邪魔者だなんて思ってないし感謝もしている！
P,晶葉……
晶葉,それに……ちひろ……そう！ちひろはあの事件で最も大変だった人間だ！それを助けた君には、きっと好感を持っているに違いない！
P,ちひろさん……そうか、ちひろさんならきっと……！
ちひろ,ただいま帰りましたー！買い出し長引いちゃってすみません、道がすごい混んでて……
P,ああっ！ちひろさん、ちょうど良い時に帰ってきましたね！
ちひろ,どうかしたんですか？
P,ちょっと待ってて下さい、すぐに済みますから……晶葉、直ってるか？
晶葉,ああ！
P,ありがとう！。さて、ちひろさんの俺への好感度は……。えっ
晶葉,えっ
ちひろ,プロデューサーさん、何してるんですか？何ですか、その機械？
P,…………え？
