モバＰ,以降Ｐ表記、雑なフリありがとう
あきら,♯真面目な話♯出来た件
Ｐ,♯新人アイドルが辛辣な件
あきら,まぁそれは冗談だという事にして
Ｐ,冗談では無いんだ？
あきら,要はこの事務所のアイドルさんたちでチャンネル作って何か動画配信とかしようって話？
Ｐ,流石、話が早くて助かる。ほら、最近巷ではよ、よ…よーつべ？ってのが流行ってるだろ？だからウチも流行には便乗しようって話になってさ
あきら,どこから突っ込めば
Ｐ,既に何人かには話をしておいてあってさ、幾つか動画を撮ってきて貰ったんだよ。で、事務所の公式チャンネルから配信に使えそうなものをあきらにチョイスして貰いたいんだけど、どう？
あきら,はぁ、つまり検閲デスか
Ｐ,間違ってはないけどもさ
あきら,別にいいですよ。事務所の皆さんには自分の配信にも協力して貰ったりしてるし
Ｐ,そっか、助かる。じゃあ早速お願い出来るか？
あきら,ん
Ｐ,ちょっと待ってな。今再生準備するから…あ、コーラとポップコーン持ってこないと
あきら,映画鑑賞じゃないんだから
Ｐ,あきらはコーラとメロンソーダどっちがいい？メロンソーダは美玲のだけど
あきら,♯コーラ一択♯まだ死にたくない
Ｐ,お待たせ。それじゃあ上から順番に観て行くぞ。忌憚のない意見を頼むな
あきら,もうちょい詰めてください。狭い
Ｐ,俺にじゃなくてだね。えーっと、まずはこれか…。ああ、夢見のやつだな
あきら,♯初球大暴投♯幸先不安
Ｐ,ハハッ、ある意味楽しみだったりもする
あきら,否定はしませんけど
Ｐ,んじゃ、スタート。何も考えずに流行に便乗したなアイツ
あきら,らしいと言えばらしいデスね
Ｐ,まぁ何か考えて行動する夢見なんて夢見じゃない気もするけど
あきら,物凄い言われよう。まぁ否定はしませんけど
？,直
Ｐ,…
あきら,…
Ｐ,どう？
あきら,アウト
Ｐ,だよなぁ
あきら,いや、何なんデスかあれ。最初から色々酷かったけど特に最後の…
Ｐ,あ、もちろん夢見はこの後黄金のリンゴを口の中に詰め込まれて回復したから心配いらないぞ
あきら,♯心配ポイントが違う♯撮影者お前か
Ｐ,こんなもんネット上に流したらこんがりふっくら炎上するに決まってるだろ。やるなら自分の垢でやりなさいな
あきら,やる事自体は止めないんデスね
Ｐ,何かさ、最近思うんだよ
あきら,はい？
Ｐ,炎上してない夢見って夢見じゃなくね？
あきら,慰めるの面倒がってるクセに
Ｐ,よし、んじゃ次行くか次
あきら,ちょい見難いんでもう少し寄って
Ｐ,ふぐぅ狭苦しい。また安易に流行に便乗しよってからに
あきら,需要があるから流行なんだし良いんじゃないデスか？
Ｐ,それもそうだ。とにかく観てみてくれ。…
あきら,…
Ｐ,どう？
あきら,アウト
Ｐ,だよなぁ
あきら,何なんデスかあれ。キャップどころかボトルの飲み口からスパッといってるじゃないデスか
Ｐ,有香の空手は神心会レベルの超実践型だからなぁ
あきら,♯そういう問題では♯神心会。有香さんは１００００歩譲って、智絵里さんのアレは何
Ｐ,ちえりんチョップの事か？
あきら,いやそんな名称がある事自体知りませんけど
Ｐ,聖剣エクスカリバーとかベルリンの赤い雨とか言われる場合もあるけど
あきら,だから知りませんけど
Ｐ,まぁ、この２人は本気をだしたらもっと凄いんだけどな
あきら,アイドルとしてですよね？その凄いって意味は
Ｐ,しかしペットボトルの蓋ちょっと変わった開け方するだけの事が大流行してるんだなぁ。芳乃なんて手を使わずに開けるぞ？
あきら,事務所随一のトリックスターを基準として語られてもリアクションに困るんですけど
Ｐ,よし、気を取り直して次行くぞ次
あきら,待って座り心地がいまいち…あ、どぞ
Ｐ,お前ね人をだねソファみたいにだね
あきら,お、定番中の定番キタ
Ｐ,コントローラー握ってるのが美波って時点でもう察した。…
あきら,…
Ｐ,どう？
あきら,アウト
Ｐ,だよなぁ
あきら,子供みたいにムキになって顔真っ赤にしてベソかいてる美波さんは需要アリアリでしょうけど
Ｐ,流石にそんな姿をネットに流すのは紳士として心が痛むな
あきら,紳士！あはははは！
Ｐ,何が可笑しい！！
あきら,配信の大定番、ゲーム実況もこの事務所の手に掛かるとこんなスチャラカな事になるんデスね
Ｐ,誰の仕業か知らないけど終始カメラの向きがゲーム画面じゃなくて美波に向けられてたのも明確な意図を感じるな
あきら,容疑者だらけで犯人特定不可能ぽい
Ｐ,んじゃ、次行くぞ次。１つくらい使えるネタがあって欲しいんだけどなぁ
あきら,この姿勢苦しいんでもっとそっち行ってくれません？あ、ここでいいや
Ｐ,♯新人アイドルにクッション扱いされてる件
あきら,♯定番キタコレ♯王道中の王道
Ｐ,でも映ってるのがドヤ顔の蘭子ってのが何とも言えない
蘭子闇に飲まれよ！,お疲れ様です！
蘭子今宵のサバトの幕開けよ。顕現せよ！サラマンドラの加護を受けし産まれし禁断の果実よ！,はい、じゃあ今日は肉汁たっぷり熱々ハンバーグを作りたいと思います♪
