このときに俺は笑顔で,いつまでも待つさ。ずっと一緒だよ
P,はぁぁぁあああ……
ちひろ,どうしたんですか、そんな長いため息なんか吐いて
P,いやちょっと割と真剣な悩みがありまして、もうどうしたらいいのやら
ちひろ,Pさんっていつも悩みなさそうに見えるんですけど、確かにここ最近おかしいですね。何かありましたか？
P,さらっと酷いこと言われた気がしますけど……あーもうどうしよう
ちひろ,……本当に大丈夫ですか？良かったら相談乗りましょうか？金銭的な問題以外なら
P,抜け目ないですね。でも金銭的な問題だったらどんなによかったものか……
ちひろ,そこまで重い問題なんですか……？
P,どうしようかな、いや、うん悩んでても仕方ないよなあ……。すみません、ちひろさん、相談乗ってもらえませんか……
ちひろ,まあ、私に手伝える範囲なら
P,ちょっと長くなるけど大丈夫ですかね……あと誰にも言わないって約束してもらえますかね
ちひろ,いいですよー。いつもたくさんスタドリ買ってもらってますので♪。長くなるならどこか飲みに行きますか？
P,それは遠慮しておきます。家に晩飯あるんで……
ちひろ,晩飯……？
P,あ、ちょっと待ってくださいね、一本だけ遅くなるってLINEしとくんで……
ちひろ,ははぁ……噂は本当だったんですね
P,はい？
ちひろ,Pさん、ずばり、彼女できましたね？
P,はぁあああああああああああああああ……
ちひろ,えっえっそこはｷﾞｸｩｯってするところじゃないですか？
P,彼女だったらどんなによかったものか
ちひろ,もしかしてホｍ
P,どこかの事務員に毒されてないでください。状況はもっと深刻なんです
ちひろ,？？？
P,今、俺は家に晩飯があり、今日は遅くなるかもだから先に食べておいてってLINEしました
ちひろ,やっぱり彼女じゃないです
P,違うんです。そのLINEの相手は……その、ありすなんです
ちひろ,は？ありすってPさんの担当してる、あの橘ありすちゃん？
P,その橘ありすちゃんです
ちひろ,110番直と早苗さんをワンクッション置いて通報のどちらが良いですか？
P,どっちも嫌です！話を聞いて聞いてください！
ちひろ,辞世の句はそれでいいですか？
P,逮捕どころか殺されかかってるじゃないですか俺！違うんですってば！ほら、結構前にジューンブライドイベントでありすがウェディングドレス着るイベントがあったじゃないですか
ちひろ,ありましたねー。みんな可愛かったですねー。そしてみんな結婚前にウェディングドレス着たので婚期が遅れますねー
P,さらっと怖い目で怖いこと言わないでください。その時にですね、ありすに変なこと聞かれたんですよ
ちひろ,変なこと？
P,待てますか？いいから待てるか答えてくださいって
ちひろ,うわぁ……
P,それで俺はこう解釈したわけですよ。まるで愛の告白みたいだけど、こんな親くらいの年の差の俺にそんなこと言うわけわけないから、このドレス姿が似合うまでプロデューサーでいてくれますか、とかそんな意味かなー、って
ちひろ,だいぶ無理がありますね……それでなんて答えたんです？
P,いつまでも待つさ。ずっと一緒だよって
ちひろ,やっぱり通報していいですか？
P,違いますってば！！でも、嫌な予感はしてたんですけど、まさか本気とは思えなくて。その翌々週に、俺は思い知りました。誰だよこんな朝っぱらから。ありす……？どうした、こんな朝早くから
ありす,おはようございます、あなたのありすです。通い妻にきました
P,あれ、今日朝から予定あったっけ？
ありす,昨日、明日からPさんの家に行きますね、ってLINEしたじゃないですか
P,いやしかし朝って……
ありす,今日から通い妻なので朝ご飯を作るくらい当たり前なのでは？
P,いやその通い妻ってどこから出てきた。そしてそのワードをここで連呼されるとご近所さんに噂されるからやめい
ありす,むぅ……とりあえず寒いので中に入っていいですか
P,まあ、いいけどさ。すまん、朝から生クリームとかいちごとかの甘み全開は勘弁してほしいんだが
ありす,私をいちごに取り憑かれた人みたいに言わないでください。ここ最近料理をちゃんと勉強してきたんですよ？。キッチン借りますね
P,あ、おい
ありす,――はいどうぞ。やはりPさんが起きてからだと簡単なものしか作れませんね。味噌汁もほぼ即席みたいな感じですし……
P,いや、でも普通に美味いぞ
ありす,えへへ、そう言ってもらえると嬉しいです
P,……っていうかなんで急に朝食なんか作りに？
ありす,だって……Pさん約束してくれたじゃないですか。4年後まで、私が結婚できる歳まで待ってくれるって
P,
ありす,だから、それは、その、結婚を前提にしたお付き合いを、OKしてくれたって、ことですよね？
P,ってことから始まりまして
ちひろ,一般的に見たら通学中の小学生を誘拐したと言っても通じる事案ですね
P,一応プロデューサーですから！セーフですから！
ちひろ,それで、夜も晩ご飯までありすちゃんが作るようになったと。いいじゃないですか、可愛くて
P,それだけだったら悩みませんよ……それがですね……。まさかありすのやつ、待ってたりしてないだろうな……
ありす,プロデューサー、遅いです
P,なんでいるんだよ……
ありす,外は暑かったので、他の住人が出てきたタイミングでオートロックを突破しました
P,住居不法侵入じゃね？
ありす,４０５号室の鈴木さんが今度から中に入れてくれるようになったので不法侵入ではないです
P,お隣のおばちゃんじゃねえか
ありす,それよりもです。今日は１８時から最後のアポで２０時くらいには全部予定が終わるはずでしたよね？今２２時半なんですけど
P,アポが長引いたんだよ。それよりなんで俺のスケジュール把握してるの
ありす,プロデューサーさんのスケジュール管理アプリのアカウントのパスワード、デスクに貼ってあるじゃないですか。それでログインしました
P,知ってるか？それ犯罪なんだぞ
ありす,不正アクセス防止法ですよね？それくらいネットで調べたらわかりますよ？。でも将来の夫婦なんですから、それくらいじゃ不正アクセスにならないですよ。むしろあらかじめ教えておいてください。何かあったときに困ります
P,という感じで毎日家に来て家事をして帰る、みたいな日が三日間続きました
ちひろ,私はどちらを通報すればいいのでしょうか。とりあえずプロデューサーさん？
P,今の話に俺のどこが通報される要素あるんですかね
ちひろ,あれ、でも三日間？
P,はい、甘いのは三日間で終わりました。んん……？
ありす,もう昨日夜更かししたからって仕事遅刻しますよ
P,AI搭載型タチバナか……？
ありす,何を寝ぼけたこと言ってるんですか、あなたの橘ありすです。今はまだ橘ですけど将来的に橘じゃなくなるのできちんとありすと呼んでください
P,………………ってなんでお前いるの
ありす,何言ってるんですか、普通に合い鍵で入ってきただけです。朝ご飯できてるので早く起きてください
P,そういえば良い匂いするなー
