水本ゆかり,ふぅ……
ゆかり,レッスンは午前まで……。時間ができてしまいましたね。このままどなたかが来るのを待ってもいいですが……。いえ、一度、寮まで戻りましょうか。……あれ？これは……。雑誌……？どなたのでしょうか？。そういえば、よくプロデューサーさんや他のみなさんに、”流行りは抑えておいたほうがいい”と言われてしまいます……。他の方の物を勝手に読むのは気が引けますが……。……。……少しだけ。……。……ふむふむ。なるほど……このようなファッションが……。インスタ映え……タピオカ……未知の世界ですね……。……ああ、すっかりと読みふけってしまいました。そろそろ……あら。京都……。実際に行くなら、紗枝ちゃんに聞いたほうが早そう……なんて。おすすめのお寺……綺麗な風景が撮れるスポット……スイーツが美味しいお店……。はっ……また読んでしまいました……あれ？。ウラ……？どういうことでしょう……。ふむふむ……？。京都人の言葉をそのまま受け取ってはダメ……！？。京の文化は察する文化……！？。う、裏の意味に気付けないと関係悪化の可能性も……！？。……。で、でも、紗枝ちゃんに限って……。……。だ、大丈夫ですよね……。そろそろ戻りましょうか……。戻りました。外は暑いですね……。ふぅ、中は涼し……くない……
小早川紗枝,ああ、ゆかりはん。お疲れ様どす〜
ゆかり,あ、紗枝ちゃん、いらしたんですね
紗枝,あつい思うけど、うちもちょうど今帰ってきて冷房つけたところさかい、堪忍なぁ
ゆかり,いえ、大丈夫で……はっ！？。！！！！！
紗枝,？
ゆかり,もしかして……先ほどの雑誌が正しいのなら……今の紗枝ちゃんも……！？
紗枝,ゆかりはん？
ゆかり,紗枝ちゃんが今言ったのは……暑いと思うけど、自分も帰ったばかりで今冷房つけたからねという内容……。これもそのまま受け取ってはいけない……！？
紗枝,おーい？あ、扇子、使いはりますえー？
ゆかり,暑いと思うけど→これくらいの暑さでへばってるの？京都はもっと暑いよ？。帰ったばかりで→どう見ても汗かいてるでしょ？見てわからない？。今冷房つけたからね→後から来たのに文句言うなんておかしくない？私は先に暑い部屋にいたんだよ？。つまり……。！！！！！。
紗枝,？。ゆ、ゆかりは
ゆかり,紗枝ちゃん
紗枝,ど、どないしたん？なんや様子がおかしいような……調子悪いんやったら無理はあきまへ
ゆかり,大変申し訳ありませんでした土下座
紗枝,ゆかりはん！？。ど、どないしはってん！？頭を上げはって！
ゆかり,これは私なりの反省です
紗枝,いや、確かに人間そない優雅に土下座できるもんなんやと関心してまうくらい綺麗な土下座やけども！
ゆかり,数々の非礼……自分が恥ずかしいです……
紗枝,ええと……話がうちには難しゅうて……
ゆかり,少し、自室で反省させていただきます……
紗枝,ゆ、ゆかりはん！？ちょっ、説明……。行ってもうた……。ゆかりはん、今日は普通……やなぁ？。あれは何かの間違いやったんやろか……。……ゆ、ゆかりはん？
ゆかり,あ、お、お疲れ様です……
紗枝,なんやよそよそしなぁ……？
ゆかり,何か至らぬ点がありましたか……？
紗枝,いやいや、そないやあらへんよ？むしろそない優雅な動き、羨ましいわぁ。うちももっと精進せんと
ゆかり,ありがとうございま……はっ！？。！！！！！
紗枝,？
ゆかり,そない優雅な動き、羨ましいわぁ→動きが遅い。とろくさいよ。うちももっと精進せんと→そんな緩慢な動きに合わせなきゃいけないなんて、私も大変だなあ。！！！！！。
紗枝,？。ゆ、ゆかりは
ゆかり,紗枝ちゃん
紗枝,ええと……ほんまに調子悪いんやったら、午後のれっすんはおやすみに……
ゆかり,大変申し訳ありませんでした土下座
紗枝,ゆかりはん！？。まさかこんな短い期間に2回も土下座見せられるなんて思いまへんて！！！
ゆかり,このような短期間に二度も紗枝ちゃん……いえ、紗枝さんの意を汲めず……
紗枝,どんどん距離が離れてまう……！？
ゆかり,深く反省していますので……
紗枝,と、ともかく頭を上げはって！みんな見とるから！
ゆかり,いえ、私の誠意を見せるにはこの程度では足りず……
紗枝,足りとる！足りとるから！いやようわからんけど！
ゆかり,やはり反省が必要なようです……紗枝さんに迷惑をかけないために……
紗枝,強いて言うなら今まさに困っとりますえ……
ゆかり,失礼いたします……
紗枝,せ、せやから説明をしはってくれると……。行ってもうた……
中野有香,ゆかりちゃんの様子が
椎名法子,なんかおかしい？
紗枝,そうなんよ……
法子,ゆかりちゃんがなんかおかしいのはいつもだよ？
紗枝,ゆにっとめんばーがそれ言いはります……？
有香,でも、そんな土下座なんて急にするのは流石に……
紗枝,上手く言えへんけど、なんやよそよそしゅうて……
有香,紗枝ちゃんに対してだけでしょうか？
紗枝,その辺も聞きたいな思て……
法子,あたしたちには普通だよね？
有香,特に変わった様子はないですね
紗枝,……
法子,紗枝ちゃん？
紗枝,うち……ゆかりはんに何かしてもうたんやろか……
有香,そ、そんなことないですよ！きっと！
法子,うんうん♪きっと悪いドーナツでも食べちゃったんだよ！
有香,良いドーナツと悪いドーナツがあるんですか？
法子,ドーナツはみんな良いドーナツだよ！
有香,ええっ……！？
紗枝,有香はんと法子はんでも心当たりはないどすか……
有香,ごめんなさい……力になれなくて……
法子,やっぱり、本人に聞くのが一番だと思う！
紗枝,せやってわかっとるんやけどなぁ……
法子,ほら！もしかしたら綺麗な土下座の練習中かも！
有香,そっちの方がよっぽど不安ですけど……
法子,ちょうどこのあと、事務所にゆかりちゃん来るみたいだし！
紗枝,ふぅ……覚悟、決めんとあかんかぁ……
有香,あたしたちもフォローしますから！
法子,うん！一緒にドーナツを食べればきっと仲直りできるよ！
紗枝,……そのどぉなつの袋、ずいぶん軽そうに見えますさかい
法子,あ……てへ！
紗枝,法子はんったら……
ゆかり,あ、有香ちゃんと法子ちゃんと……紗枝ちゃん
紗枝,間ぁ、あったなあ……
法子,ゆかりちゃん！お疲れ様！
有香,お疲れ様です！
