夏葉は現状を浮かない顔でそう評していた。俺はそれを,らしくない
夏葉は,六月の間は
歩いて五分とかからずに正門に到着する。七年前までは夏葉を迎えによく訪れた場所だ。目の前の光景に対して、,あまり変わってないな
ふと、どこかで似たような評価を受けたことがある気がした。,おまえは現状に対して割り切りがよすぎる
断ろうと言葉を濁す。改まっての自分の昔語りなど気恥ずかしくてしょうがない。そう考えると同時に、俺の腹の虫が鳴る。,決まりね
嫌味を言うつもりは無かったのだが、暗に,君とは違って
夏葉は卵サンドに口をつけると、うつむきがちに瞳を揺らして,下世話だったかしら
誤解を恐れずに口にした。アイドルに定まった正解はない。夢を叶えるために道なき道を進もうとする勇者だと、若い時分にはそう思えたのだ。夏葉は,わかるわ
努めて笑ったつもりだった。思いのほか暗い話になったので空気を和ませようとした。だがそんなことを考える必要はなかった。自然と笑えている。,そんな頃もあったなあ
夏葉に,覚えていないのか
狙うは話題反らし作戦の王道、褒め殺しだ。褒めて、褒めちぎって、話題を放課後クライマックスガールズのことに持っていこう。俺は,夏葉たちが一番だったよ
夏葉は,呆れてます
カーナビの液晶ディスプレイには次の目的地が表示されている。事務所を出発する前に設定しておいたものだ。すなわちそれは、俺が,結婚しないか
夏葉に声をかける。この教会は式場として名が知られていて、平日の昼間には定期的に一般開放がなされていた。もちろんその開放日を調べて今日ここを訪ねたのだが、ホームページに書かれた,開放日は都合により告知なく変更される場合があります
陽が差し込み、まばたきをすると、純白のドレスは立ち消えていた。夏葉が,ねえ、プロデューサー
同じく夏葉は崩した字でNatsuhaArisugawaと手帳に書く。手帳を返されると、カップルの二人は無言と視線で喜びを分かち合っていた。二者の間だけにある浮いた気持ちを、微塵も隠そうとしていない。俺はそれを内心,若いな
果穂の質問を受けて、智代子はパラパラと本をめくった。答えのページを見つけて、智代子はひとり、,あー
智代子が答えのページを、他の三人によく見えるように開いた。果穂は,あー
二人の相似した反応に凛世は,ふふ……
はづきさんは,わかりました～
質問の意図が食い違っていたらしい。,見てみますか
一番上に積まれたアルバムの表紙には,放課後クライマックスガールズ
写真ごとに薄い色合いの紙を長方形に切り取ったメモが同封されている。アイドルたちのアルバムのように可愛らしいコメントはないが、そこには日時・場所・出来事が詳細に記されていて、読めば写真を撮った時の情景がありありと思い出せた。これで,手間が変わらない
あの当時はじっくりと鏡を見る余裕すらなかったので、その酷さを具体的に想像できないが、はづきさんが,刺激が強い
彼女たちは一枚、また一枚と、アルバムをめくりながら、やいのやいのと感想を言いあっている。一応の話の主題は,俺が楽しそうかどうか、無理をしてないかどうか
智代子は自分の口で,じゃじゃん！
幸福だからこそ、それが終わってしまうことに恐怖を感じる。夏葉が言いたいのはそういうことなのだろう。ある意味では仕方のない不安だ。だから逃れようもないし、,ぜいたく
それは丸っきり飼い犬にするような動作だった。思わず,俺は犬じゃないぞ
だけど止めておく。夏葉は,あの子が
酔いが一息に覚めていくのを感じた。自身の無軌道な行動に嫌気がさした。俺は何がしたかったのか。よくがんばりましたを押し合ったのは単なるお遊びだ。間違っても,似合ってる
夏葉は高台を見上げると踵を返し、砂浜をふらつくことなく歩いていく。ダークサーモンの髪が、海風になびいて揺れた。そこで俺は、夏葉の海に来るたび、最後には同じ光景を見ていることに思い至った。海に向かって,私は有栖川夏葉
男の数歩先を歩く女性が振り向いた。男の妻となる女性だ。楽し気に,置いて行っちゃうわよ
