市原仁奈,そ、そうでごぜーます！
モバP,そうか……俺が上手くみんなの仕事を取ってこられないのも、昼に食べた定食のおかずが俺のだけ異様に少なかったのも、帰りに自転車に跳ねられたのも、全部奴らのしわざだったのか！！
和久井留美,P君、それは違うと思うわ
P,留美さん、あなたまさかこの科学の時代に妖怪なんてだとか思ってるんじゃあないでしょうね……
留美,ど、どうしたの不敵な笑みなんて浮かべて……
P,日本における妖怪の歴史は遡ること奈良時代！そんな昔から存在する奴らからすれば科学などこの前発売された安っぽいおもちゃに過ぎない！つまり！
留美,つまり……？
P,俺たち十代二十代そこらの小娘小童のおもちゃ遊びを、奴らは今もどこかからほくそ笑んで見ているのです！！
仁奈,予想以上に妖怪が恐ろしい連中でやがりました……
留美,……確かにその通りかも知れないわね
P,留美さん！
留美,って言っておかないと全然仕事が手に付かなくなるのよね、この人
P,善は急げだ、妖怪対策メンバーを集めよう。俺はオフのアイドルたちに声をかけてみる。仁奈はレッスン帰りのみんなに声をかけておいてくれ！
仁奈,了解でごぜーます！えっと、留美おねーさんは……
留美,ほ、ほら、私はみんなが妖怪対策に集中できるように事務仕事を片付けておくわ
仁奈,さすが留美おねーさんでごぜーます！
留美,……。……こういうパターンもあるのね
P,ではこれより妖怪対策会議を行う！
二宮飛鳥,……待ってくれP、いきなり呼び出されて妖怪だなんだと言われても理解ができないんだが
P,フ、フフフ……墜ちたな飛鳥！お前がそんな普通な事を言うようになったとは！！
飛鳥,ふ、普通！！痛いヤツを自称する14歳のこのボクを今、君は普通と言ったのか！？
P,ああ言ったともさ！聞きたければ何度でも言ってやる！！
飛鳥,さすがに何度もは言わないでくれ！
伊集院惠,えっと……妖怪の話よね？早く本題に入りましょう？
P,……なあ、みんなは最近自分がツイてないって思ったことはないか？
南条光,うーん……アタシは特にないかなぁ
P,本当か！？
光,ほ、本当だ！
P,何もないところで躓いたり、ふと気付くと寝坊していたり、そういう自分に都合の悪いことは全部妖怪のしわざなんだぞ！
惠,いや、さすがにそこまでは……
飛鳥,妖怪もたまったもんじゃないね
光,じゃ、じゃあ近所の玩具屋でドライブドライバーが発売日なのに売り切れてて買えなかったのも……
P,そうだ、妖怪のしわざだ！！しかもそれ特に悪いやつだ！！
光,そうだったのか！！。フ、フフフ……。妖怪許すまじ！！
