関裕美,いえ、特にすることもないので、どうしようかなって思ってました
裕美,いいですよ。それじゃあ、準備してからそっちにいきますね。すいません、ちょっと人が来たみたいで……。一度切りますね。櫂さん！？お、おはようございますっ
西島櫂,実はそこまで来てたりしてっ、それでね、折角だけどあたしと一緒に出かけよっか！
裕美,わわっ、準備するから、ちょっと待ってて……！あっ、お、お部屋上がってくださいっ、何もない部屋だけど……
櫂,お邪魔します。……裕美ちゃん、そんなに慌てなくていいよ、急に押しかけたあたしが悪いんだから
裕美,えっと、時計に財布に携帯に……！
櫂,慌てなくていいのに……。ん、裕美ちゃん机の上のってアクセの新作？
裕美,えっ、あっ、はい。この前お仕事で行った川の綺麗な石で新しいの作ろうかなって。まだ途中ですけど……
櫂,へー……。あたしはこーいうのあんまりつけないから分からないけど、こうやって作るんだね
裕美,川で拾った石を、紐で包むんです。石包みをいくつか作って、それから落ちないようにチェーンで首回りの部分を作る予定です……。その、まだ途中だからあんまり見ないでほしいです……
櫂,途中なんだ、でも見ないで欲しいって何で？こんなに綺麗なのにさーっ
裕美,その……。何だか恥ずかしいから……
櫂,恥ずかしいって、大丈夫大丈夫！こんなに綺麗で可愛いから、自信持っていいよ！
裕美,でも、その……。いや、櫂さん。ありがとうございますっ
櫂,あたしはアクセとかあんまりつけないからねー。裕美ちゃんのこういうの見てると凄いなーって思うなっ
裕美,そうなんですか……。それなら、ちょっと待ってくださいねっ……。このネックレス……どうですか？
櫂,へー、これも裕美ちゃんが作ったんだ、可愛いねっ！
裕美,ありがとうございます……、それで櫂さん、ちょっと頭を下げて貰ってもいいですか？
櫂,いいよっ、けど、どうかした？
裕美,以前作った奴なんですけど、櫂さんに似合うかなあって……。んしょ……っ
櫂,え？あたしがつけるの？
裕美,よい……しょっ。ありがとうございます。頭を上げてください
櫂,わー……。可愛いね……。けど、あたしがつけてていいの？これ裕美ちゃんが作ったのでしょ？
裕美,いいんです。私のアクセ可愛いって褒めてくれたから、それに、櫂さんキレイだから似合うかなって
櫂,んー。ありがとっ！これはあたしも裕美ちゃんのために頑張っちゃわないとねっ！
裕美,それって……どういうことですか？
櫂,この前裕美ちゃん水着で撮影があったでしょ？
裕美,はいっ、田舎での撮影だったんですけど……。皆可愛くて……、凄く、凄く楽しかったです
櫂,莉嘉ちゃんとか比奈さんから聞いたんだけどさっ、水着のことでちょーっと色々あったとか無かったとか。そこで、悩める裕美センパイに、あたしの出番ってわけ！
裕美,か、櫂さん？
櫂,準備ができたらいくよっ！あたしが裕美センパイのために一肌脱いであげるから！。ほらほらっ！この水着なんてどうかな！
裕美,可愛いけど……ちょっと、私には似合わないような……。だって……、この水着……ビキニだし……！
櫂,まーまー、着てみればいいやん！裕美ちゃんなら似合う似合う！
裕美,そんなに言うなら……。でも、なんでこんな水着を……
櫂,この前の撮影で、裕美ちゃんが水着のことでちょっと悩んでたって比奈さんとかから聞いてね、あたしが似合う水着を選んであげようってね！あ、これもよくない？
裕美,それは聞いたんですけど、水着が……その、露出が多いのばかりのような……
櫂,だって、肌出すと気持ちいいし！裕美ちゃんももっと大胆になっていいんだよ！
裕美,恥ずかしいですってば……。その、一応試着してきますけど……。私、櫂さんみたいにスタイルよくないから……似合わないかも
櫂,そんなことないってば！大丈夫、あたしの目に狂いはなーい、ってね！
裕美,……んしょ……。……か、櫂さん。この水着、下着よりも小さいですよ……！？
櫂,サイズは合ってるから大丈夫！さーさー、着替えた着替えた！
裕美,は、恥ずかしい……。えっと、き、着替えたけど……、ど、どうですか……？
櫂,うん！似合ってるよ！裕美ちゃんはどうかな、その水着！
裕美,可愛いなぁっては思います。でも、こういうのってもっと……、こう、櫂さんみたいな人が着るものじゃ……
櫂,誰がどんな水着着てもいいんだって。大事なのは、本人がどうしたいかだからね！
裕美,そうなの……かな？
櫂,うん。裕美ちゃんはどうかな？
裕美,その……恥ずかしいし、私まだ子供っぽいから……似合わないって思うけど……でも
櫂,でも？
裕美,色々と新しいことに挑戦したいなって思うの。こんな風に、今までと違う自分になれたらなって……
櫂,それならよしっ！その水着はあたしから裕美センパイへの誕生日プレゼントってことで！
裕美,誕生日プレゼント……って、それなら私も櫂さんに何かあげないと……！
櫂,いやいや、もう貰ってるよ。このネックレス、ありがとうねっ。大事にするからさっ！
裕美,だ、ダメですっ！櫂さんの誕生日プレゼントには、もっと別なのが……あっ！？
櫂,あれ？別なのがあったの？
裕美,な、内緒にしてたのに……！この後事務所で渡す予定だったのに……！
櫂,お昼から事務所であたし達の誕生日パーティーだもんね、どうせなら一緒に行った方がいいと思って裕美ちゃん誘ったんだけど……悪いことしちゃったかな？
裕美,その、誕生日プレゼントはもう事務所に置いてあるので大丈夫なんだけど……うぅ、驚かせようと思ったのに……
櫂,ごめんごめん。でも、楽しみにしておくね。裕美ちゃんのアクセどんなのかなー！
裕美,その、私が櫂さんに似合うのどんなのかなって考えながら作ったけど……
櫂,ありがとうっ！それじゃあ折角なんだけど、今度この水着とかどうかなっ？
裕美,どんなのですか？……って、これ競泳水着じゃないですか！？……着ないですよ！……櫂さん！無言でサムズアップしても……、着ないですからねー！
モバＰ,えぇ、料理も木場さんと一緒にしっかり作りましたし、誕生日プレゼントも２人の好みのものを用意しましたよ
木場真奈美,それもあるが、もっと大事なものがあるだろう？
真奈美,ふふっ、そうだな柚の言うとおりだ。私達の大切な友人の誕生日を、心から祝おうじゃないか
喜多見柚,ラジャーっ♪それじゃあ柚はお料理の配膳の準備をしてきまーっ！
真奈美,おっと、つまみ食いはダメだぞ。２人が来るまで、お預けだ
柚,えーっ、柚はお腹が減ったのだーっ！何かないカナ？真奈美サン？
モバＰ,ったくもう……。ほら、飴でよければあげるからつまみ食いはやめてくれよ
柚,さっすがＰサンは話が分かる！……甘くて、んまーいっ！
モバＰ,気に入ったならよかったよ。さてと、それじゃあ皆。櫂からそろそろ事務所に戻るって連絡があった、皆で櫂と裕美の誕生日をお祝いしよう！。お、戻ってきたみたいだな。それじゃあ皆、クラッカー用意して
櫂,おはようございまーす！
裕美,おはようございます
モバＰ,２人とも、誕生日おめでとう！。裕美、櫂。ちょっと隣いいかな？
裕美,あ、Ｐさん。……どうぞ、ちょっと狭いかな？
櫂,あたしもちょっと詰めるよー
モバＰ,いや、大丈夫だ。改めて２人とも、誕生日おめでとう。……どうかな？今日のパーティー楽しんでもらえたかな？
裕美,うん、皆からプレゼントも貰ったし、お料理も美味しいし……。何より、皆にありがとうって言って貰えるのが凄い嬉しいの
櫂,あたしもそうだね！こんな風に大勢に誕生日を祝ってもらうなんてことないから、ちょっとワクワクするね！
裕美,そうだねっ、でも……ふふっ。私達の誕生日なのに、Ｐさん達の方が楽しそうでなんだかちょっとおかしいなって
櫂,主役を置いてけぼりにするんじゃないぞー、このっ、このっ
モバＰ,いでっ、肘でつっつくな。……楽しんでもらえるならよかったよ。それで、俺からもプレゼントだ。はい、２人ともおめでとう！
裕美,貰ってもいいんですか？……ありがとう、Ｐさんっ！
櫂,ありがとうね！中身は何かなーっ
モバＰ,大したものじゃないよ。他の皆のプレゼントと違って、俺が１人で選んだから、期待に応えられるかどうか……
裕美,ううん。どんなものでも、Ｐさんが私達の事を考えてくれたっていうのが嬉しいな。だから、ありがとう、Ｐさん
櫂,私達のことを……ね、ところで裕美ちゃん。裕美ちゃんがくれたプレゼント、よかったらここで開けてもいいかな？
裕美,どうぞ……。私のは大したものじゃないけど……
モバＰ,裕美も櫂にプレゼント用意してたのか……どれどれ？
櫂,これは……、イルカのネックレス？
裕美,はい、かわいいイルカのパーツを雑貨屋さんで見つけて……櫂さんイルカ好きだし、似合うかなって思って
モバＰ,うん、作りもキレイだな……。流石裕美作だ……
裕美,もう、Ｐさん。そんなに凄いものじゃないってば！
櫂,裕美センパイ……ちょっとつけてもいいかな？……どう？似合う？
モバＰ,おー！似合ってるぞ櫂！
櫂,へへ……。裕美センパイありがとうね、朝のネックレス共々大事にするよ！
裕美,気にいって貰えたなら、よかったです
櫂,ありがとう、あたしも裕美センパイのプレゼントを頑張って選んだ甲斐があったみたいだね！
モバＰ,櫂も裕美にプレゼント用意してたんだ。一体どんなのなんだ？
櫂,それはね……。ふっふっふ……
裕美,その、新しい水着です……
櫂,あーっ、裕美ちゃんネタばらしはやいって！
モバＰ,水着……か。この前の撮影で新しいの用意したって……
裕美,そうなんだけど、櫂さんが、私に似合う水着を探してくれて……。それに、私も挑戦してみたいなって思ったから
櫂,あたしが裕美ちゃんのことを考えて選んだんだよ！今度一緒に泳ぎに行ったら見せてあげるからさ！
裕美,櫂さん……。うん、恥ずかしいけど、ね。Ｐさんにも、見てもらいたいな……
モバＰ,俺にも……か、今度のオフにでも皆でプール行く予定でも立てておくか
櫂,あたしも行くから、予定と場所はプロデューサーにお任せかな！
モバＰ,おう、それじゃあ……
裕美,楽しみにしてて、ね
モバＰ,なぁ、裕美も櫂も、アイドルになってよかったと思うか？
櫂,なんや藪から棒に
裕美,本当突然だね
モバＰ,ん、いや……。何となくだよ。何となく
櫂,んーそうだね……
裕美,私は、アイドルになってよかったって思うよ。こうやって誕生日を祝ってくれる友達もできたし、お仕事は楽しいし……何よりも。自分のことを嫌わなくていいから。Ｐさんが私を変えてくれたからね
櫂,あたしもよかったって思ってるよ。あたしの実力じゃ、プロの選手は厳しいって分かってたから。新しい道を示してくれたプロデューサーには感謝してるよ！
モバＰ,そうか……。うん、なぁ２人とも。ありがとう。こんな頼りない俺だけどさ、これからも２人がちゃんとアイドルとして輝けるように頑張るからさ
櫂,……プロデューサー、熱ある？もしくはお酒でも飲んだとか？
モバＰ,違うわ。何だか感傷に浸りたい気分になっただけだよ。まったく……
櫂,お、プロデューサー目が赤いよ！もしかして泣いちゃった？ははーん。あたし達の立派さにプロデューサーが泣いたってやつだね！
モバＰ,寝不足なだけだ！別に泣いてなんかいないからな！
裕美,寝不足なの？お休みはちゃんととらないと……。と、言うか私達にはちゃんと休みをとれって言うのに、もう、Ｐさんったら！
櫂,裕美ちゃん、プロデューサーの目が赤いのは単なる強がりだからさ。あたし達に泣いてるって思われたくないみたいだねー♪
裕美,えっ、そうなの？
モバＰ,お前らなぁ……。まぁいいか、誕生日おめでとうな。これからも、２人ともよろしく！
裕美,……うん、こちらこそ、よろしくね、Ｐさん！
櫂,頼りにしてるよ、プロデューサー♪。裕美ちゃんは向こうに行ったね……
モバＰ,ちょっと呼ばれたみたいだな
櫂,プロデューサー、裕美ちゃんがいない間に見て欲しいものが……。ほれほれ、ちこう寄れー
モバＰ,なんだ一体？携帯で撮った写真か？
櫂,うん、今日のパーティー前の買い物に行ったときなんだけどね。実は裕美ちゃんに内緒でこっそり撮ったから、ばれたら怒られそうなんだよねー
モバＰ,変な写真は撮ってないだろうな？万が一の流失とかあった時に対処が大変なことに……
櫂,そこは大丈夫だって、普通の写真だから。裕美ちゃんが凄い恥ずかしがってたけどねー
モバＰ,何だそれ？
櫂,まぁまぁ見ればわかるって、……これが一番きれいに撮れてるねっ
モバＰ,これは……水着だな、競泳用の
櫂,どう？我ながら見事なチョイスでしょ？
モバＰ,……ふむ。前回の撮影の時には裕美が選んだ水着だったけど、その水着はふんわりとしたタイプだったからな。競泳水着のピッタリとしたイメージのもいいな……
裕美,木場さんからお料理貰ってきたよっ。Ｐさんと櫂さんも食べ……
櫂,あっ、プロデューサー携帯隠して！
裕美,か、櫂さん……。な、何で？って、い、いつ撮ってたの！？
櫂,いやぁ、似合ってたからつい……
裕美,け、消して！恥ずかしいから！
モバＰ,裕美は同年代の中では身長も高い方だし、様になっているな。今まではスポーティーな衣装は少なかったけど、こういう方向性もありだな……
裕美,Ｐさん、見ないで！恥ずかしいからーっ！
モバＰ,櫂、携帯ありがとう。返すよ。……後でメールでさっきの写真送ってくれ……
櫂,……了解であります、プロデューサー殿っ……
裕美,２人とも！聞こえてるからっ！お願いだから消してーっ！
