凛,それじゃあ行ってくるね
卯月,プロデューサーさんもお仕事頑張ってください！
Ｐ,おうごめんなー。さて、と……
未央,ほっ！。……そろ～っ。ささっ……
Ｐ,……さっきから後ろで何やってんだ？
未央,あはは、バレちった？
Ｐ,全部口に出てるぞ
未央,だってさっきからすっごく集中してるからさー
Ｐ,頬押し付けるんじゃあありません。企画書の山だよこっちは
未央,そろそろ休憩はいかがかなって！
Ｐ,あー無理無理。悪いけど残業覚悟だ
未央,うーん……
Ｐ,そういうことだ。さっ、放してくれ
未央,ねっ、くっついたままでもお仕事できるよね？
Ｐ,動きづらいわ
未央,ぶー。だってしぶりんもしまむーもお仕事だしー
Ｐ,手の空いてる子なら他にもいるだろ
未央,今はプロデューサーに構ってもらいたい気分かな♪
Ｐ,ちひろさんとこ行きなさい
未央,ええーっ！
ちひろ,えっ、何その反応
Ｐ,少なくとも今は勘弁してくれよ、な？
未央,ちぇーっ
Ｐ,…………
未央,ねえねえプロデューサー
Ｐ,なんだ？
未央,呼んだだけ！
Ｐ,何なんだよ……
未央,えっへへ～♪
Ｐ,…………
未央,…………
Ｐ,…………
未央,…………
Ｐ,…………。ふぃー……
未央,ねえねえプロデューサー
Ｐ,……なんだ？
未央,おしゃべりくらいなら出来るよね？
Ｐ,そら出来るが……
未央,やたっ！じゃあおしゃべりしながらにしよう♪。じゃあ早速だけどプロデューサー！
Ｐ,どした
未央,抱きついていい？
Ｐ,ダメって言ったじゃないか
未央,ええーっ！。じゃあじゃあ、ハグ！
Ｐ,変わらねえよ
未央,ええーっ！
Ｐ,さっきからリアクション古くね？
未央,流行はループしていくものなのだよ
Ｐ,出来るのはおしゃべりまでだからなー
未央,むむむっ、強敵だね
Ｐ,片付いたら付き合ってやるから
未央,わお！付き合っちゃうなんてダイターン☆
Ｐ,へいへい
未央,もー、冷たいなー
Ｐ,今は大目にな？早く片付けるためだと思ってさ
未央,じゃあそんな頭のかたいプロデューサーには……
Ｐ,おっ、なんか不穏な予感
未央,ぶー、やっぱナシにしよっかな
Ｐ,ははは、悪い悪い。で、何なんだ？
未央,手作りお菓子をプレゼント！じゃじゃんっ♪
Ｐ,おおー
未央,あまーいもの食べると頭の回転がスピードアップ！お仕事も早く片付くよねっ♪
Ｐ,嬉しいな。そこに置いといてくれ
未央,あらっ
Ｐ,一段落ついたら食べるからさ
未央,もう、プロデューサーってスイッチ入るとずっとそうだよね
Ｐ,しょうがないんだって。今度の企画はかなりでかいんだから
未央,じゃあじゃあっ、せめて一瞬こっち向いて！
Ｐ,んー？
未央,ちょっとだけっ！
Ｐ,はあ、何だ？
未央,口開けるっ！
Ｐ,へいへい
未央,はい、あーん♪
Ｐ,んぐ
未央,手は離してないでしょっ♪
Ｐ,まあ、確かに……
未央,あーっ、またすぐ画面の方向くー
Ｐ,目も離しちゃダメなの。……お、うまい
未央,ホント！？えっへへ～♪
Ｐ,ただ、これカケラじゃないか？
未央,さっきズッコケたから……
Ｐ,しかし、お菓子作れるんだなあ
未央,バレンタインチョコだって手作りだったじゃん！
Ｐ,ありゃほとんど凛とかに任せてたのかとばかり
未央,ひどいっ！？ちゃんと頑張ったよ！試食とか！
Ｐ,おい
未央,てへ☆
Ｐ,まあ、そんなことだろうと思ったが
未央,……冗談だよ、大事なチョコだもん
Ｐ,……ん
未央,って訳で、も一個！はいあーん♪
Ｐ,ほいほい……
未央,はいパクッと！
Ｐ,んむっ。……これポッキーじゃねえの？
未央,かかったな！
Ｐ,なにっ
未央,はい咥えたままそのままー……ぱくっ☆。ぷはっ☆
Ｐ,おい、未央。今……
未央,これはゲームだからしょうがないよねー♪
Ｐ,はあ、あのな……
未央,だってさー、しぶりんとしまむーばっかりお仕事だし
Ｐ,あのな……
未央,私はずっと待たされてばっかり！
Ｐ,そ、そりゃ悪かったが
未央,でもこれって、むしろ大チャンス!だよねっ
Ｐ,おい未央
未央,だからさ、我慢できなくなっちゃって
Ｐ,なあ、聞けって
未央,チャンスは逃さないよ！私は前向きなのが取り得だもんね！
Ｐ,だから、未央。今はちひろさんが見てるだろうが
ちひろ,ん？。……事情を聞きましょうか
Ｐ,あっ、ちょっと俺書類片付けないと
ちひろ,残業手当出すので
Ｐ,ほら、ちひろさんも
ちひろ,座れ
Ｐ,……はあ、分かりましたよ。ほら、未央ってデビューまでかなり時間かけたでしょ？
ちひろ,はい、ニュージェネレーションを大々的に発表するために
Ｐ,でもその間に凛と卯月の仕事が増えちゃって
ちひろ,はい
Ｐ,他のアイドルも仕事増えてきて
ちひろ,はい
Ｐ,未央、待ちぼうけ
ちひろ,ええ
Ｐ,俺と、いつも事務所に二人
ちひろ,ええ
Ｐ,ついアタックに耐え切れず
ちひろ,付き合った？。待って、さっき付き合っちゃうなんて……とかどうとか
Ｐ,結構会話聞いてますね
ちひろ,うるせえ
Ｐ,だから、付き合うじゃなくて……
ちひろ,……突き合う？
Ｐ,はい
ちひろ,とりあえず通報ですかね
Ｐ,婚約！婚約してるから！
ちひろ,そこまで！？
