伊集院惠,ここが……備前の国ね
相馬夏美,もう備前か～備前岡山藩と言えば池田家よね？
江上椿,えぇ、藩祖は小早川秀秋公とされていますが、現在は池田家、池田光政殿が治めていますね。以前お会いした事がありますが、聡明かつ実直そうなお人柄で、学問に非常に力を入れている方でした
惠,なるほど……城下町の活気も納得が行くわね
夏美,確かに、みんな素朴でいい人そうだもの♪
椿,備前といえば備前焼きが有名ですね。備前焼きは…
芽衣子,椿さま～、土の焼き物は後にして、お魚の焼き物食べようよ～。岡山に着たのに瀬戸内の魚を食べないなんて切腹ものだよ～
椿,もうっ、芽衣子さんってば……
芽衣子,先月買った旅絵巻縷々歩(るるぶ)がちょうど瀬戸内特集だったからね～♪ホラこれ！ままかりってお魚おいしそうだよ！
夏美,芽衣子ちゃん、そんなに食べると牛みたいになるわよ
芽衣子,え～！あっでも、そしたらみんなを牛車に乗せて旅ができるね♪
惠,ポジティブね
芽衣子,えへへ～、ふんふんふ～ん♪橙～蒼玉、情熱♪
？？？,おととい来やがれ！！。きゃっ！
椿,あら…？
チンピラ１,なあ嬢ちゃん、いくら頭上げられてもね。こんなゴミ茶碗を売るわきゃいかねーの。わかる？
少女,そんな……一生懸命焼いたんです！もっとちゃんと見てください！！
チンピラ２,おお、そうかい。でもこっちもビジネスだからよぉ、一生懸命作りましたとかそういうのはいらねえんだよ。あぁ！？
少女,でも……これを買って頂かないと…おじいちゃんの薬が…
チンピラ１,あっそ……言ってもわからねえなら、体に教えるっきゃねえよなあ…？
少女,えっ……やだっ…やめてっ、やめてください！！
チンピラ２,へっへっへ……シティボーイの怖さってやつをたっぷり教え…
夏美,あ～ら、ごめんあそばせっ！
チンピラ２,いでっ！？何すんだこのデカ尻！！
夏美,デッ…！？
惠,夏美さんステイステイ
夏美,犬じゃないわよ！！
椿,女の子に二人がかりで乱暴ですか……感心しませんね
チンピラ２,んだとぉ？……っと、なんだ可愛い女じゃねえか…何ならキミらが相手してくれても…
惠,あら、手が勝手に
チンピラ２,おごっ！？
チンピラ１,てめぇ！！
夏美,…っ！
チンピラ１,いでででっ！？うっ腕が千切れる！？
夏美,離してあげるからさっさと失せなさいな
チンピラ１,あだっ！…クソッ…覚えてろよ！
チンピラ２,バーカバーカ！年増ー！
夏美,あぁん！？
惠,夏美さん
夏美,分かってるわよ！
椿,そこの方、大丈夫ですか？
少女,あ…はい……ありがとうございます。助けていただいて…
