バイトのぷちみお,ﾗｯｼｬｯｾｰｲ☆
周子,お、やってるねぇぷちみおちゃん
ぷちしゅー,ｽｲﾀｰﾝ
ぷちみお,ｵﾜｰｼｭｰﾊﾝ!
周子,何それあだ名～？ふふ、何か炒飯みたいやんな～それ
ぷちみお,ﾁｬｰﾊﾝ!ﾒｼﾔ!
周子,おっと、注文はタンマね。紗枝はーん、ゆかりちゃん連れてきた？
紗枝,ちょっと待ってーなー。ほら、ゆかりちゃん、お眠なのはわかるけどご飯はきちんと食べなあかんよ
ゆかり,むにゃ……あら……いい匂い……
ぷちみお,ﾎﾎｰｳﾊﾝｼﾞｮｰ!
周子,感謝しなよ～♪
P,どうも眠り癖が相変わらず抜けてないみたいでな、あの眠り姫
ゆかり,すう……すう……
周子,確か、海底の国のお姫様…なんだっけ、ゆかりちゃんって
P,ああ、美波の妹だ。ずっと眠ってたのを何やかんや色々やって起こしてスカウトして来たんだが…
ゆかり,むにゃ……すう…
P,飯くらいちゃんと食わないと流石になぁ……
周子,Pさんが連れて行ったらええんちゃう？
P,そうしたいのは山々なんだが……見ろこれ、この書類の山
周子,…何か悪いことでもしたん？
P,始末書じゃねえよ企画書だよ。ついでにぷちみおの迎えがてら、ラーメン屋に行ってくれると有難い。あそこなら俺の顔がきくからな、ちょっと安くなるぞ
ぷちみお,ｵﾏﾁﾄﾞｰ!
ゆかり,わぁ…いい匂い……見てください紗枝ちゃん、スープの海にお肉が浮かんでいます
紗枝,せやねぇ、というかゆかりちゃん、らぁめん食べるん、もしかして初めてやの？
ゆかり,はい……！さっそく食べて……あっ、あつつ……はひゅはひゅ…
周子,暖かい料理も慣れてないんちゃう？海の底って何となく冷たいもん食べてるイメージあるけど
ゆかり,あ、はい、貝や海藻を…
紗枝,せやったら無理あらへんなぁ……ぷちみおはん、小さいお椀1個貰えんやろか？
ぷちみお,ﾏｶｾｰｲ☆
周子,いや～、それにしても聞いてた通り、ここのラーメン美味しいな～。Pさんこんないいお店知ってるんならもっと早く教えてくれても良かったのに
