白瀬咲耶,じゃあ、君を
槙原志保,はい？
安部菜々,何を口説いているんでしょうか…………
元モデルのアイドルと、元ウェイトレスのアイドルお話,中心
咲耶,へぇ……君もアイドルをやっているんだ
志保,はい、ですので先ほどの件は……
咲耶,いや、何。すまなかった。では改めて注文の方はいいかな？
志保,はい、承りますね
菜々,よかった……向こうもアイドルだったんですね
咲耶,で、テイクアウトに君を
志保,まってちがう
菜々,ダメでした！！。志保ちゃんも大変ですね
志保,あはは……まぁ、Pさんからのスカウトからしてああいった感じでしたから……
菜々,コーヒーですか？
志保,はい。おそらく散歩がてらの入店だと思いますので……あと、軽い甘目の一口菓子もサービスしないと
菜々,……なんだかんだで、志保ちゃんもプロですからね
志保,はいっ！。でもお持ち帰りはPさん専用ですけどねっ
菜々,ナナもですよ
志保,お待たせしました。レギュラーコーヒーになります
咲耶,ありがとう……いい香りだね
志保,ありがとうございます
咲耶,私も……人に入れてあげることもあるが、ここまではなかなか……
志保,そういうことでしたら喜んで！
咲耶,なるほど……ドリップを変えるだけでそんなにも
志保,あと、コーヒー豆から準備する時は、必ず挽きたてを
咲耶,わかったよ。君のアドバイスはありがたく受けとさせていただくよ
志保,頑張ってくださいね……やっぱり、ユニットの皆さんに出すのですか？
咲耶,あぁ……いや、それもあるが
志保,男だ……
菜々,男の影ですね……
咲耶,じゃあ、長いこと申し訳ない
志保,いえいえ、またわからないことがありましたら、気軽にどうぞ
咲耶,じゃあ、会計……おや、ここはプリンや焼き菓子等もあるんだね
志保,はい、お店で手作りしてます！
咲耶,じゃあ、みんなのおみやげにプリンを5つ……いや、6つお願いしようかな
志保,はい、ありがとうございます
咲耶,ふふっ、みんなの喜ぶ姿が目に浮かぶよ
志保,仲がいいんですね
咲耶,あぁ。ふふっ、たまには自分へのご褒美もいいかな？
菜々,あれ？あの時の……
モバP,以下P
菜々,いえ、この間……この背の高い……たしか咲耶さんがカフェにいらして
P,なるほどな
菜々,っ！？。……ふふっ
恋鐘,咲耶の秘密のプリンの出所を探るばい！
摩美々,どくせんはんたーい！
結華,おー！
霧子,あ、あの……やっぱりこっそりとは……
恋鐘,霧子……咲耶は一人でおいしいプリンを食べて、その先を教えない。つまり！
結華,男の影がするーっ！
摩美々,するー
恋鐘,そうたい！そして卑しい咲耶を懲らしめるだけばい！
霧子,ふぇぇ……
恋鐘,そうと決まったらさっそく出発するたい！
咲耶,～♪
結華,さくやん発見だよ！
恋鐘,よーし、追跡するばい！
摩美々,ごーごー！
霧子,ふぇぇ……咲耶ちゃんごめんなさい……
咲耶,……バレていないとでも思っているのだろうか
結華,結構遠くまで来たね
恋鐘,なんの、まだまだいくたい！
摩美々,でもー、つかれたー
霧子,ちょ、ちょっと休めないかな？
結華,あ、見て見て！さくやんがお店へ入るよ！！
恋鐘,よっしゃー！突撃するたい！
摩美々,おー
霧子,えっと…………
おしまい,？
