モバP(以下、P),
奏,！？///。ぷはっ・・・な、なにするの！？///
P,あはは、奏怒ってやんの～・・・ヒック！///
奏,ッ！・・・この酔っ払いっ！。Pさん、もう帰りましょう？
P,ぐかぁ～///
奏,え、ちょっとPさん！？
P,かなでぇ・・・えへへ///
奏,嘘でしょ・・・
教師,―――であるからして
奏,・・・
男子A,速水さんは相変わらず美人だよな
男子B,なんか物思いにふけってる感じが色っぽいな
教師,ではこの英文を・・・速水、読んでくれるか
奏,はい。Howareyoudoing―――。――――Ikissyou.。ふぅ・・・・・ん？
教師・生徒,・・・
奏,えっ？
教師,速水、これは遠くに引っ越した友人に宛てた手紙だ。勝手に恋仲にしてしまわないように
奏,！？す、すみません・・・。・・・っ///。・・・。なんだかすごく思い悩んでるようだけど？
P,うわぁっ！？か、か、奏！
奏,そんなに驚く事かしら？
P,あ、いやっ・・・・・あ！昨日は本当にすまなかった！。一人で酔いつぶれて、しかも奏に家まで送ってもらうだなんて・・・
奏,・・・。本当よ、すごく重かったんだから
P,本当にごめん！。それでさ奏
奏,？
P,えっと・・・そのだな・・・あの・・・・・・・・俺昨日酔った勢いで奏に何か変な事とかしなかった？
奏,変な事？
P,あ、あぁ・・・
奏,・・・
P,っ・・・！
奏,何もなかったけど
P,そ、そうか！？それならいいんだ！。～♪
奏,・・・
美嘉,奏？
奏,・・・あら、美嘉
美嘉,どうしたの？ナンカ思い詰めた顔してるみたいだけど。もしかして悩み事とか？
奏,いいえ、少し考え事をしてただけよ
美嘉,そっか！もし何か悩み事があったらアタシに遠慮なく話してよね。話くらいならいつでも聞いてあげられるからさ★
奏,ありがとう。・・・。ねぇ、美嘉？
美嘉,ん？
奏,もし美嘉が突然男性にキスをされたりしたらどうする？
美嘉,えぇっ！？///。き、き、キスっ！？///まさか奏誰かにキスされたのっ！？///
奏,・・・そういう映画を観たっていうだけよ。美嘉はどう思う？
美嘉,えぇー・・・そ、そうだなぁ～///・・・・それって好きな男性？それとも全く知らない男性から？
奏,顔見知りよ。好きかどうかは・・・
美嘉,え、分からないの？
奏,もちろん嫌いではないわ。ただ好きという言葉だけで表現しづらいというか・・・・そうね、とても信頼できる男性かしら
美嘉,信頼できる男性ね～・・・・うーん、アタシ的には嫌かな
奏,そうなの？
美嘉,いくら信頼しててもやっぱ恋愛感情が全くない人からキスされたら嫌でしょ～
奏,・・・。恋愛感情が全くないと言ったら嘘になるかもしれないわね・・・
美嘉,どっち！？
フレデリカ,ぼんじゅーる♪
美嘉,おはよー★
奏,フランス旅行は楽しかった？
フレデリカ,うん！あ、それでこれ二人にお土産だよ♪
美嘉,わっ、マジで！？ありがとー★
奏,ありがとう。お菓子かしら？
フレデリカ,ピンポーン！おフランスのチョコだよ～♪
美嘉,へー、なんかオシャレだね！
フレデリカ,あれ、プロデューサーは？
奏,レッスン室にいるわよ
フレデリカ,プロデューサーにも買ってきたから渡してこようかなー
美嘉,アタシもレッスンあるし一緒に行くよ
P,
フレデリカ,やっほー、プロデューサー！
美嘉,おはよー★
P,おう、二人とも。フレデリカはフランス旅行楽しんできたか？
フレデリカ,うん♪あ、それでこれプロデューサーにお土産だよ
P,なんだ。そんな気を遣わなくてもいいのに
フレデリカ,・・・あれ？
P・美嘉,？
フレデリカ,んー？これ違うな～・・・・あっ
P,どうした？
フレデリカ,Pさんにあげるやつ間違えてカナデちゃんに渡しちゃった♪
美嘉,何か違いがあるの？
フレデリカ,Pさんの方はお酒入りのお菓子なんだ～・・・あ、でもまだ事務所にカナデちゃんいるかな？
美嘉,うん、多分まだいるでしょ
P,そうか、ちょうど事務所に戻るから奏のと交換してくるよ。奏いるかー？
奏,・・・
P,お、良かった。奏そのお菓子なんだけどな―――
奏,あら、Pさん///
P,あっ！？。奏、そのお菓子・・・！
奏,フレデリカがくれたケーキよ。フランスのだって///
P,それ俺のなんだよ。フレデリカが間違えたらしい
奏,あら、そうだったのね。チョコって聞いてたからおかしいとは思っていたけど・・・///
P,そのケーキ結構酒が入ってるお菓子らしいんだけど大丈夫か？
奏,お酒・・・？あぁ通りで少し変な味がすると思った。でも美味しかったわよ？///
P,なんか顔赤いな。もしかして酔ってるんじゃないか？
奏,そう言われてみれば身体が火照って視界がふわふわしているような・・・？///
P,やっぱ酔っぱらってるみたいだな
奏,そう、これが酔うって感覚なのね・・・ふふっ、昨日のPさんみたいになっちゃった♪
P,はいはい。取りあえず水持ってくるから
奏,・・・ねぇPさん？
P,ん？
奏,
P,ぐえっ！？。な、なんだよ・・・急にネクタイ引っ張んｎ―――奏んっ///。！？
奏,んちゅ、んっ・・・・・ぷはっ・・・ふふっ♪
P,な、な、な・・・何するんだ！？///
奏,何って、キスよ？ミント味・・・Pさんガム噛んでたでしょ
P,そういう事を言ってるんじゃない！何でこんな・・・
奏,昨日のおかえし♪
P,昨日って・・・ま、まさか！。やっぱあれは夢じゃなかったのか！？
奏,もう一度確かめてみる？
P,へ？
奏,この感触が夢だったのかどうか・・・んっ///
P,ちょっ・・んん～～～～っ！？
奏,・・・
P,酔いは覚めたか？
奏,えぇ・・・。Pさん、その・・・さっきはごめんなさい
P,いや、元はと言えば俺が悪いんだ。奏には不快な思いもさせたと思う・・・本当に申し訳なかった
奏,不快だなんて・・・
P,ちゃんと責任は取るから
奏,・・・・え、告白？
P,ち、違う！そういう意味じゃない！
奏,まさか会社を辞めるとかじゃないわよね？
P,！
奏,図星なのね
P,酔ってアイドルにキスするなんてプロデューサーとしてあるまじき行為だ。そんな人間がこのままプロデューサーを続けていく資格なんてない
奏,そう・・・それなら私もアイドル辞めないといけないわね
P,え！？
奏,だってそうでしょ？私も同じことをしたんだから
P,奏はまだまだ上にいけるポテンシャルを持っている、こんなところで辞めるなんて絶対にダメだ！
奏,なにそれ、自分は辞めるけどお前は辞めるなだなんて自分勝手すぎない？
P,うっ！そ、それは・・・
奏,。本当に責任を取るつもりなら私がアイドルを辞めるその日まで私の隣にいてちょうだい。途中で投げ出す方が無責任よ
P,・・・本当に俺でいいのか？
奏,アナタがいいのよ
P,お、おい？・・・何しようとしてるんだ
奏,嫌なら押しのけてもらって構わないわ
P,いやそういう問題じゃ――――奏んちゅっ、ちゅっ・・・
奏,・・・んっ・・・・はぁ、はぁ・・・ふふっ♪///
P,奏、だからこういう事は・・・
奏,ずるい人。拒まなかったくせに。でもこれで私も立派な共犯者ね
P,え？
奏,Pさんの事だからどうせこれからも一人で背負い込むつもりだったんでしょ？
P,じゃあ今のキスって・・・
奏,秘密も罪悪感も、二人で共有しましょ？
監督,はい、オッケー！
メイク,―――！
奏,―――
P,・・・
ディレクター,いやぁ～凄いですね速水さんは。この調子ならかなり早く切り上げられるんじゃないですか？
P,ありがとうございます
ディレクター,しかし以前会った時より大人っぽくなってるというか・・・あ、もしかして彼氏ができたりとか？
P,そ、そんなわけないじゃないですか！
ディレクター,冗談冗談！アイドルですもんね
P,勘弁してくださいよ・・・
メイク,―――！
奏,――♪。？
P,・・・ん？
奏,♪
P,！？
ディレクター,何かあったんですかね？
P,ど、どうなんでしょうね・・・///。最近どうだ？
奏,そうね、もう一ヵ月経つけど何だか慣れないわ
P,一ヵ月前まではほとんど休み無しで働いてたもんな
奏,だから時間の使い方が分からないの
P,旅行とか行けばいいじゃないか
奏,Pさんも一緒に来てくれる？
P,一応考えときまーす
奏,もう、適当な返事して
P,改めて奏、卒業おめでとう
奏,ありがとう♪これもPさんが約束を守ってずっとそばにいてくれたからよ
店員,お待たせいたしました。こちら赤ワインになります
P,え？あの、頼んでないんですけど
奏,私が頼んだの。ありがとう
店員,
P,こんなの頼んで・・・俺達酒弱いんだから危ないんじゃないか？また昔みたいな事になったら困るだろ
奏,別にいいんじゃない？
P,え？
奏,その時は責任取ってくれるんでしょ？
