―土曜日ということだけあってL.M.B.Gを含む小学生のみんな,と自称保護者
晴,で、肝心の雪美のやつはいつになったら来るんだ？
千枝,んー、プロデューサーさんと一緒だから大丈夫だと思うけど……
ありす,はぁ……一度連絡をしてみましょう
千秋,雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら雪美さんに何かあったら
由愛,ひ、ひぃ……
雪美,じーっ……。じーっ……
モバP,以下P
雪美,……じーっ
P,そんな目で俺を見ても駄目だぞ
雪美,……じーっ
P,駄目だ駄目だ
雪美,……じーっ。……じーっ
P,うぅ……
雪美,わぁぁぁ……
P,結局負けた……。いいか、半分だぞ。半分
雪美,おいしいから……大丈夫…
P,いや、それは破滅を導く呪文だから
雪美,……ざーざーど…ざーざーど…すくろーの……？
P,よーし、荒木は後でマストレさん送りな
雪美,やってやるぜ……はいめがきゃのん……
P,誰？
雪美,……約束通り…半分……
P,じゃあ、残りは
雪美,あーん……
P,
雪美,あーん……
P,い、いや、そんなことしなくても……
雪美,あーん……
P,うーん、おいちい
雪美,あ……
P,どうした？もしかしてもっと食べたかったとかか？
雪美,///……違う……///
P,何で顔を真っ赤にしているんだろう？
雪美,これって///……関節……キ…ス……///。///……ありがとう……
P,ん？あぁ、どういたしまして。じゃあ、みんな待っているし、急いで帰るぞ
雪美,……。気付いて……ないのかな……。でも……。……ありがとう
P,ん？何か言ったか？
雪美,……鈍感
P,？？
雪美,じゃあ……みんな待ってるから……
P,そうだな……
雪美,キスの次は……。きっと……○っ○○だよね……楽しみ……
