モバP(以下P),さて……月終わりだし気を引き締めていかないとな……っと
P,こういう時アイドルに会うと俺もしっかりしなきゃって思えるからな、うん。さって……誰がいるかなっと……
椿,……………
P,なん……だと………。椿！？どうしたんだそんな明日にも死にそうな重い顔をして！？何があった！？
椿,あぁPさん……あの……ですね？
P,何かあったのか？
椿,あの、ですね。明日から増税じゃないですか
P,そうだな？
椿,昨日日曜日だったじゃないですか？
P,うん、そうだな……
椿,買いますよね？レンズ
P,給料日前に！？
椿,何言ってるんですか、事務所は月末支払いですよ？
P,で？
椿,………お給料が……底をつきまして
P,給料日直後に！？
椿,消費税が上がる前に買わなきゃ！とつい日曜日にお店に駆け込んでしまいまして
P,……もう何も言うな、椿
椿,つい、2%上がるくらいならってお高いレンズに手が伸びて………
P,もういいんだ椿っ！
椿,買った時は喜び勇んでいたのに今日事務所に来たら我に返りました……
P,………まぁ寮に住んでれば食事は……出るからな？
椿,一応ちひろさんには相談しました……
ちひろ,椿ちゃんには今度私のコスプレに付き合ってもらう約束をつけました♪
P,なにそれ俺も見たい
ちひろ,というのは冗談で……。まぁ他のアイドルからもお話あったからなんですよね
P,あー、まぁみんなやってそうですよね……
椿,Pさんはそういうことしなかったんですか？
P,ん？俺は……
ちひろ,お得なセットが！
P,はい
ちひろ,はい♩
P,こうだからな
椿,……私Pさんの方が心配になってくるんですけど？
P,何言ってるんだ、効率的だろ？。ま、とりあえず他のアイドルの様子も見てこよう、仕事増やしてお金を工面ってわけにはいかないけどな
椿,あ、私も一応ついていきますね？
P,椿？なんでカメラ取り出したの？しかもゴツイの
椿,せっかくレンズを買ったので使おうかと
P,まぁいいや……っと早速誰か……
紗南,ゲーム買いすぎた……
光,プ◯グライズキー全部買っちゃった……
麗奈,あんたら馬鹿じゃないの！？
椿,……
P,おう、椿無言で撮るんじゃない
麗奈,あっP！ちょうどよかったわ！この二人何とかして！
P,……まぁ言うこともないというか……
光,お小遣いなくなったけど……まぁ後悔はしてないっ！
P,少しは後悔しような、というか反省な
紗南,Pさん！今日早上がりしていいかな？
P,まぁレッスン終わったらいいけど……積みゲーか？
紗南,うん、夢の島でアーセナルに乗ってモンスターを狩って錬金術するんだ！
P,同時進行でやるのやめような、混ざってる混ざってる
椿,二人とも後悔してなさそうでなりよりですね
紗南,あっ椿さん何そのカメラカッコイイ！
光,ホントだっ！なんかバズーカみたいだなっ！
椿,でしょう？これ本当にキレイに撮れるんですよ？
P,椿ー、明らかにそれこの距離を撮る用のレンズじゃねぇだろ
麗奈,ったく……
P,麗奈は何も買わなかったのか？
麗奈,少しいたず……じゃない、道具を買ったくらいねっ！
光,麗奈ってばまたいたずらグッズを買ってた
P,まぁ散財してなきゃいいだろ、そういうのは。光、反省してるか？
光,う……まぁコンプはする予定だったから…？
P,おいこらアイドルの財力に物を言わせるんじゃない
麗奈,せっかく今度出かけるって言ってたのに計画が丸潰れじゃない
紗南,あっ、覚えててくれたんだっ！一緒にゲーセンいこって言ってたの
光,なんだよ麗奈、楽しみにしてたなら言えばいいのに
麗奈,それもあんたらの散財でパーよ？
紗南,大丈夫大丈夫！ゲーセン用のお金は残してるからっ！
光,お出かけ用のお金は別にしてるぞ？
P,おー、その辺はきちんとしてるんだな
椿,……耳がいたいです
麗奈,……そういうことは早く言いなさいよ！
光,なんだー、そんなに楽しみにしててくれたのかっ！
紗南,そうだよねっ！あたし達イグニッションZEROでせっかく仲良く遊ぶんだし！
麗奈,う、うるさい！この無駄遣いコンビ！
P,うん、ここはそこまでの被害は無さそうだな……
椿,まぁ中学生ですからね、ある程度親御さんの管理もあるでしょうし……
P,まぁゲームと特撮グッズって凄まじく金使うけどな……二人が良識があってよかった
唯,うー……マジやっちゃった感じあるよね……
美嘉,こんな色のグロス使ったことない……
加蓮,うーわ、結構キツイの買ったねー、アタシも人のこと言えないけど……
P,この辺はやっぱコスメか、買い込んだんだな？
唯,あーPちゃん！そーなんだよーせっかくだし！って色々買ったんだけどさ？
美嘉,買い物テンションがすごくなっちゃってつい無駄遣いを……
唯,でもさでもさ？研究？みたいな感じでよくない？
加蓮,どうだろ？これとか二人とも合わせられなくない？
P,んー……その辺のカラーは確かに二人には合わなそうな
？？？,ちょっと待った！！
唯,そ、その声は！
雅,1つ！女の子の悩みを！
美沙希,２つ！綺麗になりたい気持ちを！
彩華,3つ！美人でいたい努力を！
三人,応援しますガールズパワー！！
加蓮,おー！雅さん達！ちょうどよかった！
美沙希,事務所のみんなも買い込んでるのかなーって思ってぇ、つい来ちゃった！
彩華,私も新しいアイロン買っちゃったしぃ、色々試すチャンスじゃない？
美嘉,えっホント！？そしたらこの辺の色と合わせて出来ない？
雅,んー、これならぁ……こーれーとー……これっ！
唯,おー！美嘉ちゃんいける？試してみよ？
美沙希,そうねぇ、唯ちゃんの場合は……ストレート試してみない？
唯,えー、唯のイメージと違わない？
雅,いいじゃんいいじゃん！イメチェン試して行こうよぉ
P,仕事に支障出ないようになー
彩華,もーPさん、あやか達だってプロなんだし、そーゆーことしないって！
加蓮,えー、でもイメチェンするならやっぱ残しておいたほうが……
椿,任せてくださいっ！
唯,マジ？椿さんカメラマンしてくれる系？
雅,いいねぇいいねぇ！みやびぃも色々試そっかなー椿ちゃんお願いできるぅ？
椿,もちろんですっ！……ってあれ？美沙希さん？
美沙希,それなら椿ちゃんもっ！試すべきじゃない？
美嘉,確かに！せっかくだし椿さんもどうですか？
彩華,カールとかかけてみる？あとは明るめのコスメで揃えて……
椿,でも私カメラでみなさんを……
唯,いいっていいって！椿さんのことは唯達がパシャって上げるからさっ！
P,椿ーゆっくりしてていいぞー？
雅,ほら、オッケー出たしぃ、みやびぃ達に任せてっ！
P,ま、ガルパの三人が入ればコスメは無駄遣いにはならんか…….。えっと………まぁこれは予想どおり……か？
文香,…………
奈緒,……………
由里子,…………
比奈,……面目無いっス
風香,…………
P,まぁそらそうだよなって思うけどなんでみんな持ってきてるんだ
文香,それには……深い理由があるもので……
P,消費税上がるもんな？
文香,はい、ですから……私含め皆さんまとめ買いをしたのですが………
奈緒,家帰って読み始めたらさ、急になんかもったいなく感じてきて……
比奈,つい布教を
P,なぜ布教に……？
由里子,感動は分かち合うものだじぇ？
P,お前のはまた別の話じゃないか由里子や
風香,皆さん同じことを考えていたみたいで……それなら互いにって……
P,そうか……そういや文香持ってるの漫画だもんなあ
文香,はい……オススメを、と紹介されたのですが……大変興味深く
奈緒,わざわざ読みやすい本チョイスしてるんだもんなぁ文香さん
風香,由里子さんのも……えっと………？
P,大西ぃ！
由里子,オススメ紹介しあうんだから当たり前だじぇ！？
比奈,まぁさすがに成人指定ものは出してないっスよ。奈緒ちゃんも風香ちゃんもアウトっスから
P,そういう問題か……？まぁ当人達が納得してるしセーフか……
文香,こういった機会ですから……楽しめばいいかな、と
P,まぁいいけど……持ち帰れよ？
奈緒,……寮まで車出してくれたりしない？Pさん
P,いや、お前来るとき持ってきたんだろ……？
由里子,そこはアタシと比奈センセで車出したんだじぇ！
P,……そーいや二人とも仕事だな？
比奈,しばらく置いてちゃダメっスか？ほら、他のアイドルに布教したいっスよ
文香,ダメでしょうか……年少の方にも読みやすい本も用意したんですが……
P,文香、お前完全にそれ目的で買ってたな？
風香,実際私も小説のタネになればと色々買い過ぎてしまって……
由里子,広めたら回収するから、お願いっ！
P,いや、お前のはダメだけどな由里子
由里子,ご無体なっ！
亜子,あーもー、絶対こんなん使わんわ……
さくら,亜子ちゃん便利グッズとか色々買い込んでたもんねぇ
亜子,ついつい……あーもー！アタシとしたことが完っ全に無駄遣いやん！
泉,まぁ便利グッズって使える時もくるし……私は思いとどまってよかった
さくら,泉ちゃんパソコン新調しようとしてたからなぁ
亜子,さすがにパソコンはなぁ、駆け込みで買うのはなんか違うやろし
泉,うん、さくらと亜子が止めてくれて助かった、かな
さくら,えへへ、わたしのお買い物付き合ってくれたお礼でぇす！
P,あそこもまぁセーフか……生活に関わるレベルで買ってるやつらなんていないよな、うん。椿は……趣味の1回が高いし仕方ないとして……。一回が………高い……………？
椿,………えっと……
美世,ははは……撮っていいよ椿ちゃん……
P,嘘だろ！？
