悪徳記者,おいおい、人聞きの悪いこと言うなよ…あくまでも、そうするかもしれないってだけの話だ。どうするかはそっちの誠意しだいだよ…クックックッ…
伊織,結局は金ってこと…？この下衆！
悪徳,おぉっと？そんな口の利き方をしていいのかなぁ？
伊織,くっ…
悪徳,へっへっへっ…水瀬のお嬢様ならわかるよなぁ？
伊織,…大体、なんで私なのよ…普通こういうのは社長…そうじゃなくても律子やプロデューサーじゃないの？
悪徳,いやいや、いくら売れっ子ばかりとはいえ、十数人しか所属していない芸能プロダクションから引き出せる金なんてたかが知れてるだろう？それなら…
伊織,…水瀬財閥からってわけね？
悪徳,そういうこと…ヘッヘッ…理解が早くて助かるぜ
伊織,…とことん下衆ね…いいわ！そっちがその気ならこっちだって…
悪徳,おいおい、慌てるなよ…まずは写真を見せてやる…
伊織,こ、これは！？
悪徳,おたくの…星井美希だっけか？天才天才と持て囃されていても、所詮は女だなぁ！写ってるぜ…バッチリと腕を組んだ…Pヘッドの男性がなぁ！
伊織,いや、それうちのプロデューサーだから！？
悪徳,へ？そ、そうなの？
伊織,逆にプロデューサーでもないのにPヘッドな人間なんているわけないでしょう？
悪徳,いや、プロデューサーだとしてもPヘッドはおかしいだろ！？。だ、大体、自分のところのアイドルに手を出してるだけじゃないか！それはそれで問題だぞ！
伊織,手なんか出してないわよ。美希が一方的に熱烈なアタックをしてるだけよ
悪徳,だからそれも問題だろう！？
伊織,知らないわよ！？私だって訳わかんないけどファンが受け入れてるんだからしょうがないじゃない！
悪徳,え？そうなの？
伊織,アイツ、ライブのMCでも普通にプロデューサーのことハニーって言ってエピソードトークしてるわよ？楽屋で律子にシメられてるけど…
悪徳,なん…だと…
伊織,ふぅ、心配して損したわ…帰っていい？
悪徳,くっ…！？クックック…俺が1人のスキャンダルだけで交渉に来ると思うか？
伊織,なっ！？み、美希だけじゃないって言うの？
悪徳,あぁ…まだまだネタはあるんだよ！全く…危機管理意識の低い事務所で助かったぜ…
伊織,くっ…み、見せなさいよ！
悪徳,けっ！ほらよ！
伊織,ゆ、雪歩…
悪徳,男性恐怖症だとか何とか言っておきながら、やることはやってますぅ！ってかぁ！？男の人が大好きです！って言ってたもんなぁ！？
伊織,それ団結の話じゃない！？そ、そうじゃなくて、こ、これ…相手…
悪徳,おぉ、どえらいイケメンだよ。どこのどいつだ？315プロの新人か？クックック…もしそうならそっちの方にも…
伊織,いや、これ真じゃない！
悪徳,ええええええ！？
伊織,夜遅いからって言って雪歩を送って行った時の真よ、これ。服装も一緒だもの
悪徳,送るって…菊地も、同い年の同性だろう？
伊織,そこに違和感を覚えないからアイツはバカなのよ
悪徳,ちっ…ま、まぁいい…モザイクでもつけりゃあ誤魔化しは効く…無理やりにでも雑誌に…
伊織,そんなことしたら真に殺されると思うけどいいの？因みにアイツ、某国のSP複数人と互角に渡り合えるからね？
悪徳,…売りつけるのはやめておいてやろう
伊織,そうね、お互いのためにもそれがいいわ
悪徳,ちっ！？まさかこんなことになるとは…
伊織,…ひょっとしてまだあるの？
悪徳,そ、そうだ！俺にはまだ切り札がある！
伊織,やめときなさいよ、もう私大体のオチ読めたわよ…
悪徳,うるさい！それじゃあ…これならどうだ！
伊織,な！？こ、これは…。た、貴音…
悪徳,四条には以前から移籍の噂があったが…それを追っていたらたまたま掴んだ写真だ！
伊織,あ、あんた…これをどこで…？
悪徳,あぁん？今更誤魔化そうったってそうはいかねーぞ？先週の日曜、イベント会場だよ！怪しさ満点のナイスミドルだなぁ？堂々と話をしているが、コイツは確実に裏社会の…
伊織,いや、これうちの社長よ？
悪徳,な、何ぃぃぃぃぃぃい！？
伊織,黒い交際って…そりゃ“黒い"けども…
悪徳,いや、黒すぎるだろ！？何なんだよ！？お前んとこの社長は！？
伊織,そんなの私が知るわけないでしょ！？黒井社長にも言ってきなさいよ！
悪徳,た、確かに…
伊織,さて…帰るとしますか…
悪徳,ま、待て待て待て待て！これならどうだ！
伊織,こ、これは！？。千早と春香が…嘘よ！
悪徳,俺も信じたかったさ…でもこれは揺るぎない真実だよ！
伊織,雪歩ならともかく…
悪徳,いや、お前も大概だな！？…しかし、いいのか？最近芸能人の薬物スキャンダルが続いていたところだ…昨今の違法薬物に対する世間の目は厳しいぞ！？その上、如月は前回のスキャンダルで負った傷がある！世間が許しても、本人はどうだろうなぁ！？
