桃井あずき,比奈さん比奈さん
荒木比奈,なんでしょうなんでしょう
あずき,ワンダーモモって何ですか
比奈,またふっるいものを……モモ繋がりっスか？
あずき,あ、分かっちゃいました？
比奈,そりゃあもう。私はワンダーモモ持ってないんでこのワンダーモモが出てるゲームを
あずき,ナムコクロスカプコン……？
比奈,ちなみに超長いんで
あずき,長いんですか
比奈,はい、長いんです
あずき,ってことがあって……
綾瀬穂乃香,で、もうクリアしたんですか？
あずき,うん、したよっ
穂乃香,超長かったですか、比奈さんの言うとおり
あずき,超どころか走召長かったかなー
穂乃香,走召ですか
あずき,うん、走召。とまあ、ナムカプをクリアしたからワンダーモモのことはそれなりに分かったんだよね！だから……
穂乃香,だから……
あずき,ワンダーモモイ大作戦！
穂乃香,ワンダーモモじゃなくて？
あずき,うん、比奈さんにワンダーモモの名前をそのまま使うのはやめといた方がいいっス。あとワンダーモモーイもやめといた方がいいっスって言われたから
穂乃香,モモーイ……？
あずき,やっぱりそこ気になるよね。モモーイの事はおいといて。とりあえず今のあずきはワンダーモモイだから
穂乃香,はい
あずき,敵にフラフープをぶつけたりしちゃう
ぴにゃこら太,
穂乃香,ぐさぁーっ！
あずき,ぐわああああああ！
穂乃香,何をするんですか！
あずき,バトンでぐさぁしてきた……
穂乃香,誰が敵ですか、誰が！
あずき,あちらにおわすぴにゃ男が
穂乃香,ぴにゃ男！。ぴにゃこら太はぴにゃ男なんて名前じゃ！敵でも！
あずき,まあまあ落ち着いて。心を豊かに
穂乃香,ぴにゃこら太を憶えている者は幸せである。心豊かであろうから……はい、落ち着いてきました
あずき,あ、そうそう。ワンダーモモイは格闘戦もこなすヒロインだから
穂乃香,はい
あずき,こうやって挟み撃ちしてきた敵に……。開脚ダブルキックしたりしちゃう
ぴにゃこら太,。
穂乃香,ぐさぁーっ！
あずき,ぐわああああああ！
穂乃香,何をするんですか！しかもダブルで！
あずき,ぴにゃこら太のお尻から棒が生えてるやつでぐさぁしてきた……
穂乃香,これはアンノウンニードルです
あずき,ニードル！。ニードルって……針は危ないよ……
穂乃香,もうぴにゃこら太には手を出させませんよ！
あずき,ふふふ……
穂乃香,……な、なんですか
あずき,ワンダーモモイは不思議なパワーで戦うヒロインだから
穂乃香,はい
あずき,こうやって回って……。竜巻を出して敵を攻撃したりしちゃう
ぴにゃこら太,。
穂乃香,ぐさぁーっ！
あずき,ぐわああああああ！
穂乃香,何をするんですか！というかどうやって竜巻なんて出したんですか！
あずき,竜巻の力で回転しながらぐさぁしてきた……
穂乃香,こうしてる間にもぴにゃこら太たちはまだ回ってるんですよ！
ぴにゃこら太,。
穂乃香,ああ、可哀想なぴにゃこら太たち
あずき,ヨヨヨしてないでぴにゃこら太たちを見てみてよ
穂乃香,ヨヨヨ……あれ、綺麗になってる……？
あずき,さっきの竜巻で洗濯してみました
穂乃香,しかもフカフカに！
あずき,これぞぴにゃこら太ピカピカ大作戦！
ぴにゃこら太,。
穂乃香,あ――
あずき,おっとお礼はいらないよっ！正義のヒロインは何も言わずに去っていくんだ♪
穂乃香,フラフープをぶつけたりキックする必要はありませんでしたよね！
あずき,ぐわああああああ！
これにて終了です。久しぶりにいっぱい,ぐわああああああ！
