杜野凛世,いよいよ……ですね
園田智代子,そうだね。夏の時にお願いした、凛世ちゃんの甘い恋の物語の薄い本なんだってね
智代子,うわぁ……結構並んでるなぁ。樹里ちゃんに果穂も来たがっていたけど、これは……
凛世,待つのは……慣れてます…
智代子,じゃあ、並ぼうか。ふぅ……やっと買えたよ……
凛世,これは……家宝にしないといけませんね……
智代子,あぁっ！もう読んでるのっ？！
凛世,すごく甘く……濃厚で頭がとろけそうな感覚です……。…………いけません……少し、雉を撃ちに行ってまいります…
智代子,待って待って！トイレでナニをするのっ？！しかもそれは男性の表現だよ！！
凛世,その……私は撃たれる方…………ですから
智代子,表現が直接過ぎるよぉぉぉ！！。……まったくもう。お、女の子なんだから……ね。もう少し……その……あれ、アレだよ。アレ。ん……私たちの？……気になるなぁ。ちょっとだけなら……大丈夫だよね？
凛世,……。お腹の…………下の方の疼きは……治まったみたいですね。智代子さんに、少し……淫らな姿を見せてしまいました…。智代子さん……怒ってなければいいのですが…………ん？
智代子,……
凛世,何か……読んでらっしゃいます…。あんな……真剣な顔で…。……気付かれずに……そっと…………
283P,以下P
智代子,もうっ！ダメですよ
P,いいだろ。今は凛世もいないんだし
智代子,あンっ、もう……凛世ちゃんに言い付けちゃいますよ
P,大分……揉みごこちがよくなったなぁ
智代子,あ……んっ……プロデューサーが凛世ちゃんがいない時ばかり……くゥっ！。昔なんて、触るだけだったのに……今じゃ揉み始めて……今日も最後までするんでしょ？。じゃあ、気持ち良くなりましょうか
凛世,失礼………………しま……す
智代子,うわ……わわわっ。ど、どうなるんだ……あ、また次回なの？。ふぅ……続きが楽しみだよ
凛世,そう……ですね…凛世も…………知りたいです
智代子,え゛？
凛世,で、智代子さんはプロデューサー様とどこまでいってらっしゃるのですか？
智代子,り、り、り、り、凛世ちゃんっ！？
凛世,はい、杜野凛世ですよ
智代子,ち、ちょ、喋り方が……い、いつもと違うよよよっ！！
凛世,おっと失敬……。これで……よろしいでしょうか？
智代子,あわわわわ……
凛世,さぁ……
智代子,
凛世,少し……やり過ぎたみたいです…。しかしながら……あの反応は…。少し問い詰めないといけないようですね……。うふふふっ。ふふふふふふふふふふふふふふふふふふふふふふふふふふふふ
智代子,……うーん。……ﾊｯ。ここは…………どこ？
凛世,……凛世の……自室です…
智代子,あ……あは、あははは。ゆ、夢じゃなかったんだね……
凛世,さぁ、洗いざらい……お話しましょう……。別にしゃべりたくないのであればいいですけど……。なぜか、儀式を始めた途端に皆さん話始めるんです……。どうしてでしょうか……
智代子,り、凛世ちゃんのく、口調が……。アタシ、ダメかも……さようなら、まだ見ぬ新作チョコさん……
？,天然とツッコミ以外の放クラって、あんなアーセナル弾薬庫。おや、これは？。あらあらっ、これが薄い本ってのかな？魔法使いさんも変わってることを中学生にやらせるわね。まぁ、浅はかな知恵かと思いますが。どれどれ。……。これは……ぐっ……あの…力が……解放されるというのか……。……我が僕よ、汝に新たな命を与えん。……御意
