乙倉悠貴,～♪
？？,たしか、この近くにいるはずでしてー。むー……んー？おー、見つけたのでしてー。ちょっとー、よろしくてー？
悠貴,は、はいっ。……あの、私になにかっ？
依田芳乃,わたくしは依田芳乃と申しましてー。そなたを探していたのですー
悠貴,私をっ？
芳乃,はいー。……そなたには末恐ろしき力が眠っておりましてー、それを解放するために参ったのですー
悠貴,えぇっ！？私にですかっ？
芳乃,はいー
P,お、やっぱりいたのか
悠貴,あっ、プロデューサーさん、おはようございますっ
P,おはよう、悠貴。なんか話してたみたいだけど、誰と話してたんだ？
悠貴,？誰って……
芳乃,わたくしの姿は、そなたにしか見えないのでしてー
悠貴,えっ！？そうなんですかっ
P,ん？どうした？
悠貴,い、いえっ、なんでもないですっ
P,そうか。……悪いんだけど、今日はすぐに現場に行きたいんだ。準備とか大丈夫か？
悠貴,はいっ！
P,よし、じゃあ行こう
芳乃,……わたくしもついていくのでしてー
岡崎泰葉,ふぁ……ねむ……
北川真尋,泰葉ちゃんのひつじを見てると眠くなってきちゃう……
相川千夏,……二人とも、Pさんが見てるわよ
泰葉,えっ！？
真尋,ヤバっ！……え？Pさんどこにいるの？
千夏,ふふ……冗談よ
泰葉,ほっ……
真尋,も～っ、驚かせないでよ千夏さん！
千夏,ごめんなさい。ちょっとからかってみたくなったのよ
P,おう、みんなおはよう
悠貴,おはようございますっ
千夏,おはよう
真尋,おはよーっ！
泰葉,おはようございます。……よかった、プロデューサーが来るまえで……
P,よーし、みんないるな……て、あれ？なんで乃々の荷物があるんだ？智絵里たちと一緒じゃないのか？
泰葉,あ、乃々さんならあそこに……
P,あの机の下か。まったく。おい、乃々
森久保乃々,もりくぼはいませんけど……
P,なにを言ってるんだ……ほら、打ち合わせするぞ。来るんだ
乃々,あぅぅ……むーりぃ……
悠貴,ははは……
芳乃,ねーねーそなたー
悠貴,あ、はいっ、なんでしょうっ
泰葉,？悠貴さん、どうかしたんですか？
悠貴,すみませんっ、ちょっとトイレに行ってきますっ
泰葉,は、はい……
悠貴,……芳乃さん、一緒に来てくれますかっ
芳乃,はいー
P,ふぅ、これでみんな……悠貴はどこだ？
真尋,悠貴ちゃんならトイレに行ったよっ
P,トイレか……なら仕方ないな。こら乃々、逃げるな
乃々,うぅ……どうして分かったんですか……
P,お前は分かりやすいからな。……悠貴がいないけど、みんな先に衣装に着替えてくれるか
悠貴,ふぅ、ここなら大丈夫……芳乃さん、先に1ついいですかっ
芳乃,なんでしょうー
悠貴,芳乃さんは、どうして私だけに見えるんですかっ？
芳乃,それはですねー、そなたが誰よりも優れたものをもっているからでしてー
悠貴,？ど、どういう意味ですかっ？
芳乃,いずれわかるのでしてー
悠貴,むぅ……
芳乃,わたくしからも1つよろしくてー？
悠貴,あ、はいっ
芳乃,……そろそろそなたの力を解放したいのですがー
悠貴,ちょ、ちょっと待ってくださいっ！解放って、なにをするんですか？
芳乃,そなたの力を用いて、わたくしがそなたの願いを叶えるのでしてー
悠貴,えっ？お願いですかっ？
芳乃,はいー。なんでもよいのでしてー
悠貴,えっとっ、じゃあ……生野菜を、食べられるようにしてくださいっ
芳乃,お安いご用でしてー
悠貴,あっ、はいっ、よろしくお願いしますっ
芳乃,では、そなたの願いを叶えましょうー。……ぶおおーぶおおー。ぶおおー……ふー。これにて完了でしてー
悠貴,……え？これだけですかっ？
芳乃,はいー。これで、そなたはどんな生野菜でも食すことができましてー。嘘だと思うならば、今すぐ食してみるとよいのでしてー
悠貴,でもっ、生野菜なんてここにはありませんしっ……
芳乃,先ほどの場所にはないのですかー？
悠貴,あ、そうだ打ち合わせっ……早く戻らないとっ。遅くなって、すみませんっ……
P,いや、大丈夫だよ
悠貴,あ、もう着替えて……わあ～っ、みなさんかわいいですっ！
真尋,いやあ、照れるな～悠貴ちゃん！
泰葉,ありがとうございます、悠貴さん
乃々,は、恥ずかしいんですけど……
P,来たばっかりで悪いんだけど、悠貴もすぐ衣装に着替えてきてくれないか？
悠貴,はいっ！
千夏,……私もかわいいのかしら
