主婦A,あんなだらしない格好で、昼間からぶらぶらと……
主婦B,絶対働いてないでしょ。いつか事件起こすんじゃない？
男,……
黒服,つかぬことをお聞きしますが
男,はい？
黒服,あなた、無職ですよね？
男,そうですが、何か？
黒服,やっぱり！いや、失礼。そんな暇を持て余してるあなたに、ピッタリのお仕事があるんです！
男,……？。スタバでノートパソコンいじるだけの簡単なお仕事です……？
黒服,そうなんです。やることは簡単、あちらにあるスターバックスに入って頂いて。なるべく目立つ席でこのノートパソコンをずっといじってて下さい。それだけです。もちろん謝礼とは別に、飲み物代もお出しします
男,いじるって具体的に何すればいいの？
黒服,別に何でもいいですよ。ネットするもよし、動画見るもよし、何か作業するもよし、ご自由に
男,ふうん……。なんでそんなことをさせるの？
黒服,それは……申し上げられません。られませんが、あなたの不利益にはならないということだけはお約束します。いかがですか？
男,……。怪しすぎるけど……どうせもう人生詰んでるし。やるよ
黒服,おおっ、ありがとうございます！ではさっそく今日から！
男,え、今から？
黒服,善は急げと申しますので
男,ここがスタバか……
黒服,ここからはお一人でお願いします
男,俺、入ったことないんだけど、何注文すればいいの？
黒服,コーヒーはお嫌いですか？
男,いや、嫌いじゃないけど
黒服,では、ドリップコーヒーを頼めば、間違いはありません。さ、お入り下さい！
男,うん……
店員,いらっしゃいませ！店内をご利用ですか？
男,あ、店内です
店員,ご注文は？
男,あ、コーヒーを……ド、ドリップコーヒー
店員,サイズはどうされますか？
男,サイズ……？え、と、普通で
店員,トールサイズでよろしいですか？このぐらいの大きさですが
男,あ、これでいいです
店員,マグカップと紙のカップ、どうされますか？
男,え、あ、そうですね。あ、マグカップで。ふぅ～、結構大変だな。だけど、丁寧な接客だし悪い気はしなかったな。あとは、この席でずっとノートパソコンいじってればいいわけか。……。……。しかし、スターバックスって周囲を見渡すと――
学生,休みの日だってのに店長から電話かかってきてさ～
女学生,えー、大変だったねー
会社員,その件につきましては、すぐ稟議書を……
婦人,やだわ、奥様ったら！
男,お客全員オシャレというか充実してそうというか、みんな上流階級に見えてくるよ。俺みたいなクソ無職がいていい空間なんだろうか……。やっと閉店だ……帰ろう。……あ
黒服,お疲れ様でした
男,どうも……
黒服,本日の謝礼です
男,あ、はい
黒服,また明日もよろしくお願いしますね
男,分かりました。さ、行くか
店員,いらっしゃいませー！
男,ホ、ホットのドリップコーヒーのトールサイズをマグカップで
店員,かしこまりました
男,我ながら決まった。飲み物受け取ったら……あとはノートパソコンいじるだけ。昨日はWikipedia読んでたから、今日はずっと動画見てようかな。さて、帰ろう
黒服,お待ちしておりました。本日の謝礼です
男,どうも……。しかし、こんなオシャレなカフェに俺みたいな奴がずっといて、いいもんなんですかね？。心なしかみんな、俺の隣は避けるよう座るし……
黒服,いいんです、いいんです。それでいいんです。この調子でよろしくお願いしますね
