今回、本日発売のCD第6弾,CINDERELLAMASTER027神谷奈緒
奈緒,おーっす、ロワイヤルお疲れーっ
杏,おっすおっす奈緒にゃん
奈緒,やめろ！
菜々,……おはようございます、奈緒にゃん
奈緒,安部さんまで！？
杏,にゃーん
菜々,ぴょーん
奈緒,そこは譲れないんだな。……まぁ、わかってたけどさ。いじられるだろうなって
杏,だって……ねぇ？
菜々,ねぇ♪
杏,あれだけの振りなら、そりゃいじっていじっていじり倒していくよ
奈緒,安部さんはともかく、杏はなんでそんな無駄にやる気なんだ
菜々,ともかくって何ですかぁ！
杏,私がやる気出すとまずいとでも？
奈緒,普段からやる気ならいいんだけどな
杏,えー、やだよ疲れるし
奈緒,うん、いつもの杏だ
杏,出だしからにゃーおはびっくりしたよ
菜々,ナナ的にはネコなのが悔しいですけど、すっごい可愛かったですよ♪
奈緒,可愛いとかいいからぁ！
菜々,そう言えば、今回のは凛ちゃんの発案なんでしたっけ？
奈緒,そうなんだよ……ホント、やってくれたなぁ凛のやつぅぅ……
杏,さすが三代目シンデレラガール、実にわかってるよね
奈緒,そんなとこで誉められても、凛も困惑しか出来ないんじゃないか……？
菜々,ナナも何か奈緒ちゃんにネタ仕込んでおくべきでしたっ……！
奈緒,いやそんなガチ悔しそうに言われても
杏,安部さんの仕込みネタだと、奈緒に年齢詐称疑惑出ちゃうから……
菜々,
みく,猫チャンのモノマネと聞いてすっとんで来たにゃ
奈緒,呼んでないし二度とやんないからな！
みく,ちっ
菜々,そうですよ、奈緒ちゃんは我がウサミミ勢にいただくんですからね！
奈緒,いやウサミミもやんないから！
杏,なんだろう、この対立
みく,自然界もアイドル業界も生存競争にゃ、サバイバルにゃ！
奈緒,いやサバイバルはついさっき終わったから
杏,え、生存戦略？
菜々,ナナなんのことだかわかりません
杏,でもさー、みくちゃん的には問題ないの？
みく,何がにゃ？
杏,仮に奈緒がネコミミ軍団入りするとするでしょ？
奈緒,しないぞ？
菜々,させませんよ？
みく,とりあえず二人は黙っててにゃ
奈緒,まぁいいけどさぁ……それで、どういうことだ？
杏,のあにゃん・アーにゃん・奈緒にゃんと、クールだけの新生にゃん・にゃん・にゃんが結成可能に
みく,
菜々,その発想はありませんでした
奈緒,あってたまるかそんなもん
みく,……ハッ！だまされないにゃ！よく考えたら雪美チャンでも出来るにゃ！
杏,そこに気づくとは、やはり天才か
奈緒,じゃああたしは凛にゃんを推薦しておこう
みく,躊躇なく仲間を売るとか、奈緒チャンなかなかの鬼畜にゃ……！
奈緒,そんな人聞きの悪い。あたしは凛にも色々チャレンジして欲しいだけだって
杏,本人的には悪党顔作ってるつもりなんだろうけど……
菜々,……垂れ目ですし、可愛いドヤ顔にしか見えませんね
奈緒,……聞こえてるぞ、おい
みく,今回琴歌チャンがドヤ顔しなかったから、ちょうどいいかもにゃ
奈緒,その発想はなかったし、そこは狙ってないからな！
みく,じゃあ猫チャンの話は終わったっぽいからみくは帰るにゃ！
奈緒,おう、おつかれー
みく,にゃふふ、みくが去っても第二第三のねこみみがっ……！
菜々,させませんよぉ！
杏,なんだこれ
菜々,みくちゃん……強敵でしたっ……！
杏,安部さん、脳内でともって言ってるよね
菜々,裕子ちゃんのアイデンティティがクライシスですよ！？
奈緒,いや別にテレパシーとかなくてもわかるから
杏,それにしても、まさか奈緒がオタクであることを否定するとはねー
奈緒,いやあたし実際オタクじゃないからなぁ……基本、浅く広くだし
菜々,ただアニメ見てるだけ、って事ですか？
杏,きっとあたし程度がオタクを名乗るなんてガチ勢に失礼とか思ってるよ
奈緒,……杏、マジでエスパーかなんかなのか……？
菜々,ナナちょっと本当に怖くなってきたんですけど
杏,ちょっと予想当たっただけなのになにこれこわい
奈緒,杏ならあり得るかなぁって
杏,失礼な。あと、その理屈言うのってそこそこガチなオタクくらいだからね
奈緒,
杏,あと、なんでラーメンだったのか
奈緒,あたしに聞くなよ……杏のエアコン完備はなんとなくわかるけどさ
菜々,ここはナナの味玉とセットで運用すべきですよね！
奈緒,いや確かに相性は抜群だけど
杏,ラーメンが味玉を、味玉がラーメンを引き立てるっ
奈緒,つまりあたしと安部さんで肩こりが治るのか
菜々,あー、それは本当にありがたいですねぇ……
杏,まぁ私達世代だとウッチャンとナンチャンの相性はよくわかんないけど
菜々,すごかったですよ？夢で……もとい、やるや……じゃなく、う、ウリナリとか
奈緒,それでもアウトじゃないか？
貴音,らぁめんと聞いて！！
杏,おっすおっすお姫ちん
奈緒,だからなんで普通に来てんだよあんた！
貴音,さいくりんぐの途中、らぁめん電波がぴぴっと参りましたので
菜々,
杏,これが本物か……
奈緒,本物って。貴音さんミステリアスだけど別に宇宙人じゃないだろ？
貴音,
菜々,そ、そこはデリケートなところですから……
奈緒,そ、そうなのか……よくわかんないけど、ごめん
貴音,い、いえ……。神谷奈緒、この度はわたくしからもお祝い申し上げます
菜々,あれ、言いましたっけ？
貴音,我が765プロのCDも同日発売でしたゆえ、自然と把握はしておりますよ
杏,なるほど
奈緒,これはご丁寧にどうも
貴音,うちのひなたも世話になったそうで、何か礼をせねばなりませんね
奈緒,いや別にお礼言われるような事したわけじゃ……
貴音,勢いでつい買ってしまった、このらぁめん風味きゃんでぃを差し上げましょう
奈緒,それ厄介払いだよな！？
貴音,なんと。そう言えばわたくし、らぁめんばぁがぁとやらを買いに行く途中なのでした
杏,お姫ちん、こんなフリーダムだったっけ……
奈緒,それをツッコむタイミングはもうだいぶ前に過ぎてるぞ
貴音,愛LIKEらぁめんばぁがぁです
菜々,麺・具・麺のタイプとバンズ・麺・バンズのタイプがありますよね
奈緒,後者小麦粉オンリーじゃねえか……
貴音,それもまた佳し、ですよ。それでは、これでお暇いたします
奈緒,……杏、飴いるか？
杏,超いらない。あ、そう言えば
奈緒,うん？。
杏,スタッフさんに音源もらってきたよ
菜々,あとでナナにもくださいね
杏,もち
奈緒,な、な、なにしてやがんだこんにゃろぉぉぉっ！？
杏,なにってそりゃ
奈緒,。あのスタッフさんが録音ネタ多用したの、まさか杏の差し金じゃ……
杏,一体杏を何だと思ってるのさ
菜々,ナナ達のは単なる趣味ですよ？
奈緒,いや何の言い訳にもなってないから！
杏,実際のところは……ううん、やめとこう
菜々,……それが賢明ですね……
奈緒,な、なんだよ……怖いだろ、やめろよ
菜々,世の中、知らない方がいいこともあるんですよ
杏,プロデューサーの財布はボドボドだとだけ言っておくよ
奈緒,……あ、だいたいわかった。……データ没収しても無駄なんだろうなぁ
杏,当然、バックアップはぬかりないよ
奈緒,なんでそんなとこだけはマメなんだよ……
杏,どやっ☆
菜々,なんて正しいドヤ顔の使い方っ……
杏,奈緒も、年上の安部さんに甘えていいんだよ？
菜々,いや甘えられるのはやぶさかじゃないですけど、ナナは同い年の17歳ですからね
奈緒,だからやんねーって言ってるだろぉ！
CD第6弾は本日4/30発売ですよ！,ダイマ
