橘ありす,充電……と
ありす,ふぅ……。不覚です……タブレットの充電を忘れて寝てしまうなんて……。おかげで事務所に着くまではただの重い板でした……。さて、充電が済むまで、台本にでも目を……
宮本フレデリカ,ありすちゃーん！見て見てー！
ありす,通すのは、無理でしたね……
フレデリカ,？
ありす,こちらの話です。どうかしたんですか？
フレデリカ,フレちゃん、バズっちゃいました！
ありす,！！！！！
フレデリカ,……？
ありす,どこの冷蔵庫に入ったんですか……？なんでそんなことを……私も一緒に謝りますから……私の監督責任です……
フレデリカ,ぜんぜん信用されてない！！！。ちーがーうーよー！フツウの投稿が伸びたの！
ありす,そ、そうだったんですね……すみません、てっきりフレデリカさんがやらかしたのだとばかり……
フレデリカ,まったくもー！
ありす,と、ところで！どんな投稿が伸びたんですか？
フレデリカ,この前の、ありすちゃんが奈緒ちゃんにひざまくらしてもらいながら気持ち良さそうに寝てた写真！
ありす,なっ！ばっ！えっ！な、ななな何してるんですか！？！？！？
フレデリカ,あれ？ありすちゃんのことだからてっきりもう見てるのかと
ありす,ちょっと今日はタブレットが使えなかったんです！スマホもいじる時間がなくて！
フレデリカ,これだよこれ〜
ありす,どれ！
フレデリカ,ああん！ありすちゃんってばダイタン！
ありす,うう……いつの間に撮ったんですかこんなの……
フレデリカ,いちまんリツイートだよ！すごいね！
ありす,奈緒さんも止めてくださいよ……
フレデリカ,と、いうわけで、フレちゃんは目覚めたのです！
ありす,はい？目覚めた？
フレデリカ,バズるのって気持ちいい……！！！
ありす,それあんまりよくない目覚めでは……
フレデリカ,フレちゃんもっとバズりたい！どうすればいいかな！？
ありす,知りませんよ……というか日常の投稿だって多少は伸びてるじゃないですか。アイドルなんですから
フレデリカ,もっとほしい！！！
ありす,すごいダメ人間の気配がします……
フレデリカ,やっぱりありすちゃん専門の画像投稿アカウントになるしかないのかな……
ありす,撮るな！！！。だいたい、そういうのは狙うものではないです。結果的にバズるのは良いにしても、最初からバズることを目的としてSNSを利用するのは間違っています！
フレデリカ,バズリタイ……バズリタイ……
ありす,なぜ禁断症状みたいになっているんですか……
フレデリカ,というわけで、その道のプロをお呼びします！
ありす,へ？
フレデリカ,ちょっと待っててね！
ありす,え！？あ、ちょっと、どこへ……！
フレデリカ,ただいま！！！
ありす,はやっ！……って、その方は
