鷺沢文香,急にお呼び立てして申し訳ありません……ありすちゃん
橘ありす,いえ、文香さんのためならすぐ駆けつけます。それで話というのは？
文香,私もありすちゃんも……、ありがたいことに多くのファンを獲得しています
ありす,はい
文香,その割合は、どちらかと言えば男性が多いでしょう
ありす,まあ……そうですね、ライブの客席を考えても
文香,つまりそれだけ多くの男性が、私達で抜いているのです
ありす,文香さん！？
文香,……あ、抜くと言うのは
ありす,いえ！あの……な、なんとなく分かるので説明は結構です
文香,ありすちゃん……顔が赤いようですが
ありす,誰のせいだと思ってるんですか
文香,抜くにあたって、CDやライブ映像などをオカズにする方は稀でしょう
ありす,オカズって……つまり、その……あうぅ
文香,なかには、CDに直接ぶっかける方もいるかもしれませんが……
ありす,ううう……文香さんの清純なイメージが音を立てて崩れていく……
文香,そこで用いられるのが二次創作……同人誌やイラストサイトです。年齢は関係ありません。女性であればすべからくズコバコされています
ありす,あ、あの！せめて、えっと……オブラートに包んだ表現をお願いします！
文香,……かえって分かりにくくなるので却下します。その内容は、イチャイチャエッチか無理やり犯されるか。いずれにせよ相手は人間である場合がほとんどです。触手について、私と一緒に学んでいきましょう。そして創作者の皆さんはもっと触手物を描いて、広めてください。ありすちゃんは生徒役として、触手に犯される心構えを学んでください
ありす,帰っていいですか
文香,では……代わりに市原さんか遊佐さんをお呼びして
ありす,やっぱり私がやります！。年下に押し付けるなんて出来ません！
文香,ありすちゃん……ヤりますだなんて
ありす,あーもー！あげ足取らないでください！
文香,触手と聞いて、どんなものか想像できるでしょうか
ありす,うねうねしてて……え、えっちなことをするんですよね
文香,はい、そのとおりです。触手と性行為は決して切り離すことが出来ません。触手単独で行動したり、ペットや使い魔のように人間に使役される場合もありますね。その獲物は、やはり女性が多いですが男性の場合もあります
ありす,男性に！？それって、あの……つまり、お、おし――
文香,触手が妖艶な女性の姿になって、精液を搾り取ります
ありす,ですよね！！
文香,今何か言いかけていたような……
ありす,なんでもありません！。そういう……その、創作物は、普通に男性を出すのではダメなんでしょうか
文香,先にも言いましたが、もちろん竿役は人間の方が多いです
ありす,竿役……また知らなくていい単語を知ってしまった……
文香,ですが、特に絵の場合は、人間より構図の自由度が高いというメリットがあります
ありす,あらゆる形にグネグネ動かせるからですね
文香,そしてこれが一番大きな理由ですが……。人間よりグロテスクな生物に犯される方が、陵辱性が高くて興奮するからです。女性型触手の場合は、逆レイプされたいという願望でしょう
ありす,理解できません……
文香,性別による違いが大きいでしょうね。男性は皆、嫌がる女性を無理やり犯したい願望――征服欲があるんですよ。ファンも、プロデューサーさんも、ありすちゃんのお父さんも
ありす,良い笑顔でそういうこと言うの本当にやめてください！。先程うねうねしてると言いましたが、タコの足は触手に含まれるのでしょうか
文香,良いところに気づきましたね。ありすちゃんが積極的に学んでくれて嬉しいです
ありす,早く終わらせたいんです
文香,……では、触手の種類を説明していきましょう
ありす,種類……そんなにいっぱいあるんですか
文香,6種類に大別しました。1つ目――A群は既存生物。ありすちゃんが言ったタコ、それからクラゲ、イソギンチャク、ヒトデなどです
ありす,細長い腕をたくさん持っている、実在の生物ですね。全て海の生物というのも、その……なんというか
文香,興味深いですね……母なる海にたくさんの触手がうごめいている。やはり女性と触手は切っても切れない関係、と考えると子宮がキュンとします
ありす,そんな表現初めて聞きました
文香,ところで葛飾北斎を知っていますか？
ありす,確か浮世絵の有名な人……ですよね？
文香,北斎の作品に蛸と海女というものがあります
ありす,はあ。……って、この流れで出るということはもしかして
文香,触手学会では触手責め創作物の起源と考えています
ありす,学会！？
文香,タコなどは見るからに触手らしきものを持っていますが。そうではないのに触手として扱われる生物がいます。何か分かりますか？
ありす,触手を持っていないけど触手として扱われる……？。なぞなぞとか言葉遊びじゃないんですよね？。うーん、全く想像もつきません
文香,触手に触れる機会の少ない方は、触手と言われても架空生物か。先程挙げた、いかにもという既存生物しか思いつかないでしょうね
ありす,文香さんは触手に触れる機会多いのかなぁ……怖いから訊かないでおこう
文香,それでは創作の幅を狭めることになります。学会ではミミズ、ヒル、ヘビなども触手として扱います
ありす,えーと、細長い身体の生物、ということですか？
文香,はい。大量に集まれば触手と似た印象を与えます。適度に小さいほうが良いですね
ありす,たしかに小さいものが大量に集まると、それだけで気持ち悪いです。グロテスクな方が興奮する……でしたっけ。タコやイカも、見た目が苦手ですし
文香,そこは慣れるしかありませんね……。それまで経験したことのない快感を与えてくれると分かれば、きっと好きになりますよ
ありす,経験したくないです
触手責めの起源と言われる葛飾北斎,蛸と海女
文香,B群は既存生物の身体の一部が変化した場合です。もともと触手を持っているか……、という点でA群と異なりますね
ありす,変化というと？
文香,例えば腕や舌が触手化したり、表皮から直接生えるということです
ありす,メデューサもここに含まれますか？
文香,髪の毛がヘビの怪物……ですね。A-2群もふまえると触手の仲間と考えて良いでしょう。架空生物は複数の分類にまたがる場合も多いです。A群とB群にまたがるものだと、メデューサの他にラミア、スキュラなど……。B群の特徴は、普通の生物を装って獲物に接近できることです
ありす,どういうことですか？
文香,例えば……ありすちゃんがプロデューサーさんに近づきます
ありす,私を例えに使うんですね……
文香,プロデューサーさんが手をかざすと……服の裾から触手が飛び出してきました！。なんとプロデューサーさんの腕は無数の触手に変化していたのです……！。触手に捕われたありすちゃん。お気に入りの服は無残に引き裂かれ。……という具合に、服などで隠れていれば獲物に警戒されないのです
ありす,よく……分かりました。でも、何が原因で変化してしまうのでしょう？
文香,手術、病気、魔法等色々考えられますが、そのあたりは作者さん次第……ですね。個人的には、設定説明に時間・頁を割くより、少しでも多くエロ描写してほしいです。もちろん、設定があることでより深いストーリーになることも……あ。触手の話から逸れてしまうので、このへんにしておきましょう。C群は植物の蔓や幹です。これはA群に近いですね。ただ、やはり待ち伏せが基本になるでしょう
ありす,植物なのでちっとも伏せてませんけど
文香,エロ要素はありませんが、ゴジラVSビオランテは植物触手を語る上で外せません。当時6歳だったプロデューサーさん作者。花のイメージが強ければ女性型、大木のイメージが強ければ男性型の触手といえます
ありす,女性型植物というと、よくゲームにアルラウネが登場しています
文香,そうですね……ビオランテも花獣形態はバラのつぼみがあり、どこか女性的です。あっさり負けるほど弱いんですけど
ありす,えぇ～……
文香,男性型植物触手なら、種を子宮に植え付けるということで分かりますが。女性型植物触手は、受精と受粉どちらと言うべきなのでしょうか？
ありす,し、知りませんよ！
文香,せっかくなので、何か適当な説明をひねり出してみてください
ありす,うう～……じゃあ、えっと、本命というか……赤ちゃんのお父さんはあくまで植物で。人間の……ソ、ソレは赤ちゃんの肥料みたいなものなんです。なのでどちらでもありません
文香,不倫のようでそこはかとない背徳感がありますね……素晴らしいです。ちなみにソレ、とは？
ありす,せ………………ぇ、き…………
文香,大きな声で
ありす,精液ですよ、精液！これで良いですか！？
文香,満足です
ありす,ツヤツヤした顔して……！
文香,女性としては、適度な大きさの種を植え付けられて、異物感を楽しんでみたいですね。ね、ありすちゃん
ありす,同意を求めないでください！
根も触手化している,能動的に動ける
文香,D群は巨大生物の内臓です
ありす,口から触手が出てくる……ということですか？
文香,それはB群に分類されますね。D群は獲物を丸飲みしたあとで触手の出番になります
ありす,うわぁ……
文香,理解できたでしょうか。胃壁が触手状なのです。なぜそんな面倒なことになっているのか。ストレートにぶち込んで犯せば良いじゃないか、と思ったでしょう
ありす,いえ、べつに
文香,思ったでしょう？
ありす,……………………はい
文香,これも作者さん次第にはなりますが。そのあたりの設定を考えて眠れぬ夜を過ごすのも楽しいですよ
ありす,文香さんだったらどういう設定を考えますか？
文香,そうですね……
ありす,……
文香,飲み込まれているので、脱出は不可能。逃げ場はありません
ありす,剣とかも一緒に飲み込まれていればあるいは
文香,都合のいい胃酸で、そういった物は全て溶けてしまいます
ありす,本当に都合いい！
文香,絶望的ですよね
ありす,そう……ですね
文香,最高にエロいです
ありす,巨大生物がそうなった、生物学的な理由は？
文香,エロければなんでも良いんですよ
ありす,…………。文香さんって、こんなに残念な人だったかな……
文香,E群は生物ではありません
ありす,そんな触手があるんですか？
文香,機械です
ありす,それを触手と言って良いのでしょうか
文香,これまでと趣は大きく異なりますが、暴走した機械に大量のケーブルで拘束されたら……
ありす,たしかにそれは怖いかもしれません
文香,胸が熱くなりますよね
ありす,えぇ～……
文香,文字通り機械的に、休みなく、脳波や血流を読み取って的確に責めます。マトリックスやターミネーターの世界ならそういう機械もたくさんいそうです
ありす,ファンに謝ったほうが良いと思いますよ。まあ、でも機械だから……あ、いえ、なんでもありません
文香,なんでもないことはないでしょう。そこまで言っておいて
ありす,くっ……失言でした。いえ、あの、機械だから……生物ではないから、妊娠する心配はないかなぁ、と
文香,甘いですよ、ありすちゃん。美味しいから大丈夫で済まないほど甘いです。人間から搾り取った精液を使用すれば済む話です
ありす,わざわざ機械が間に入る意味はあるんでしょうか
文香,精液を遺伝子操作して超人類を作るのかもしれませんね
ありす,だとしても他にやり方はあるんじゃないですかねぇ……？
文香,最後の分類、F群もやや特殊です
ありす,これで最後ですね、気を強く持とう
文香,F群は衣服の内側に潜む、数mm程の細かい触手です。触手服と言われることもありますね
ありす,そんな服誰が好き好んで……いえ、着るまで全く分からないんですね。そうでしょう？
文香,その通りです。ありすちゃんも触手のことを分かってきましたね
ありす,あはは……あまり嬉しくないです
文香,野生には存在し得ないので、人工的に品種改良されたのでしょう
ありす,そもそも触手は野生……どころか現実に存在しませんよ……。現実のA群にしても、人間にえっちなことするわけじゃないですし
文香,一度着たら、着ている本人の意志で脱ぐことは出来ません。触手は肌に張り付き全身を愛撫します。もしライブ衣装が触手服にすり替えられ、ステージに上るまで気付かなかったら
ありす,うわっ、これまでで一番ゾクッとしました……
文香,そう、触手の愛撫に耐えながら、何事もないように歌いきるしかないのです。涙をたたえてinfactを歌い上げるありすちゃん
ありす,ちょっと！
文香,でも実はアヘ顔になるのを必死でこらえる涙でした
ありす,やめてくださいよ！
文香,真逆の心意味深
ありす,最悪です！！。よ、ようやく終わった……
文香,何を……言っているのですか？これから触手の特性に関する説明があるのですが
ありす,ええっ、もうやったじゃないですか。触手とは、って
文香,あれは概要です。あの程度で説明できるほど薄っぺらではありません。ここからはより具体的に描写できるよう説明していきます
ありす,もうやだ……！私の好きな文香さんに戻ってください
文香,……さて、現実的に考えれば、異種姦で妊娠することはありませんが。触手はあらゆる生物と性交し、子を宿すことが出来ます。そういう生物として広く認知されているので、そこの設定を気にする必要はありません
ありす,恐ろしい……
文香,媚薬効果の体液を飲ませたり、巧みな愛撫で確実に発情させます。また、B群は元生物の生殖器をそのまま利用できます。先程の例だと、ありすちゃんに挿入されるのはプロデューサーさんの生おち――
ありす,わーっわーっ！
文香,良かったですね
ありす,ちっともよくありませんが！
文香,中出しは精液に限りません。卵や種なら、より異種性を強調できるでしょう。鳥類の硬い卵と、カエルなどのゼリー状の卵……ありすちゃんはどちらが良いですか？
ありす,どちらも嫌です
文香,やはり精液が一番、と……
ありす,したり顔でうなずくのやめてもらえますか。……ゼリーで思ったんですが、ホイミスライムってどこに分類されるんでしょう？
文香,すみません、ホイミスライムが良く分からないのですが……
ありす,えっと……こういうのです。こっちは普通のスライムですね
文香,クラゲの派生と考えればA群……スライムが変化したもの、と考えればB群でしょうか。架空生物でも動物は大抵、A群かB群になるかと思います
ありす,なるほど
文香,それにしてもありすちゃんがスライム姦に興味あったとは……。私、スライム姦には疎いので今度教えていただけますか？
ありす,ち、違いますよ！なんとなく浮かんだだけです！
文香,子宮や腸内に寄生する触手もあります
ありす,うええ……
文香,ありすちゃんは触手に襲われましたが、なんとか逃げることが出来ました
ありす,また私を例に使うんですか
