飛行機を降りるとホームステイでお世話になる陽気そうな4人家族がホワイトボードいっぱいに,KAKO
結局、アメリカでも,私=幸運
ふとそう思ったとき、私は初めて留学に行きたかった理由が,私=幸運
モバP,………………
茄子,だめ、でした？
モバP,いやそんなことはないよ。ただ事務所のファンクラブ誌に載せるから自由にエッセイ書いてきてってオーダーでまさか俺も聞いたことなかったこんな話がくるとは……
茄子,頑張っちゃいました♪
モバP,確認だけど茄子さんはいいの？これ、ファンのみなさんが読むんだけど
茄子,はい。これも私を見せつけることの１つですから♪
モバP,……なら、よし！じゃあこれであとは編集さんの方に……
茄子,あ、ちょっと待ってください。まだ1つだけ相談したいところが
モバP,え？どこ？
茄子,タイトルです。このエッセイのタイトル、いいのが思いつかなくって
モバP,あ～プロの方に任せるでもいいけど、なんか案ある？
茄子,茄子の過去、とか？カコだけに♪
モバP,確かに過去の話だけど……なんか内容との落差が
志希,おはようございまーすそして朝のスーハーターイム！
モバP,おま、朝から匂い嗅ぐのやめろヘンタイ！
志希,よいではないかよいではないか～！あ、茄子さんおはよ！
茄子,おはようございます♪
モバP,ったく……あ、そうだ。茄子さん志希に決めてもらうのはどう？
茄子,えっ？それはちょっと恥ずかしいというか……志希ちゃんに目の前で読まれるのはちょっと……
志希,おや？茄子さんなにか書いたの？そう言われると読みたくなっちゃうな～見して！
モバP,だーめ。茄子さんのエッセイなんだから茄子さんがダメって言ったらダメに決まってるだろ
志希,はーい。レッスン行ってきまーす
モバP,ん？お前があっさり引き下がるなんて珍しいな
志希,だって～あたしは志希ちゃんだよ？そしてあたしは天才だから空気くらい読めるのだ～
モバP,ほんと嵐みたいなやつだな……で、茄子さんどうする？プロに投げる？
茄子,……いえ、決めました……これにします♪
モバP,……わかった。じゃあそれで。出しとくわ。今日はレッスンだけだからな。レッスン頑張って
茄子,はいっ♪
