おっちゃんから渡された伝票の名前を見て、誰に言うでもなく,なるほど
春紀,……と、こんなもんか
鳰,いやぁーご苦労様っスー
春紀,にしても……剣持が、な
鳰,そうなんスよー
春紀,本人も入院とは……随分派手にやったんだな。惜しかったのか？
鳰,何がっスか？
春紀,晴ちゃんの暗殺に決まってるだろ
鳰,惜しいも何も……剣持さんは何もしてないっス
春紀,は？
鳰,予告票渡すだけ渡して毒で入院っスから
春紀,オイちょっと待てよなんだよそれ不憫過ぎるだろ
鳰,言ってなかったっスね
春紀,いや、別に剣持がどうなろうと、アンタに報告義務なんてないんだからいいんだけど
鳰,そうじゃないっスよ
春紀,？
鳰,誰が毒でやったと思います？
春紀,……？さぁ、そういえば誰だ？東も晴ちゃんも、そういうタイプには見えないけど……
鳰,桐ヶ谷さんっスよ
春紀,はぁ！？
鳰,桐ヶ谷さんと生田目さんは……もう………
春紀,は……？桐ヶ谷は剣持を殺して…その桐ヶ谷も生田目と死んだってことか……？三角関係？
鳰,動揺してるのはわかるっスけど、相当アホなこと言ってるっスよ。いま
おっちゃん,よっ！もう忘れ物はないかい？
鳰,あっ！はーい！いま点検してたんですけど、大丈夫みたいっスー♪
春紀,……まぁ、いいや。それじゃな、鳰
おっちゃん,っと、寒河江。お前、今日はもう上がれ
春紀,へ？でも
おっちゃん,荷物も大した量じゃなかったしなー
春紀,い、いやあたしは
おっちゃん,安心しろ。社長には積み降ろしが終わったあとに最寄り駅で降ろしてやったって言っとくから
春紀,いや、バイト代の心配してるんじゃなくて
おっちゃん,……色男に会ってこいよ。っじゃなー
春紀,あっ！おい！待ってよ！
鳰,……行っちゃったスね
春紀,……お前がおっちゃんの前で伊介様の話するからだぞ
鳰,ありゃ完全に男だと思われてるっスね
春紀,はぁ……ややこしい名前だよなぁ……
鳰,春紀さんにそれ言う資格はないと思うっスけど
春紀,おっちゃんの中じゃあたしが伊介様に……ってことだろうな……
鳰,だと思うっスよー♪いやぁー面白いことになっちゃいましたねー
春紀,……
鳰,いったぁああ！！！
春紀,お前、うるさい
鳰,うぃっす……
春紀,大体、あたしはもう伊介様に会う理由なんてないしな……
鳰,まぁまぁ。さっきの話じゃないっスけど、生きてる内に会っておいた方がいいんじゃ？って思うんスよねー
春紀,……生田目と桐ヶ谷のことか
鳰,そうっス
春紀,詳しく聞かせてもらえるか？
鳰,えぇ。まず、生田目さんの狙いは最初っから晴じゃなくて桐ヶ谷さんだったんスよ
春紀,はぁ……？どういうことだ？じゃあずっと仲のいいフリをしていたということか？
鳰,いやいや。生田目さんはとあるアサシンを追ってたんスけど、そのアサシンの顔まで知らなかったんスよ
春紀,……すごい偶然だな。何も、その二人じゃなくてもよかったのに
鳰,桐ヶ谷さんは千足さんと暮らすことを条件に晴に予告票を渡したんス
春紀,そう、か……
