和泉マサムネ,おーい紗霧、いい加減部屋から出てこいよ！
紗霧,いや、出ない出ない出ないーーーーっ！！
マサムネ,紗霧……
紗霧,絶対に出ないもんっ！
マサムネ,はぁ……しょうがない、とりあえず買い出しに行くか。ふぅ……今日は暑いな。こんな暑い中外を歩くとのどが渇くな。どこか休める喫茶店のような場所は……おっ？。ラビットハウス？こんなところにこんな喫茶店あったんだ。入ってみよう
ココア,あっ、お客さんだ！
チノ,いらっしゃいませ
マサムネ,ッ！？
ココア,お客様、一名様ですか？
マサムネ,えっ……あ、はい
チノ,こちらへどうぞ。あの、お客様？
マサムネ,あっ、ごめんなさい
ココア,ご注文は？
マサムネ,えっと、じゃあアイスコーヒーで
チノ,かしこまりました
マサムネ,………似てる、やっぱり紗霧に似てるぞ
ココア,あのお客さん、さっきチノちゃんのことジーっと見てたけど
チノ,私、何か気にさわるようなことをしたでしょうか
ココア,もしかして、チノちゃんがあまりにも可愛いから見惚れちゃったんだよ！
チノ,変なこと言わないでください。ほら、早くこのコーヒー持ってってください
ココア,はーい。お待たせしました。アイスコーヒーです
マサムネ,どうも
ココア,ごゆっくりどうぞ
マサムネ,どれどれ……。うん、旨いな。ただいま、おーい紗霧！
紗霧,何？
マサムネ,明日、一緒に喫茶店に行こう
紗霧,やだっ、外には出ない！そうやって兄さんは私を無理矢理外に出そうとしてるんでしょ
マサムネ,まあ聞け。ほら、この間絵のモデルになってくれる可愛くておっぱいが大きくてパンツ見せてくれる子が欲しいって言ってたろ
紗霧,えっ、見つかったの！？
マサムネ,ああ、明日一緒に喫茶店に行くっていうなら会わせてやるよ
紗霧,うぅっ、兄さんのいじわる！
マサムネ,まあ、お前が嫌なら無理にとは言わないけど
紗霧,うぅぅ……行く、その喫茶店行く！
マサムネ,よし！。ここだ
紗霧,ふーん…
マサムネ,なあ紗霧、さすがにお店に入ったらそのお面は外せよ
紗霧,うう、顔出しNG！
マサムネ,喫茶店なんだし、それじゃ食事できないだろ
紗霧,うぅ……
ココア,いらっしゃいませ
マサムネ,やあ、どうも
チノ,あっ、昨日のお客さん
ココア,また来てくれたんですね！あれっ、今日は一人じゃないんだ
