安部菜々,ウムムムムム……
高森藍子,だから、もうちょっと角度を……あっ、菜々さん！おはようございますっ♪
北条加蓮,おはよー菜々ちゃん
菜々,…………
加蓮,……菜々ちゃん？
藍子,考えこと、でしょうか……？
菜々,ハッ。おおっといけない！おはようございます、キャハッ☆。今のは……そう！ちょっとウサミン星との交信をどうするか考えていたんですよ！
加蓮,なになに？とうとうウサミン星が爆発した？
菜々,してませんからね！？
藍子,そ、そんな……！ウサミン星が爆発しちゃったら、菜々さんはどうなっちゃうんですか！？
菜々,してませんからね！？！？
加蓮,菜々ちゃん……。大丈夫だよ。帰るところがなくても、私達がいるよ
藍子,辛いことがあったら、何でも言ってくださいね……ぐすっ
菜々,いやいやいやいや！勝手に人の故郷を破壊してシリアスにするのやめてくれません！？
加蓮,とまあそれは冗談として
藍子,え……？
加蓮,大丈夫だよ藍子。菜々ちゃんには帰る場所があるんだから。泣かなくていいんだよ
藍子,加蓮ちゃん、菜々さん……うぅ、よかったです～～～～！
菜々,加蓮ちゃああああああああああああん！だからそういうのはやめてください～～～～！
加蓮,たははっ
藍子,ごしごし……。でも、ウサミン星との交信も、スマートフォンみたいに上手くいかない時があるんですね
菜々,そうなんですよ！最近はあっちから余計な電波ばっかり入って！ナナ困ってばっかりなんですよぉ～
加蓮,ふうん……
菜々,ところで２人は何やってるんです？ソファに並んで座って……テーブルの上にロールケーキ？と……電球？
藍子,今、加蓮ちゃんと一緒に、どうやったらロールケーキを美味しそうに撮れるか色々試していたんです
加蓮,ＳＮＳにあげる時も、映り方で反響とか全然違うからねー
菜々,あー。大変ですよねアレ。最近の若者は自撮りに記念撮影、なんでも撮らなきゃいけないから大変ですよね～
藍子,そ、そうです、ね？
加蓮,あはは、そうだね……
菜々,……？なんですその微妙な反応は？。写真と言えばナナもついこの前ツ◯ッターを始めたんですが、そうそう聞いてくださいよ！。載せる写真のことでモバＰ以下Ｐ。せっかくナナ渾身の１枚を用意したのに！全部ＮＧって！ヒドいと思いません？
加蓮,ひどいねー
藍子,どんな写真だったんですか？
菜々,えーと、確か……温泉です！。瑞樹さんとですね、温泉の下見に行って来たんですよ。今度、温泉巡りのお仕事をするとかなんとかで。ナナもついていっちゃいました♪
加蓮,温泉？私も行きたいなー
藍子,あっ、それってもしかして、加奈ちゃんも一緒に参加しているっていう？
菜々,みたいですね！で、ロケハン帰りに１泊してきたんですが、その時の写真が――
加蓮,うん。分かった。話題を変えよう
菜々,？
藍子,えーっ。加蓮ちゃん、最後まで聞きましょうよ。菜々さん、困ってるみたいじゃないですか
加蓮,いや、
藍子,それに、私たちで原因を考えることができるかもしれませんよ。そうしたら、次はＰさんにも許可してもらえる写真が撮れるかもしれません。せっかく菜々さんもツ◯ッターを始めたんですから、今のうちに考えてみましょうっ
菜々,藍子ちゃん……！今日もその優しさが身にしみるっ
藍子,きゃっ
加蓮,……。で、菜々ちゃん。その時の写真が？
菜々,全部Ｐさんにダメって言われたんですよ！ヒドくありません！？
