闇の深いＰ(以降Ｐ表記),あ゛～…ようやく終わったわ…
Ｐ,…もうこんな時間か…腹減ったなぁ…。冷蔵庫に何かあったっけか、どれどれ…。ん～…事務所の冷蔵庫の中身とは思えないぐらい食材が充実しているんだが。料理好きなアイドル多いもんなぁ…。確か自由に使っていい。挽肉が大量にあるな。…よし。そうと決まれば足りない材料買いにいくか。ただいまー。ってもう誰もいないんだっけ。よし、チャッチャと作るか。腹減ってるし。まずはネギをみじん切りだ。まず縦に切り込みを入れるとやりやすいぞ。挽肉は冷蔵庫から出しておく。…って本当にすげぇ大量にあるな。ハンバーグ祭りでもあったのか？。次はキャベツだ。こっちは千切り。んでもってザルに入れて上から重石を乗せて水切りだ。えっと、重石になるもの…なりそうなもの…。丁度、超合金ぴにゃこら太と光の忘れていったライオンハオーがあったから使わせてもらおう。水切りしている間にタネに混ぜるものを準備する。えっと、冷蔵庫の中には…おっ、シソがあるではないか。後は…。…なんでカツオの切り身がこんなにあるんだよ。みく用。まぁいい。コレも使うか。あとは…
？,…
Ｐ,トリガラを一度沸騰するまで茹でて、生臭みを無くしてから再度煮込む。この際ネギの青い部分を入れるとなお良し。蒼じゃなくて青いとこな。ここ重要。塩で軽く味付けしたら火を止めて冷まして…。うっし、そろそろタネ作りにかかるか。…独り言増えたなぁ…。歳かな。ボウルに挽肉投入。２種類作るのでボウルも２つに分けておく。片方にはネギとシソ。もう片方にはキャベツを入れて軽く塩を振っておく。本当はニンニクたっぷりブチ込みたいところだが明日も仕事だし、代わりにキャベツ入りの方には多めにショウガを入れておく。シソの風味を生かしたいのでネギ入りの方はショウガは少量に。後はごま油をちょっと垂らして…混ぜ合わせる。手でこねても当然いいんだけど、２種類あるし手をいちいち洗わんといかんのは面倒だから…ジップロックに移し変えて、と。うぉっ、やっべ毀しかけたわ…。うし、ジップロックに入れたら、後は袋越しに揉めばお手軽簡単。…っと、こんなモンでいいかな。トリガラは…まだまだ熱いな。ボウルを一旦洗って氷と水を入れて、トリガラの鍋を冷ましておく。しばらく時間がかかるな…腹減ってるけどここまで作って今更何か間食するのもアレだし…。タレでも作るか
？,……
Ｐ,醤油に鷹の爪とごま油を混ぜたピリ辛風味のタレとアルコールを煮詰めて飛ばした梅酒とめんつゆを混ぜた梅風味のタレを作ってみた。辛いのと酸っぱいのって交互に食うと無限ループに嵌まるよな。自分で作っておいてなんだけど、何て事をしてくれたんだ…。トリガラは…まだ熱々だな。煮詰めるぐらい熱したから仕方ないけど。腹減ってるから早く食べたいんだけどなあ…。芳乃～…トリガラ冷ましてくれ～…。…なーんてな。ん？。…気のせいか。あれ…冷めてる。冷めてコラーゲンぷるっぷるになったトリガラの完成だ。肌に凄く良さそうだな。アンチエイジングさんが食いつきそうなぷるぷる具合だ。さぁて、これを…
？,ﾆﾆﾝｯ!?
Ｐ,うおっ、なんだなんだ？
あやめ,あいたた…
Ｐ,親方！空からアイドルが！
あやめ,そ、空ではなく天井からからですが…
Ｐ,冗談だ。ケガしてないか？
あやめ,はい、ちょっとお尻を打ちましたが…あたた、不覚…
Ｐ,天井裏で何やってたんだよ。いつからいたんだ？
あやめ,Ｐ殿がお仕事を終えて買い物に行かれるあたりからでしょうか
Ｐ,声かけろよ…。ただいま
あやめ,も、申し訳ありませんっ。お声をかけようとは思ったのですが、Ｐ殿がなにやらとても楽しそうに料理を始めたのでタイミングを逃したと言いますか…
