モバP(以下P),唐揚げうめぇ
ちひろ,プロデューサーさんって、本当に唐揚げが好きですよねぇ
P,はい、大好きですよ。これから一生一種類しか食べれないなら何を選ぶか聞かれたら、唐揚げを答えるくらいには好きです。まぁ、厳密に言えば鳥肉が好きですね。
ちひろ,筋金入りですね……。まぁ、確かに言われてみればプロデューサーさんってお昼は、毎日唐揚げ弁当ですものね
P,(･´ｰ･｀)
ちひろ,いや、そこでどや顔する理由が分かりませんけども。どや顔が許されるのは幸子ちゃんまでですよ
P,幸子って、なんであんなにどや顔が可愛いんでしょうね？
ちひろ,ですよねぇ
P,さて、飯も食べ終わりましたし……仕事再開しますか
ちひろ,まだお昼休憩終わってないのに、プロデューサーさんは本当に働きものですねぇ
P,はっはっは、これもアイドルの為ですよ。……
ちひろ,プロデューサーさん？どうかしたんですか？
P,へ？あぁ、いや何でもないです。気に障ったならすみません
ちひろ,いえ、別に怒ってるわけではないんですが……少し気になったもので。何でもないんならいいんです。お仕事の手を止めちゃってすみません
P,いやいや、こっちこそなんかすみません。……さて、仕事仕事。……っ！
ちひろ,あの、プロデューｓPあぁぁぁぁぁぁ、かゆいかゆいかゆい！。⁉
P,んほおおおおおお！背中がかゆいのおおおおおおお！
ちひろ,プロデューサーさん⁉本当にどうしたんですか⁉
凛,プロデューサーの嬌声が聞こえたんだけど、どうかしたの？
ちひろ,あ、凛ちゃん！大変なんです、プロデューサーさんが急に狂ったように背中を掻き始めて……！
P,ひぃ……ひぃ……っ
ちひろ,あぁ、今度は雛見沢症候群ばりに首を掻きむしってる……！
凛,まさか、スタドリの影響……？
ちひろ,失敬な。そんな危ない成分は入ってないと思います！
凛,せめて、そこは断言しようよ。プロデューサー？本当にどうしたの？ちひろさんにスタドリ盛られた？
P,いや、違うんだ！なんか、急に体中が耐えられないくらいに痒くって掻かないと精神がやばい！
凛,……プロデューサー、ちょっとごめんね
P,キャア！急にシャツをめくらないでよ///
ちひろ,いい年したおっさんが何を顔を赤らめてひぃぃぃ⁉
凛,これは……ちょっと私でも引くかな……
P,え、ちょっと二人ともどうしたんだ？
凛,はい、鏡。これで、背中見てみてよ
P,背中？背中がどうし……ひいいいいい⁉背中が湿疹だらけできもい！。え？なにこれ、何かのやばい病気？
ちひろ,と、とにかくただ事ではないですから至急病院に行ってください！
P,で、ですがまだ仕事が……
凛,そんな事言ってる場合じゃないよ。きらり！
きらり,にょわぁ！
P,うぉ、きらりどっから出てきた⁉
凛,きらり、プロデューサーを病院に運んでくれる？
きらり,きらりにお任せにぃ☆
P,あ、ちょ、こらきらり！俺をお姫様抱っこするんじゃない！
きらり,もう、Pちゃんったら暴れちゃだめぇ☆さ、病院いこ？
ちひろ,きらりちゃんがプロデューサーさんを抱えて窓から飛び降りてった……。鳥肉アレルギー？
P,みたいです……。今は薬で何とか抑えてますが、服が擦れる度に違和感が半端ないです
ちひろ,アレルギーって、そんなに急になるものなんですか？
P,えぇ。基本的にアレルギーは前日まで大丈夫でも翌日に急になったりとかザラなんですよ。それにしても、まさか鳥肉アレルギーにまでなるとは
ちひろ,……まで？
P,えぇ、実は俺花粉症も患ってまして、ブタクサ以外アウトなんですよ。あとは、ハウスダストもアレルギーだし、金属もダメですね
ちひろ,役満じゃないですか
P,花粉とかハウスダストは耐えられるんですけど、鳥肉アレルギーは正直精神的ダメージがでかいですねぇ
ちひろ,プロデューサーさん、鳥肉大好きですもんね
P,生まれた時からアレルギーならまだしも、その美味さを散々知ってからの禁止は堪えますよ
ちひろ,それって、もう治らないんですか？
P,どうですかねぇ。花粉症とかも二十年来の付き合いですし望み薄でしょうね
凛,何が望み薄なの？頭？
P,まだハゲてねーし。ちょっと髪の毛が後退守備してるだけだし
ちひろ,おはようございます、凛ちゃん
凛,おはよう、ちひろさん。プロデューサー。それでプロデューサー、あの後大丈夫だったの？
P,実はモバモバちひちひで
凛,しぶしぶりんりんなんだね……って、大丈夫なのそれ？
P,大丈夫じゃないよ……鳥肉禁止ってあれだぞ？ちひろさんに稼ぐの禁止って言うようなものだぞ？
