モバＰ,以降Ｐ表記よ、この豚
ちひろ,いえいえ、私もついさっき来たところですよ
Ｐ,そうですか？なら良かった。それにしてもちひろさん随分早いですね。俺も割と早めに着くようにしたつもりなんですが
ちひろ,ふふ、女性を待たせるなんてまだまだですね、プロデューサーさんも
Ｐ,やっぱり待たせてたんじゃないですか
ちひろ,言葉のあやですよ。ほら、行きましょう？
Ｐ,ええ。…あ、そうだ。…コホン。今日１日よろしくお願いしますね、ちひろさん
ちひろ,はい、こちらこそ。よろしくお願いします
Ｐ,…
ちひろ,…
Ｐ,…気持ち悪くなってきたんでそろそろやめましょうか
ちひろ,そうですね…普段通りでいきましょう
卯月,数日前の話です！
未央,誰に話しかけてるの？
ちひろ,テーマパークのペアチケット？
常務,ああ。貰い物なのだが、どうにも私は時間を作れそうになくてな。良ければ使ってくれないだろうか
ちひろ,わっ、ここって最近出来た超人気スポットじゃないですか！あ、でも有効期限が今月までなんですね
常務,このまま無駄にしてしまうのも忍びない。日頃よく働いてくれている事だ、たまには息抜きしてくるといい。折角の機会だ、あの心の闇深そうなプロデューサーでも誘って行ってみたらどうかな
ちひろ,心の闇が深そうって人をデートに誘えって
常務,君達２人は特に働きすぎだ。仕事熱心なのは感心だが節度というものがある。働きすぎて体を壊してしまえば元も子も無いだろう
ちひろ,常務…
常務,と、この前会議の後アッキーにそうアドバイスを受けてだな
ちひろ,アッキー会議出てるんですか！？
常務,では、楽しんできてくれたまえ。お土産はチョコチップクッキーを期待する
ちひろ,あ、ちょっ…コレってアイドルの娘に転売したりしちゃ……って、行っちゃった。どうしましょうねコレ…。凛ちゃんまゆちゃんあたりになら元の１０倍ぐらいで売れそうですけど。…やめときましょう。下手にそんな真似して事務所が更地と化すような事になったら大変ですし。うーん…確かにたまには私だって休みたいし遊びたいですし…かと言ってプロデューサーさんと２人で、というのも…むむむむ
Ｐ,呼びました？
ちひろ,わっほい！
Ｐ,うわ、何ですかそのリアクション
ちひろ,び、ビックリさせないでくださいよ…！い、一体いつからそこに？
Ｐ,常務がちひろさんにテーマパークのチケット渡すところからしか
ちひろ,最初から最後まで見てんじゃねぇか。まぁいいです。つまりそういう事なので、はい
Ｐ,はい、と言われても。このチケットをどうしろと？
ちひろ,ですから、見ていたのなら分かりますよね？
Ｐ,ああ、なるほど。いくらで買えと？
ちひろ,シャォラァ！
Ｐ,ぴくるっ！
ちひろ,折角貰った訳ですし、常務のご厚意に甘えて行きませんか？と言ってるんですけど
Ｐ,ゴフッ…それならそうとハッキリ言ってくださいな…
