モバＰ,以降Ｐ表記だよ★フヒヒッ
Ｐ,えっ？いや違うって。何でそういう事になるんだよ
凛,フンフンフフンフーン、空の世界で蒼の剣～。…あれ、プロデューサー？こんなところで…って、電話中か。うん、邪魔したら悪いし後ろからこっそりクンスカしよ
Ｐ,うん、俺も好きだよ
凛,っ！？
Ｐ,いやいや嘘じゃないっての。好きだよ、そりゃあもう。うん…うん、わかった。じゃあ仕事終わったらお前さん家行くよ。…はいはい、わかったわかった
凛,えっ、な、何？何今の…
Ｐ,んじゃ、また後でな。ちーちゃん。さて、と。それじゃ定時まで頑張るぞい
凛,好き？好きって言った？えっ？プロデューサーにいつの間にかそんな相手が…？え、モバマスのメインヒロインってわた渋谷凛じゃないの？
Ｐ,何奴！？
凛,…っ！。…に。にゃあ～…
Ｐ,何だ、ただの３代目シンデレラガールか。おっと、早く戻らないと
凛,…。な…。何とかせな…！。と言う訳だよ
未央,事情は分かったけどさ。けどいきなりオフで自分の部屋でゴロゴロしてる未央ちゃんを拉致しなくてもよくない？
卯月,随分油断しきった格好でゴロゴロしてました！
未央,窓からいきなりしまむーが飛び込んで来るんだもん。ちゃんと玄関から入ってよー
卯月,それだとビックリさせられません！
未央,友達の来訪にいちいちそんな衝撃いらないんだけど
まゆ,まぁ、未央ちゃんが巻き込まれるのは毎度の事ですからどうでもいいですけど
未央,辛辣！
まゆ,プロデューサーさんが電話口で愛を囁くお相手がいるなんて、そんな泥棒猫…人の影なんて全く気づきませんでしたけどねぇ…
肇,何で私まで…？
卯月,凛ちゃんの幻聴という説はどうでしょう！？
凛,そんな訳無いって。ほら、これが証拠
未央,あらら
肇,…んー
まゆ,…うふ
卯月,スケコマシですね！
凛,どう？仕事に忙殺されてるようなフリして陰でコソコソとイチャつく相手がいるかもしれないんだよ、プロデューサーに
未央,いやぁ、それぐらいプロデューサーにも自由というかプライベートというか…
肇,そ、そうですよ。Ｐさんだって恋愛ぐらい普通にしますよ
卯月,案外事務所の誰かかもしれませんしね！
未央,しまむーは火にガソリン注ぐのが好きだねぇ
まゆ,うふ……確かに、ちょっと捨て置けない話かもしれませんねぇ
肇,わぁ、久しぶりにちょっとまともなヤンデレモードのまゆちゃんだ
未央,ちょっとまともなヤンデレって凄い日本語だね
凛,まぁ、そういう訳だけど、どうする？みんな
