モバＰ,以降Ｐ表記でしゅ！…です
ちひろ,あら、どうしたんですか？珍しく真剣に悩んだりして
Ｐ,呼吸をするようにｄｉｓるのやめてくれません？俺だって毎日悩んでますよ
ちひろ,どうせ夕飯の献立とかでしょ
Ｐ,何で知ってんだよ。…いや今回はちょっと違いまして
ちひろ,課金が足りないのでしたら良い金融会社紹介しますよ？ミナミの萬田さんとか
Ｐ,ケツ毛も残らなさそうですからお断りします。それにお金ならこの前ロト当てたんで困ってないですし
ちひろ,ちょ、なら課金してくださいよ
Ｐ,この前の愛梨のレギュラー番組のことなんですけどね？ちょっとクレームが来てしまいましてね…
ちひろ,愛梨ちゃんのですか？あれ、あんなに人気番組なのにですか？あと課金してくださいよ
Ｐ,そうなんですよ。数字も取れてるし良い感じでいってると思ってたんですけど
ちひろ,あ、もしかして愛梨ちゃんがまた脱ごうとしてお茶の間の保護者の方々からお叱りが…？
Ｐ,いえいえ、愛梨もすっかりプロ意識が育ってますから仕事中に脱いだりすることはもう無いですよ
ちひろ,あはは、そうですよね。昔はともかく今はもう脱いだりすることなんて
Ｐ,問題なのはカメラ回ってないところで脱ぐんでスタッフさんの理性と股間がボンバーしそうだって苦情が来まして
ちひろ,脱いでるんじゃないですか！
Ｐ,生まれ持った性へ…性質っていうのは一生そのままなのかもしれませんね
ちひろ,今、性癖って言いかけましたよね
Ｐ,収録中はきっちりこなすそうなんですけどカット掛かった途端ふぅ～、緊張して暑くなっちゃいました。脱いでいいですか？
ちひろ,うわぁ愛梨ちゃんの声そっくり。気持ち悪！
Ｐ,ひだまりスケッチの関西人のマネも出来ますよ。まぁ、それはさておき。どうすればいいですかね？
ちひろ,どないせぇっちゅーねん…。取り敢えず、暑がって脱ぐんですから暑くならないようにしてあげればいいんじゃないですか？
Ｐ,なるほど、一理ありますね。では試してみましょう。丁度話の展開に都合よくシンデレラガールが近づいてくる気配がしますし
ちひろ,ニュータイプかあんた
Ｐ,じゃあエアコンを冷房にして…と。温度下げますね
ちひろ,うわ寒っ！うちのエアコン性能良すぎません！？
Ｐ,以前卯月がブッ壊した時に修理ついでにバージョンアップしましてね。－２７３．１５℃まで下げられますよ
ちひろ,それ全生命体生存不可能な温度じゃないですか！家電じゃなくて兵器ですよ兵器！
Ｐ,んじゃ、ひとまず－１０℃ぐらいに…寒！
ちひろ,私なんかスカートなんですからね！寒い！っていうかもう痛い！
Ｐ,いかん、眠くなってきた…何か着るもの、着るもの……お、来たみたいですよ
凛,おはようございま…寒！！
蘭子,闇に飲ま寒いですっ！
周子,おはよーございまーむっちゃ寒い！！
卯月,おはようございます！うわっ超絶寒いです！イヴちゃんのお財布より寒いです！
Ｐ,惜しい！初代がいない！
ちひろ,むしろ何でピンポイントで愛梨ちゃんだけ来ないんですか
凛,寒い寒い寒い寒い…！ど、どどどうしたのこれ…
蘭子,エターナルフォースブリザードか！寒いです！風邪引いちゃいます！
周子,てかプロデューサーとちひろさんだけなんでそんなエスキモーみたいな恰好なんーズルいよー寒いよー
Ｐ,悪い悪い、ちょっと事情があってさ。ほれ、これお前らの分の防寒着な
凛,いや、その吹雪みたいなの放出してるエアコン止めればいいんじゃないの？
Ｐ,事情があるんだよ
卯月,この服燃やして暖を取ればいいんですね！
ちひろ,やめてください、スプリンクラー作動しちゃいます
周子,この寒さで水撒かれたら歴代シンデレラガールズ全滅しちゃうやん…へくちっ
蘭子,寒いです寒いです寒いです寒いです！
Ｐ,ちょ、渡した服着ろよ何で人の懐に入ってくんの！。てな訳なんよ
凛,なんて力技な…普通に注意するんじゃ駄目なの？
Ｐ,いやぁ、もう何度も注意はしてるんだけどなぁ。お説教してる傍から衣服パージするんだよあの娘
周子,逆に止めずにほっといたらどーなん？流石に愛梨ちゃんも裸にまではならないっしょ
Ｐ,…前に試してみたら躊躇なく下着姿になろうとしてな？
ちひろ,大学で女友達に常に囲まれてるっていう理由がわかる気がしますね…
蘭子,凍てつく氷魔を退けし結界よ…はぁ～、ここ暖かいです
Ｐ,蘭子ー、いい加減出てきてくれない？
蘭子,この呪縛に抗うには魔力が足りぬあともうちょっとだけお願いします！
凛,でもまぁ、確かにこの寒さなら流石に脱いだりできないよね。脱いだら死にそうだし。あ、そろそろ交代してよ蘭子
周子,あはは、凛ちゃんまで入っちゃうん？
Ｐ,カンガルーの気持ちでごぜーますよ
卯月,あ、人の気配です！初代シンデレラガールの気配です！
Ｐ,ん、本当だ。アップルパイの匂いがする
ちひろ,２人とも何者ですか
周子,ドア開けたらエスキモーみたいな恰好してるのが６人並んでるとかどんな顔するんだろ
卯月,どちらかと言えばイヌイットのほうがいいです！
ちひろ,ごめんなさい、あまり強いこと言いたくないけどどっちでもいいと思いますよ
愛梨,おはようございますー。今日は天気が良くて暑…寒いです！？
Ｐ,良かった、流石にコレなら寒いと感じるんだな
凛,蘭子、もうちょっとそっち詰めて。私入れない
蘭子,んぶぶっ
愛梨,寒いです～どうしたんですか？エアコン壊れちゃったんですか？
周子,うんにゃ？壊れてるのはプロデューサーの頭だけだよー
愛梨,みんなモコモコだし、プロデューサーはカンガルーみたいになっちゃってるし…えっ、えっ？
ちひろ,まあ、当然の反応ですよね。はい、取り敢えず暖かい防寒着どうぞ。このままじゃ風邪引いちゃいますから
愛梨,はぁ…暖かいものどうも。わぁ、これ暖かいですね！
周子,みんなして南極探検隊みたいな恰好やね
Ｐ,夏場の薄着より冬場のモコモコ姿の方がグッとくるよなぁ
凛,ふーん、ここがプロデューサーの懐？まぁ、悪くないかな
蘭子,魔犬の王よここは我が領域…んにゅにゅ狭いです苦しいです！
Ｐ,２人とも出てきてくれー。オッサン身動き取れない
周子,あはは、首元から凛ちゃんと蘭子ちゃん顔出してるからキングギドラみたいになっちゃってる
愛梨,えっと、それでどういう状況なんですか？エアコン壊れちゃったんですか？
卯月,何が原因かと言えば愛梨ちゃんの性癖でしょうか！
愛梨,ふえ！？わ、私の……せ、性癖！？
凛,卯月、言葉のオブラード
ちひろ,卯月ちゃん基本パワーワードしか言わないのでオブラード足りないんでしょうね
愛梨,わ、私のせ、性癖って…ど、どういうことですか？
Ｐ,愛梨すぐ脱ぎだす問題が仕事先から問題視されていてな
愛梨,そんな脱いだりしてませんよぉ！。わっ寒い！
周子,言った傍からどうして脱ぐん？こんなめっちゃ寒いのに
愛梨,えっと…興奮したら暑くなってきちゃって、つい…
凛,うわ、思ったより重症だね
卯月,シンデレラガールってろくなのいませんね！
周子,特大ブーメラン刺さっとるやーん
蘭子,我は魔王真眼！そのような流言に屈するものか！わ、私は普通だと思うんですけど！
卯月,ここにブリュンヒルデのスケッチブックがあります！
蘭子,もーーっ！！
Ｐ,おーい人の上着の中で暴れないでくれ。はち切れそうなんですけど
凛,そうだよ蘭子。ただでさえ窮屈なんだからさ
ちひろ,凛ちゃんもいい加減出てきてくださいね、物凄い絵面なんですけど
愛梨,えっと…つまり私が脱がないようにこんなに寒くしてるんですか？
周子,改めて説明するとアホらしいね
愛梨,もぉ～！私だってそんないつでもどこでも脱いだりしませんよぉ！
Ｐ,割といつでもどこでもキャストオフするからスタッフさん達の下半身と理性に被害が出てるんだけどね
愛梨,そんなこと無いですってばー！
周子,んー、ここまで言ってるし取り敢えず一旦エアコン止めへん？周子ちゃんそろそろ冬眠したくなってきたし
Ｐ,そうだな。…おーい２代目３代目、いい加減出てきてくれね？俺微動だに出来ないんだけど
蘭子,むにゅ……あと２時間…
凛,ハスハス…うん、ブリュンヒルデ臭が混じってる…
Ｐ,頼むからここで寝るなよ！
ちひろ,はいはい。それじゃあエアコン止めますね
卯月,殴ればいいんでしょうか！
ちひろ,ここにちゃんとリモコンありますから
蘭子,…ふぇ？もう春……？
凛,むにゃむにゃ…うーん、もう嗅げないよぅ…
Ｐ,出てこいやっ
蘭子,にゃん！
凛,しぶっ！
ちひろ,止めた途端急激に暖かくなってきましたね
周子,寒暖差で代謝おかしくなりそうやわ
愛梨,わぁ、やっと暖かくなりましたね。ちょっと暑いぐらいです
Ｐ,そりゃ南極探検隊みたいな防寒着着てるもんな
愛梨,じゃあもう脱いでもいいですよね？
Ｐ,ってもう脱いでるし。…うん？
ちひろ,床に何か落ちてますね………これ、愛梨ちゃんがさっきまで着てた服に見えるんですけど
卯月,味も同じです！
Ｐ,…と、言うことは
愛梨,うんしょ、よいしょ…
ちひろ,ちょっ、愛梨ちゃんストップ！ストーップ！！
Ｐ,それ以上はいけない
周子,そう言いながらその手のカメラは何なん
Ｐ,うーん、見事に失敗だったな
周子,流石は初代様。寒くした程度じゃ全然だったねー
卯月,厚着した分の反動で脱ぐ量も増えるんでしょうか！天性の露出狂ですね！
Ｐ,くっ！あまり強く否定できない
凛,あれ、ちひろさんは？
Ｐ,ああ、風邪引いたってさ。あのカネゴンにもほんの少し人間らしい部分が残ってたみたいで安心したよ
蘭子,我が同胞、強欲の悪鬼とかくも因縁深きものなのかプロデューサーさんとちひろさんって仲悪いんですか？良いんですか？
