店員,ありがとうございました！また今後ともご贔屓によろしくお願いしますわ
紗枝,はい、今後ともよろしゅうに～♪。商店街来てぎょーさん買い過ぎたなぁ。おまけまでもろてしもて。せやけどほんにプロデューサーはんは大丈夫なんやろか？。今日かてごっつぅやつれてはったみたいやし。ちゃんと食べてはるんやろか？。おはようございます～
モバＰ,あぁおはよう・・・
紗枝,どないしはったん？顔色真っ青やで？
モバＰ,とうとう俺もリンクモンスターになってしまったのだよ
紗枝,冗談言うとる場合とちゃうて！何あったん？
モバＰ,・・・大丈夫だ。紗枝が心配することじゃない
紗枝,そないな顔しとっても説得力あらへん！ええから横になり！
モバＰ,いや、今から仁奈と小春の送迎があるから。じゃあレッスン頑張れよ
紗枝,あ、プロデューサーはん！。・・・
ちひろ,ごめんなさいね。今の時期総選挙とかでプロデューサーさんすっごく忙しいんですよ。それに最近人気が出て来た子達が立て続けに番組の主役になったりしてその企画やミーティング、現場指揮なんかもあってね
紗枝,忙しいのは分かっとったけど、そないに大変なん？
ちひろ,”五十嵐今日この一品””飛鳥とヘレンの世界旅””神崎蘭子の天気予言””魔法少女エターナルカナデン””新田美波の波乗り水泳教室””中野道場””にゃんにゃん時子”etc・・・。そこに総選挙やＣＭやらコラボ企画で・・・
紗枝,・・・
愛海,なるほどね～
亜季,由々しき事態であります
紗枝,どないか出来へんやろか？
亜季,むぅ、仕事を手伝うとか？
紗枝,うちら書類仕事もなーんも知りまへんから逆に足手まといとちゃいます？
亜季,送迎・・・
紗枝,うちらかて仕事ありますさかい。同じとこ行く子くらいしか・・・
亜季,ぬぅ・・・仕事面では役に立てませぬ・・・
愛海,任せて！あたしにいい考えがある！
紗枝,ほんまに？
愛海,うん、それはね・・・。お山を
紗枝,もしもし清良はん？また愛海はんがなぁ～
愛海,ああああ！さ、最後まで聞いて！！。だってさ！プロデューサーも男の人だよ！お山を登れば一発だよ！多分一番効果あるよ！！
亜季,それは・・・そうでありますが・・・
紗枝,・・・そういうのはうちはなぁ
愛海,大丈夫だよ！大きさじゃないんだよ！大切なのは温もりだよ！
紗枝,温もり？
愛海,あたしもさぁ、時折ふと寂しくなるんだよねぇ。誰かとじゃれついて下らない話してても何かこうぽっかりと穴が開いたような・・・
紗枝,愛海はん・・・
愛海,人の温もりを手で感じるあの瞬間こそ人が一番求めるものじゃないかなぁってあたし思うんだ
亜季,愛海殿・・・
愛海,だからさ・・・。あたしにもその温もりを分けてぇぇぇぇぇぇ！！！
亜季,ムンッ！！
愛海,があああああ！お、折れるぅぅぅぅ～～～！！
紗枝,あ、あきまへん！それ以上は！
清良,じゃあ愛海ちゃんの治療してきますね
愛海,
亜季,お願いするであります！
紗枝,亜季はん？やり過ぎとちゃう？
亜季,愛海殿、恐ろしいであります。まさか自ら関節を外して被害を最小限に留めるとは・・・。恐らくあの気絶したのも演技・・・。にしても運動すると腹が減るでありますな。帰って補給するであります
紗枝,！。亜季はんおおきにな
亜季,いえ、自分は何もお役には
紗枝,そないなことあらへんて。ほなうちも帰るさかい
亜季,はい！また明日！
紗枝,さて・・・。竹串どこやったっけ？あぁあったわ。あちっ・・・。熱いうちに潰しとかな固ぁなってまうから我慢我慢。あ、お野菜切っとかなな。彩りもええ感じにポテトサラダ出来たなぁ。後は小麦粉、小麦粉・・・。ええ香りしてきたわぁ♪。ふぅ、作るんも手間やなぁ
モバＰ,ｶﾀｶﾀｶﾀｶﾀ
紗枝,おばんどす～
モバＰ,ん？紗枝？紗枝がどうしてここに？まさか自力で女子寮から
紗枝,そない大袈裟なことやあらへんて。プロデューサーはんと一緒に晩御飯を・・・と思うてなぁ
モバＰ,悪いが今忙しいから無理だ
