遊佐こずえ,こずえとあそぶのー……？いいよぉー
神崎蘭子,くっ、なんと禍々しい魔力……！
P,エチュード……アドリブ演技レッスンみたいなものだが、この題材は楽しそうだなぁ
関裕美,ここまで来たからには全力を出すだけだよ！ドラゴンブレス！
こずえ,あついー
高森藍子,超正拳突き！
こずえ,うわー
蘭子,ディバインスラァァッシュ！
こずえ,ひゃー
五十嵐響子,魔王にはちっとも効いてないみたい！
冴島清美,体力表示もない、ノリと勢いだけのエチュードでは、最強の防御方法なんじゃ！？
相原雪乃,他の人がやったらひんしゅくでしょうが、こずえちゃんだから許されることですわ……！
藤居朋,おお華麗なる勇者の一撃～しかし魔王にはまるでそよ風のよう～♪
こずえ,らんこー……
蘭子,えっ？
こずえ,いっしょに、まおう……やろー？
蘭子,ううっ、まさに悪魔の囁き……！
こずえ,とらぺぞへどろん～
清美,よくわからないけどなんかかっこいい響き！
雪乃,勇者様が洗脳されてしまいますわ！
響子,こっちもかっこいい言葉で勇者様をお守りしましょう！
清美,って言われても急には……
裕美,えっと……生存本能ヴァルキュリア！
蘭子,はっ！いけない、誘惑に惑わされるところだった！
朋,仲間絆目が覚めたわ～♪
こずえ,はいよるこんとん～
蘭子,うああっ、SAN値がっ、SAN値が下がる～っ！
清美,ガブリエル、ルシフェル、チエリエル！
響子,クーゲルシュライバー！
こずえ,わるぷるぎすのよる～
雪乃,エクスペクトパトローナム！
藍子,ジュウオウジャー！
蘭子,……いや、それは
藍子,ええ～っ、そんなーっ
朋,一進一退の攻防～運命の女神はどちらに味方するのか～♪
P,ダジャレ的な名前だしなぁ……蘭子の好みではなかったのか
こずえ,じげんざんげき～
裕美,すごく強そう！
蘭子,クククッ……我は覚醒魔王なり！！
雪乃,ああ～、向こうに行ってしまいましたわ
朋,悲劇次元斬撃勇者の裏切り～♪
響子,って、朋さんも戦闘に参加してくださいよ！
清美,さっきまでのは戦闘と言えるのかなぁ
朋,だってあたし吟遊詩人だもん！。吟遊詩人らしく戦うって歌うことでしょ？
雪乃,それを言いますと私も大商人ですから……らしい戦い方って
朋,金で雇った傭兵を連れてきたり……あと銭投げとか？
清美,お金を粗末にしてはいけません！それは超☆風紀委員として阻止します
朋,本当は錬金術師でしょ
こずえ,そろそろ……こうげきしていーい？
清美,さ、作戦ターイム！
蘭子,認める
清美,錬金術師って戦闘でなにが出来るんですか？
藍子,指パッチンで火を出すとか
裕美,チビって言われると怒るんだよね
雪乃,それは……偏ったイメージと思いますわ
成宮由愛,薬品とか作って……サポートじゃないでしょうか
朋,あ、由愛ちゃん
由愛,ごめんなさい、遅れて……私も、傷を癒やす歌で……サポートします。……あれっ、蘭子ちゃんが向こうに
裕美,あ、それは
由愛,だいたい分かるので、説明は……いいです
蘭子,！？
響子,私は賢者なので、攻撃回復サポートなんでも出来ると思います
藍子,じゃあモンクの私と、裕美ちゃん……が従えてる魔物が前衛で
朋,残りは後衛ね。これだけサポートが多ければ、ちょっとやそっとじゃやられないわ！
裕美,よーし、決戦だよ！
こずえ,ゆめは、こっち……だよー
由愛,あ、そうでした。私、魔王にそそのかされたから……。魔王様……あちらはサポートが多いので、先にそちらを攻撃した方が良いみたいです
藍子,作戦が筒抜け！
清美,二度目の作戦ターイム！
こずえ,もうだめー。いんせきおちろー……ずどーん
蘭子,漆黒の業火に焼かれるがいい！
由愛,嘆きの歌……らーらら～
響子,バリアーッ！
蘭子,フハハッ、その程度のバリアーでどこまでもつかしら？
響子,しまった……基本的には言った者勝ち。ああ言われたら、本当に大したことないバリアーということになってしまう！。これで私達の身体には傷一つ付きませんよ！くらい言っておけば良かった！
裕美,由愛ちゃんはこずえちゃんより格下の役柄だからなんとかなりそうだけど
藍子,色んな意味で只者ではないオーラを纏っているこずえちゃんと
朋,こういうことは知識豊富そうな蘭子ちゃん……このコンビ、強敵……！
こずえ,ふわぁ……いんせき、100れんぱつー……ずどどどどど
雪乃,みなさん、こんな事もあろうかと買っておいた高性能シェルターに避難してください！
