ラフィエルの携帯,
サターニャの携帯,
ヴィーネの携帯,
ガヴリール,あのさぁ。私も人の事言えないけど、なんでみんないつもマナーモードなの？
ラフィエル,なんで？言えるわけないじゃないですか。天界時代に私と喧嘩して、大泣きしたガヴちゃんのボイスをセットしているんですから。何度聞いても可愛すぎてぞっくぞくします
サターニャ,珍しく運動に興味を持った時のガヴリールの声なんて、バレたら最悪だわ。ラフィエルを真似して仕掛けた盗聴器に偶然入った音声だけど、どう聞いても喘ぎ声だもの
ヴィーネ,ガヴが私を呼ぶ声を繋ぎ合わせた着信音なんて聞かれるわけにはいかない。ふつうにキモいじゃない
ラフィエル,ガヴちゃん。今は学校ですから、マナーモードにしておくのが当たり前ですよ？
サターニャ,その通りよ
ガヴリール,お前がそんな配慮するわけないじゃん
サターニャ,す、するわよ！
ガヴリール,ていうか、お前ら休日遊んでる時でもマナーモードにしてない？。……
タプリスの携帯,
ガヴリール,なんだよ、タプリスもマナーモードかよ
タプリス,ちょっ、あっあっ！試しがけしないでくださいよ！
ガヴリール,なんで？聞かれたくないもの設定してんの？
タプリス,う、うう～～～
ガヴリール,タプリス？
タプリス,あ、あの……実は私、天真先輩の声を着信音にセットしてるんです……
ガヴリール,はぁ？
サターニャ,こいつ、正直に吐いたわ……！
ヴィーネ,勇者か……！？
タプリス,す、すすすすすみません！でもっ、あの！先輩の甘える声が可愛くてつい！
ガヴリール,……どんなの
タプリス,こんなのです
ガヴリール,…………
ヴィーネ,これくらいなら全然普通ね
サターニャ,セーフの範囲だわ
ラフィエル,ふむ、甘えるガヴちゃんですか。そこそこですね。55ガヴポイントと言った所でしょうか
ガヴリール,タプリス。きもい
タプリス,ですよね！
ヴィーネ,え！？
サターニャ,これダメなの！？
ガヴリール,知人が私の声を着信音にしてるとか割ときつい
タプリス,あうあうあう……ごめんなさい
ガヴリール,まあタプリスが私の事大好きなのはもう知ってるから良いけどさ。そう言うのは家で楽しんでくれよ？
タプリス,そ、それはもう！
ガヴリール,着信音は……できれば音楽とかに変えてくれ
タプリス,じゃ、じゃあ先輩！ガヴリールドロップキックを歌ってください！
ガヴリール,……んー。まあそのボイスよりはいいか。じゃあ後でカラオケな
タプリス,や、やった！。天真先輩の生カラオケボイスゲットです！！
ヴィーネ,うそ！そんな攻め方もあるの！？
ラフィエル,これは盲点でした……！
サターニャ,普段カラオケなんて誘ってもなかなか来ないのに！
ガヴリール,いや……あの。そんなにマイク向けられると緊張するんだけど
ヴィーネ,ガヴは気にしないで歌って
ガヴリール,なんでお前らも録音するんだよ
サターニャ,別にいいでしょ。ついでよついで
ガヴリール,ったく。天使の羽広げてー♪。みんなに祝福をー♪。あー歌うの邪魔くせ。誰か時給10円で代わりに……。…………。いや、せっかく皆いるんだし一緒に歌おうよ……これ私一人じゃ恥ずかしすぎるんだけど
ラフィエル,照れてるガヴちゃんかわいい
タプリス,えへ、えへへへ。てんませんぱぁい、私に電話かけてくださいよー
ガヴリール,うっとおしいわ
タプリス,月乃瀬せんぱい、お願いしますっ
ヴィーネ,いいわよ
タプリス,ふへへ、ふへへへへへへへ
ガヴリール,うわぁ……私なんも考えずにOKしたけどこんな風に使われるのか……
ヴィーネ,新ガヴボイスが手に入ったらウキウキしちゃうもの。仕方ないわよ
ガヴリール,は？新ガヴボイス？
ヴィーネ,おっと
ガヴリール,まさか、お前も私の声とか
ヴィーネ,ち、違うわよ。ほら。ね？
ガヴリール,ん。ヴィーネの着信音、なんの面白みもないな
ヴィーネ,
ガヴリール,やっべ！！！この宿題明日までじゃん！？。流石にこれ出さないとグラサンブチ切れるぞ……。ゔぃーねぇ……っ！
ガヴリールの携帯,
ガヴリール,…………。……………………。あれ、でない。ラフィ！。…………………………………。でない。…………。サターニャぁ？まぁ一応かけるか。…………………………………。でない。なんでだよ！！！。ゔぃーね、ゔぃーねぇ……！
ラフィエル,はぁぁぁぁ……！喧嘩して泣いてるガヴちゃん可愛すぎます！
サターニャ,うっ…………ふぅ。ガヴリールえっちすぎるでしょ
ヴィーネ,んぁぁぁぁ！たくさんのガヴに呼ばれてる……！私、呼ばれちゃってるぅ……！
