-居酒屋,夜
楓,うふふ、プロデューサー、飲んでますか～！
Ｐ,飲んでます、飲んでますから！ちょっと、近いですよ楓さん！あと、さりげなくコップにビール注ぐのやめてください！
楓,まぁまぁ、そういわずに。美優さんがもうダウンしちゃって……
Ｐ,ダウンさせたのはあなたでしょうが。……美優さん、無理しなくていいですからね。きつかったら、送っていきますので……
美優,す、すみません、プロデューサーさん……少し、休めば……楽に……うぅ
ちひろ,もう、皆さん飲み過ぎですよ！……それはそれとして、二日酔いに利くエナドリを作ってみたのですが、いかがですか、Ｐさん？
Ｐ,い、いただいておきます。ついでに、ウーロン茶か何か挟みたいのですが……
服部,プロデューサーさん。次は焼酎にする？それともハイボール？
Ｐ,あの、ウーロン茶……
服部,ウーロンハイね
Ｐ,……意地でもアルコールから逃がさないつもりだ……
服部,まぁ、でも、まだまだプロデューサーさんも余裕そうだし、ここは日本酒あたりでいいかしら
Ｐ,いや、それなら、まだ……ウーロンハイの方が……
和久井,……。ほろよいの、私でも良いわよ。なんて
Ｐ,え？良いんですか？
和久井,な！いや、あの……
Ｐ,じゃあ、ほろよいのカシスオレンジで。まだ、日本酒とかに比べれば全然いいですよね。ほろよい
和久井,……すみません、この人にこの店で一番度数きつめのお酒を……
Ｐ,えぇ！！？
楓,じゃあ私は、日本酒のお湯割りを、二本にしゅ……うふふ
ちひろ,あぁ、今のオーダー、一本で大丈夫です。後、私は、ウーロン茶で
Ｐ,え！？ずるいですよちひろさん！
ちひろ,誰かが抑えないと大変なことになりますから。何なら、プロデューサーさんが倒れちゃったら、膝枕で介抱してあげますよ？ふふ
Ｐ,……言いましたね？もう知りませんよ、ちひろさんの柔らかい膝枕で介抱してもらいますよ！
和久井,……セクハラ
服部,どうせ膝枕するなら留美がやるって？
和久井,そうよ。私の膝なら３６５日……って、何を言わせるのよ
楓,本日４度目の、カンパーイ！うふふ
Ｐ,……っは！。今何時だ！っていうか、ここはどこだ！。……って、なんだ、俺の部屋か……いつの間に家に帰ったんだ……。あれ、俺の部屋って、こんなに物がなかったかな……まぁ良いや、時間がない！さっさと事務所に行かないと！。うー頭痛い……昨日の記憶が後半ほとんどないぞ……。流石に、羽目を外し過ぎた。いや、外され過ぎたというべきか……。やばいやばい、スケジュールが……今日は凛たちのレッスンに美優さんの撮影に……うちのクールなアイドルたちは時間にうるさいからな、楓さん以外。待ってなければ良いんだけど……。おはようございます！
ちひろ,え？ぁ、お、おはよう、ございます
Ｐ,おはようございます、ちひろさん。大丈夫ですか、体調とか。何だか、俺はまだ頭が痛くて……
ちひろ,え……えっと……
Ｐ,やっぱり平日に楓さんたちと飲みに行くのは無謀すぎましたね。次の日休みの日にしないと……
ちひろ,……。あ、あの……
卯月,お、おはよう、ございます
Ｐ,おう、おはよう！……？。……だ、誰っ！？
卯月,……今日もよろしくお願いします
Ｐ,あ、ああ……。歳は、高校生くらいだろう。少し、暗い顔をした少女が事務所に入ってきた。こんな子が来る予定あったっけか？……落ち着け、落ち着けよ、昨日飲み過ぎて、何か忘れてる、のか……？
卯月,……
Ｐ,ソファに座るべきか、俺と話すべきか、何か、迷っている風にそわそわする少女。こんな可愛くてキュートな感じのオーラを持った子は、うちの事務所にはいないはずだ。スカウトか、オーディションをしたんだっけか……いや、ただでさえ忙しかったのに、そんなこと、してる余裕は……
ちひろ,あ、あのぉ、プロデューサーさん。今日のスケジュール、なんですが……
Ｐ,はい、えーっと、確か、トライアドプリムスのレッスンに、美優さんたちの撮影会に……
ちひろ,え？
Ｐ,ん？
ちひろ,……あの、昨日は、その、卯月ちゃんのレッスンをするっておっしゃてましたが……
Ｐ,え？
ちひろ,後、その、とらい？なんとかさんや美優さん、という方は、この事務所には所属しておりませんが……
Ｐ,。……ど、どういうことだ？ちひろさん。そんな性質の悪い冗談……。……あ！まさか、そういうことか！？。あ、あはは！いや、すみません！どうにも昨日飲みすぎてしまったらしくて……記憶が曖昧で
ちひろ,え、あ、そ、そうなん、ですね
卯月,……
Ｐ,この、何ともよそよそしい対応に、知らないキュートアイドル、つまりこれってあれだろ。ジャパニーズＤＯＫＫＩＲＩだろ？。昨日飲んでたときに、企んでたんだろうな、きっと。……ただ慌てふためくだけじゃ面白くないな……ここは……。いやぁ、どうもすみません。それじゃあ、行こうか、卯月、ちゃん！
卯月,え？……は、はい
Ｐ,逆に対応して、あいつらの慌てる顔を見てやるとするか、くくく
ちひろ,……プロデューサーさん、何だか、様子が…………。でも、いつもよりずっと……
Ｐ,結局、こんなところまで来てしまった……。いつ種明かししてくれるんだろうかとずっと待っていたが、まだ、どこかでモニターしてるのか？
卯月,っは、っは
Ｐ,普通にレッスン見てあげてるんだけど……。それにしても。卯月ちゃん、そこのステップ足を開きすぎで動きにくくないか？もっと、こう、こんな感じで
卯月,え？……は、はい！
Ｐ,そうそう、上手いぞ。普通に、素質あるよなぁこの子……いや、普通どころか、かなり良い……さっき言ったところも、意識してすぐに対応してるし……
卯月,今さら
Ｐ,ただ……。全然、笑わないんだよなぁ。スマイリングって曲なのに、笑顔なしとはこれいかに
卯月,はぁ……はぁ……
Ｐ,……なぁ、卯月ちゃん、歌ったりしてるときに、笑顔とかって出せるかな
卯月,……え
Ｐ,あ、あれ、俺、可笑しなこと言ったか？。いや、ほら、表情が硬いとお客さんも固くなっちゃうからさ、出来るだけ練習でも笑顔は作れるようにした方が良いよ
卯月,で、でも、いつもは……
Ｐ,いつも？
卯月,……でも
Ｐ,ん？
卯月,でも、私が振り付けを失敗したら
Ｐ,うん
卯月,何笑ってるんだ。失敗したのがおかしいかって
Ｐ,え、いや、そんなことは言わないぞ。多少失敗したって、楽しそうな方がよっぽど良いと俺は思うがなぁ
卯月,……
Ｐ,うーん、さっきから、どうも会話が嚙み合ってないというか。まるで、いつも俺が叱ってたみたいな……
卯月,あの、もう一度、はじめからレッスンを、お願いします
