と一部繋がっている場面があります,特に重要な場面というわけでは無いのでこちらから読んでいただいた場合でも不都合無いとは思われます
ヴィーネ,ご機嫌ね、サターニャ
サターニャ,んふふー、やっぱりそう見えちゃう？。それも全てこいつのお陰よ。こいつはサルガタナス、一滴飲ませればそこから一分間の記憶が阻害されるの。その間にどんなことをされようが忘れちゃうってわけ！
ヴィーネ,いや、物騒すぎるんだけど……なんでそんなもの買ったのよ
サターニャ,この大悪魔サタニキアが記憶の陰で暗躍し、世界を手中に収めるために決まっているじゃない
ヴィーネ,本当は？
サターニャ,ガヴリールやラフィエルに下手に手出したら後が怖いからよ
ヴィーネ,思った以上に消極的な理由ね……。まあ頑張って。いい反応が見られるといいわね
サターニャ,……この私をみすみす逃してしまってもいいのかしら？どんな悪事を働くかわからないわよ
ヴィーネ,サターニャは良い子だし、そんな酷いことするわけでもないでしょ？
サターニャ,良い子じゃないわよ！。はいこれお裾分け！あんたは少しは悪い子になれるよう努力しなさい！
ヴィーネ,ありがと……やっぱり良い子よねあんた。記憶の阻害かあ……。貰ったはいいけど……
ガヴリール,あー怠い……疲れた……
ヴィーネ,さすがにこんなもの気軽に他人には使えないわよね……
ガヴリール,喉乾いた……
ヴィーネ,自分で使うような場面も思い浮かばないし……
ガヴリール,悪い、ちょっと貰うわ
ヴィーネ,心配してくれたサターニャには悪いけど、当分は使わないで……。……って何飲んでるの！？
ガヴリール,うおっ、良いじゃん少しくらい。ダメだった？
ヴィーネ,ダメっていうか……！。何が少しくらいだ！空っぽじゃない！。えーっと……ラベルに注意書きとか……！。……！？。一滴は確か0.04mlくらいで……200mlとなると5000倍で5000分！？。今から丸三日と半分近くのガヴの記憶が残らないってこと！？
ガヴリール,うわ、なんかすごい怒ってる……？。わかったよ、同じもの買ってきてやるから怒るなって……
ヴィーネ,いや、いいの！怒ってないわ！気にしないでいいから！
ガヴリール,あ、うん……？
ヴィーネ,この三日半で何が起こっても忘れちゃうなんて……。……一人にしておくのは危険すぎるわね。私が見ててあげないと……
ガヴリール,やっぱ怒ってるじゃん……
ラフィエル,
ヴィーネ,あ、ラフィ……丁度良いところに……
ラフィエル,ヴィーネさん！！
ヴィーネ,うひえっ！？
ラフィエル,ととと取ってください……！これです、これ……！
ヴィーネ,？わ、蛙！？。……ってただの玩具じゃない
ラフィエル,えっ……。……こほん。天使になんと罰当たりなことを……一体何者の仕業なんですか！。サターニャさんがやったのであれば気づかないとは思えませんし……
ヴィーネ,十中八九サターニャだろうけど、ラフィに気づかれずになんてあの子に出来るのかしら。……あー、そう言えば……。あの謳い文句は紛れもない真実なのね……。ラフィ、少し聞いていい？
ラフィエル,はい、私の分かる範囲であれば
