ちひろ,……。みんな、一生懸命ですね……。プロデューサーさんの引き出し、溢れそうになってますよ。でも事務所の机にこんなもの入れてちゃ、めっ、です。きちんと、お家に届けておかないと。さて。そろそろ準備しましょうか……。ふんふふ～ん……
茄子,……というわけなんですよー
美波,ふふっ、やっぱりＰさんはお茶目ですね
茄子,まったく、困っちゃいます。そこが良いんですけど……あら？
美波,何か落ちてますね……写真みたい
茄子,誰のでしょうか？
美波,えっと……えっ……！
茄子,まあ……！？
美波,こ、これってきらりちゃんに美穂ちゃん……ですよね！？
茄子,他の子もあります……はあ、誰が落としたんでしょうか……？
美波,それは、こ、こんなえっちな写真を持ってるのって……
茄子,事務所で一人しか思い当たりませんね……
美波,Ｐさん、ですよね……
茄子,……そうですねえ
美波,ど、どうしよう？
茄子,これは、私たちだけでは手に負えなさそうです
美波,というと……？
茄子,考えても見てください……！。……ということになりかねません……！
美波,そ、そんな……！。つ、つまり……。……ということですね……！。でも、これを黙っているわけにはいきません。もし他の子が見つけたら……
茄子,ええ……私たちが、どうにかしないといけませんね
美波,……
茄子,……
美波,……私たちが代わりに、写真を
茄子,……そしてプロデューサーから、この子達を救いましょう！
美波,でも、二人だけだと、ちょっと心細いですね……
茄子,そうかもしれません……頼れる人がいればいいのですが……
美波,頼れる人……
茄子,頼れる人……
楓,あら、おふたりさん。シンキングタイムはしんきくさいん……ふふ
美波,……
茄子,……
楓,……流石にその目はひどいと思うわ
茄子,ご、ごめんなさい
美波,すみません……
楓,いつもの冗談よ。それで、何をお悩みかしら？
茄子,……言うべきでしょうか？
美波,……どうでしょうか
楓,？
美波,……っていうことがあって
楓,それは……由々しき事態ですね
茄子,楓さんなら、いいアイデアを出してくれると思いますよ
美波,……どうですか？
楓,そうですね……。茄子さんが
美波,茄子さんが？
楓,写真を撮ります
茄子,どのような？
楓,ないすでかっこいい写真です
美波,……
茄子,……
楓,あ、なーす服のかっこうで
美波,…………
茄子,…………
楓,……分かりました。そこまで言うのなら手伝います
美波,まだ何も言ってません……
茄子,まあまあ。手伝ってくださるのなら助かります
楓,要は、これみたいな写真を撮ればよいのでしょう？
美波,そうなんですよね……
茄子,お仕事の撮影はともかく、こんな裸の写真はちょっと……
楓,いえ、なにも全裸でなくてもいいはず
茄子,そうでしょうか？
楓,美穂ちゃんですか、この写真……彼女は、身体を人形で隠しています
美波,なるほど……確かにそうですね
楓,同じように、全裸であっても、ある程度隠せばいいはずです
茄子,でも、それでプロデューサーは満足するでしょうか？
美波,もし……もしですよ？。……ってなるかも……
楓,……
茄子,……。そ、それは駄目でしょう。一番いけない展開ですよ！
楓,デンジャーな展開、それで合ってんじゃー……！
美波,楓さん、ちょっと汗かいてませんか！？
楓,だ、大丈夫。まだ興奮はしてないですから……
茄子,そ、そうですか……。とりあえず、写真を撮らないと始まりませんね……
美波,だったら、カメラ、持ってます……使ったこと、あんまりないですけど
楓,写真の初心者……
茄子,楓さんは、緊張とかなさらないんですか……？
楓,そんなことないわ……一応、初ライブの時くらいには緊張してるもの
美波,とてもそういう風には見えないけど……
茄子,内心、ドキドキしてるんですね。きっと
楓,そういうことにしておきます……
美波,場所はどこがいいですか？
楓,レッスン室にしましょう。今の時間なら、誰も使わないから
茄子,そこなら、貰い物の衣装も、たくさん置いてありますね
美波,決まりですね。早速貸し切りましょう
茄子,鍵をかけておくの、忘れないようにしないといけませんね
楓,撮影会をかぎ付けられてしまうから……？
美波,……
茄子,……
楓,み、見限らないで……
美波,は、はあ……
茄子,先が思いやられます……
楓,閉めましたか？
美波,はい。扉も、鍵も
茄子,じゃあ……
楓,……始めましょう
美波,……はい
茄子,手順、どうしますか？
楓,そうね……撮る人が必要ね
美波,タイマーじゃ駄目なんですか？
楓,それもいいけど、場所とアングルが限られてしまうわ
茄子,それだと、プロデューサーは不満、と……？
楓,プロデューサーを満足させる写真を撮るには、お互いにきちんと撮る必要があるもの
美波,困りますね……
茄子,でも……やるしかないですよ。じゃないと他の子達が……
楓,ええ……まずは私がカメラを持ちます
美波,お、お願いします……
楓,……準備はいいかしら？
美波,あ、あのー……
茄子,これは……
楓,どうかしたの？
美波,これ、新年の時の衣装……
楓,ええ。どっちも似合ってるわ
茄子,そ、そうじゃなくて……
美波,スカートの丈が短すぎて……み、見えちゃってます……！
茄子,こっちなんか、た、谷間が丸見えです……！
楓,それがいいと思うのだけれど。つべこべ言わないで、撮るなら撮りますっ
茄子,うぅ……
美波,恥ずかしい……
楓,顔は写してはいけませんね……ほら、ポーズを取りましょう
美波,き、きをつけ……
楓,……
茄子,か、かくし芸ー……
楓,……。……駄目です。きちんとポーズをお願いします
茄子,きちんとって言われてもー……
美波,どうすればいいんです……？
楓,えっと、美波ちゃんは前かがみで。スカートの裾も、まくって
美波,え、こ……こうですか……？
楓,そうです。撮りますよ
美波,はう……
楓,いいですね。そのまま。茄子さんは少しカメラに寄って……谷間を強調しましょう
茄子,は、はいっ……
楓,まずは自然体で
茄子,……うう
楓,では、寄せてあげてください
茄子,……あぅぅ
楓,そのままですよ。……
茄子,……ん
美波,……ぁ
楓,二人とも、下を脱いで座ってください
茄子,は、はい……
美波,うう。なくても変わらない丈です……
楓,素晴らしいですね。これなら……
美波,……んっ
茄子,……はぅ
楓,そのままくっついてみてください……胸を押し付けあう感じで
美波,はいー……
茄子,わかりましたー……
楓,……茄子さん。美波ちゃんの衣装、ちょっとづつ脱がせちゃってください
美波,え、ええっ？
茄子,お、お任せです……！
美波,あのっ……片方だけは余計に恥ずかしっ……ひゃうっ……
茄子,お代官様の言うことは絶対ですよー……
楓,美波ちゃんも。茄子さんの衣装、脱がしちゃってくださいね
茄子,……あら？
美波,し、仕返しです……！
茄子,あ、あらー……
楓,……。……
茄子,……脱がせる服がなくなっちゃいましたね
美波,……結局、素っ裸じゃないですか
茄子,えへへ……ごめんなさい
楓,まあ、写真が撮れたので、よしとしましょう？
美波,それならいいですけど……
楓,さあ、あとはこれをプロデューサーに渡すだけですよ
茄子,えっ？
美波,えっ？
楓,？。あの、なにか？
茄子,まさか、楓さんは……
美波,自分だけ撮られない気でいるんですか……？
楓,え……
茄子,ほら、楓さんの着物もちゃんと用意してありますよ？
美波,温泉めぐりの時のですから、懐かしいですよね
楓,あ、あの。もう写真は十分撮れたと思うの。だから……
茄子,問答……
美波,無用ですっ
楓,きゃあっ！？。……
茄子,それでは撮りますよ？
美波,はい、どうぞ
楓,そ、その……
美波,着物でお揃いですね、楓さん。色っぽくいきましょう
楓,わ、私。撮られるのはあまり得意じゃないので……
茄子,照れてるのを一枚っ
楓,あっ……
茄子,ばんばん撮りますよーっ
楓,あ、ま、待ってっ
美波,楓さんー？脇とか見せないんですか、綺麗なのに……？
楓,まっ、脇はだめ、本当に……！
美波,ふふふ……好き放題撮ってくれたお礼ですっ
茄子,バンザイの格好で一枚、いや二枚っ
楓,や、やめて、お願いっ……
茄子,涙目のおねだりで三枚っ！
楓,ぐすっ……
茄子,これは……癖になりそうです……
美波,それでは、今度は私が撮る番ですよ
楓,ま、まだ撮る必要が……！？
美波,足りませんよね？
茄子,ええ、足りませんとも
楓,……そ、そんな
茄子,いいですか。きちんと撮らないと、写真を見たプロデューサーが……。……となったり
楓,……。……
美波,……茄子さん？楓さん？
茄子,……
楓,……
美波,あの……
茄子,はっ！い、意識が飛んでいました！
楓,つ、つい……
美波,よ、よだれ拭いてくださいね……！。……そろそろ
楓,……ふぅ
茄子,何枚ぐらい取れましたか？
美波,えっと……たくさん、です
楓,そ、そうですか
茄子,でも、これだけ撮れば十分ですよ……きっと
美波,Ｐさんが普通だったら、ですけど
楓,……
茄子,……
美波,……
ゆかり,こんにちは……。……。誰も居ないんですか？。ええと、困りました……。ちひろさんから、プロデューサーさんにお届け物があったのですが……。仕方ありませんね。少し待ちましょう。……。……。ふわ……。……無人の事務所は暇ですね。ソファでちょっと横に……。おやすみなさい……
菜々,おはようございま－す、ナナですよー！。って、もうお昼ですけどね！ウサミン星人はお昼から本気出すんです！
ゆかり,すぅ……すぅ……
菜々,…………。あれ？ゆかりちゃんだけ？。しかも寝てる……。なーんだ……皆どこ行ったのかな。まあレッスンでもしよっかな……。って、部屋が改装中？。あっれえ、聞いてないですけど……ま、いっか。しばらく座っとこ。……どっこいしょ、っと。はっ！？つい声が！。いけないいけない……ナナは今をときめく、ピチピチの１７歳ですから。ナウでヤングじゃない言葉は出しません、ええ
ゆかり,……うぅん
菜々,おっと……
ゆかり,……ん
菜々,ゆかりちゃんの寝顔、可愛いなー……。えへへ、ホッペつついちゃおー
ゆかり,ふぁ……
菜々,へっへっへ
ゆかり,んー……
菜々,ん？
ゆかり,ん……ふぁ……
菜々,……何かポケットから落ちた。小さい封筒……中身は写真、かな？。宛名はプロデューサーか……ちょっと見ちゃお。ナナのグラビア入ってたりして。なーんちゃっ……。…………。……。えっと……。これは……。いわゆる……。ビニール本に包まれているべき写真じゃ……。ど、どうみてもアブナイ写真が大量に……。どうしてこれをゆかりちゃんが……？。も、もしや……。などというやり取りが……。ゆかりちゃんはそれから悩みを溜め込んで、ついにここで倒れるように寝込んだ……。なるほど……そういうことだったんですね。これは、ウサミンが解決しなければならない問題のようです。はしたない写真を、プロデューサーはご所望。……ここはナナが、ゆかりちゃんの代わりに一肌脱ぎますからね！。安心して眠っていてください、ゆかりちゃん！
ゆかり,くー……
菜々,さて、写真ってどうやればベストなんでしょう。ケータイで調べよっと……。……。そうだ！ケータイの写メで撮ればいいんですよ！。ナナは出来る子！すばらしいです！。カメラモードカメラモード……。場所も変えないと……。給湯室でいっか。椅子も机もあるし。……。ちょっと、ちょっとだけ、はしたない写真撮るだけですから……。誰も来ないで下さいよ……。うんと、えと……。とりあえずメイド服でいいのかな？。ま、大丈夫でしょ！プロデューサーはメイドさんに興奮しちゃう変態さんだろうし！。……え？そうだとしたら。ナナの身がアブないのでは……。と、とんでもないヘンタイさんですね……！！。あんまり過激なのはＮＧですよ、ＮＧ！。そうですとも。ナナは健全なアイドルなんですから、あんまり過激なのはお断りです。プロデューサーみたいなケダモノに、つい見せたりしたら、ヒドイことになります！。……ヒドイことになる？。ヒドイこと……。……。……あれ？。い、いつの間にか半脱ぎに！？。さっきまで私、何をやってたんだろ……。と、ともあれ。これなら写真も撮れます！。メイドさんの、えっちぃ写真とか……。プロデューサーは贅沢ですねー……。えへへ……気付いてますかね……？。ナナいっつもプロデューサーのために、勝負下着。履いてきてるんですよ……。……。……ふう。そろそろ……。下も……
まゆ,あら？鍵が
菜々,！？
まゆ,誰か居るんですかぁ？
菜々,い、いますよ！すぐ開けます！。服を整えて……。お、お待たせー……
まゆ,ありがとうございます……菜々さん？
菜々,や、やあまゆちゃん。元気ですか？ナナは元気ですよ！
まゆ,……こんなところで何を？
菜々,ちょっち休憩、みたいな……
