※原作は,こぐまレンサ
Ｐ,うー……
春香,どうしたんですか？プロデューサーさん！
Ｐ,次のライブの衣装が決まらなくてなぁ……
春香,え！？次のライブはもう２週間後ですよ！？間に合うんですか…
Ｐ,いやー…ウチの社運をかけた大事なライブだしな…ここでガツーンとインパクトのある衣装で勝負したいんだが…
春香,確かにそうですけど…さすがにまだ決まってないのは…
Ｐ,う～ん…春香たちが最高のコンディションなんだ…なんとか衣装も最高のを選びたくて…スマン…
春香,あんまりお邪魔しちゃ悪いので、テレビでも見てますね
Ｐ,悪いな春香、せっかくレッスン終わったのに、構ってやれなくて
春香,いいんですよ！何か困ったことあったら、声かけてくださいね！
Ｐ,ありがとう
春香,テレビ～♪テレビ～♪あ、そういえばプロデューサーさん！
Ｐ,どうした春香ー？
春香,前から気になってたんですけど、ウチの事務所ってなんでまだＶＨＳのデッキがあるんですか？
Ｐ,あぁ、それか、確かに今の子にはかえって新鮮かもな
春香,えぇ
Ｐ,社長が今まで録画していた昔のアイドルの歌番組とかが大量にＶＨＳで残っていてな、今さらＤＶＤにするのも面倒らしくて。資料価値も高いし、残してあるんだ
春香,なるほどー！。！！プロデューサーさん！気分転換に見てみませんか？息抜きにもなりますし、昔の売れっ子アイドルの衣装も、もしかしたら参考になるかもしれませんし！
Ｐ,……そうかもな、ありがとう春香！一緒に見よう
春香,はい！あ、私お茶入れてきますね！。再生ですよ！再生！
Ｐ,うわぁ古いなぁ…
春香,画質もすんごいですね…これっていつぐらいの番組ですか？
Ｐ,…結構な長寿番組だったからなぁ、年代がわかるアイドルが居れば…
春香,あ、このアイドル！私でも聞いたことありますよ！
Ｐ,松田聖子か！ならこれは８０年代後半だな！
春香,わぁーもう３０年以上前ですかー…
Ｐ,歴史を感じるなぁ春香、この頃は今みたいに眉毛を細めたり、髪を染めたりなんて無かったんだぞー
春香,確かにそうですね、出ているアイドルの方々は皆、太眉で黒髪ですね
Ｐ,この松田聖子の影響で、聖子ちゃんカットと呼ばれる髪型が爆発的に流行してな、すごかったんだぞ
春香,へぇー…そこまで影響を与えるなんてスゴイですね
Ｐ,見てみろ客席の女の子を
春香,わぁー！ほとんど皆真似してますね！
Ｐ,あぁ、今のアイドルでここまで影響力のある人は………ん？
春香,どうしました？プロデューサーさん
Ｐ,春香、ちょっと巻き戻し
春香,あ、はい
Ｐ,一時停止！！！！
春香,わわっ！急にどうしたんですか！？
Ｐ,なんだこの子…
春香,…うー…急に怒鳴ったと思ったら、客席の女の子に釘付けになっちゃって
Ｐ,いや、違うんだ春香、この子をよーく見てみろ
春香,？ふーんだ、キレイな女性ですね
Ｐ,春香、そうじゃない、髪型やファッションを見てみろ
春香,…………え？これって…
Ｐ,そうだ。ルーズソックスだ
春香,あ、私が子供の頃に女子高生の間で流行ったっていう。へぇー、この頃から流行ってたんですねー歴史を感じｍＰ違う春香！
Ｐ,ルーズソックスが流行りだしたのは、９０年代の後半だ
春香,………え？
Ｐ,他にも見てみろ、よーく見てみろ眉毛は細く、髪型は茶髪にロングのストレート、真っ赤な口紅もつけてない…
春香,メイクも今に近いですね…
Ｐ,なんなんだこの子…
春香,そんなに驚くことですか…？
Ｐ,これが驚かずにいられるか、周りが８０年代のファッションなのに、出演している売れっ子アイドルですらそうなのに、この子一人だけ、９０年代のファッションなんだ
春香,確かに、よーく見てみればかなり浮いてますね
Ｐ,この子一人だけ、１０年、いや１５年先の流行を先取りしてるんだ…
春香,うわぁ
Ｐ,そうだ！
春香,どうしたんですか！？
Ｐ,ちょっと電話してくる！
春香,？？？
Ｐ,はい、はい、ありがとうございます！
春香,？？？
Ｐ,社長に頼んで、テレビ局に色々調べてもらうんだ！
春香,は、はぁ
Ｐ,この子がもし、本当に１５年後の流行を感じ取れるんなら、次のライブの衣装を頼めばいいんだ！！！
春香,なるほど！！！
Ｐ,番組閲覧に応募してくるんなら、きっとデータを残してるはず！個人情報だが、そこは社長のコネでなんとかしてもらう！
春香,つまり、私たちのライブ衣装は…
Ｐ,あぁ！うまくいけば、未来の流行ファッションだ！人気と話題爆発間違いない！
春香,わっほい！やりましたね！
Ｐ,お願いだ…データよ残っていてくれ…。きたー！。うっひょーーーー
春香,戻ってきたと思ったら、急にパソコンに向かってどうしたんですか？
Ｐ,取材できる事になったんだ！あの子に！ビデオに写っていたあの子に！
春香,え！？もうですか！？
Ｐ,あぁ、テレビ局の中でも有名人だったらしい！
春香,アイドルだったんですかね
Ｐ,いや、違う業界の人の中でも、あの子が番組閲覧に来た番組は、必ずヒット番組になる！という感じだったらしい
春香,それって
Ｐ,あぁ、ファッションだけじゃない、テレビ番組にも先見の明があったらしい！
春香,ホントですか
Ｐ,過去に吉澤さんも取材した事があるらしく、そのデータを送ってもらってるんだ！
春香,やりましたね！
Ｐ,そのツテで現在の流行という名目で取材も申し込めたんだよ！
春香,わくわくその吉澤さんの取材記事も見てみましょう！
Ｐ,モチロン！。……本物だ…
春香,私にはサッパリ…
Ｐ,…なんだこの子
春香,どうすごいんですか？
Ｐ,…グーグル・ヤフーの筆頭株主、日本Ａｍａｍｉｚｏｎの取締役、リサイクルブーム・エコブームの火付け役、１０年以上前から脱原発運動、ケータイにカメラをつけたのもこの人だ…
春香,
Ｐ,…もうこの人が時代の先取りといってもいいくらいだ…
春香,……すごいですね
Ｐ,あぁ、この人は予見していたんだ。インターネット社会、大災害、不況による中古売買が主流になること、物流の発達により通販が主流になること…
春香,……
Ｐ,…恐ろしいよ…ファッションだけじゃない、この人は未来の事がわかってるんだ…
春香,……取材はいつですか？
Ｐ,忙しい人らしくてね、まぁそりゃそうだ…明日近くに来るらしく、１０分だけ時間をもらえた。トップアイドルどころじゃない、春香を時の人にだってできるかも…
春香,なんだか恐ろしくなってきました
Ｐ,俺もだよ、震えてきた…明日、事務所に待ち合わせな
春香,はい
Ｐ,この人、名前は日高舞というらしい。春香！遅いぞ走れ！遅刻だ！なんであんなに転ぶんだ…
春香,うぅ…ゴメンナサイ…緊張しちゃって…
Ｐ,あぁ…もう、未来の人の感覚が、今より遅刻に厳しい決まりだったらどうするんだ！
春香,うわぁーん…
Ｐ,もうすぐ待ち合わせの駅だ！…といっても時間ギリギリだけど
春香,あ！プロデューサーさん！街頭テレビ見て下さい！
Ｐ,んん？
春香,総理が銃撃で撃たれたそうですよ…
Ｐ,今の総理に興味は無い！１０年先の総理なら、すぐに営業をかけるさ！。着いたぞ！待ち合わせの場所に！
春香,時間ギリギリですね…ゴメンナサイ
Ｐ,どこにいる！？怒って帰ってしまったか…
春香,…ホントにゴメンナサイ…
？？？,あなたたち？私を取材したいという人達は
Ｐ,！！！日高さん…ですね
日高,コンニチワ
Ｐ,…え……？
日高,ゴメンナサイね、忙しくって、時間を取れず
Ｐ,は、はぁ
日高,私のファッションを取材したいんだってね。１０年くらい前ね、もう私の中でファッションは行き着いてしまったの
俺は,帰ってすぐに衣装を考案しないとな
日高,外見ではなく、アクセサリーにこだわる事にしたのよね。今は無理だけど、とりあえずレプリカを身につけることにしたの。本当は本物が欲しいんだけどなぁー
