本田未央,そんなっ！だからって、私達を残してっ！
島村卯月,一人で遠くに行っちゃうなんて……寂しい……です……
モバＰ,すまん……でも、こんなに所属アイドルが急激に増えて……。もう……もうっ！
城ヶ崎美嘉,うん、そうだよね。プロデューサーは頑張ったもんね。いいんだよ……
卯月,ｸﾞﾘｰﾝﾀﾞﾖ……
未央,っ……っっ
美嘉,ﾃﾞ､ﾃﾞﾓ……でもっ！一人でなんて行かせなふぃんっ……行かせないんだから……ねっ！
卯月,……行かせなふぃんっ！
未央,ﾌﾋｯ……ﾝﾋﾋﾋ……行かせなふぃんっ！
美嘉,……くうっ！
モバＰ,……グダグダじゃないか。ほら、抱きつくのは駄目だぞ
美嘉,だって卯月が急にっ！
未央,古さ加減が妙なツボに入っちゃったね！
卯月,勝ちましたっ！
森久保乃々,お笑いの対決だったんですか……
モバＰ,いや、俺もびっくりだけど。とりあえず机の下から出ような？
乃々,やです。油断したら佐久間さんに占領されますから。うおー、あんだー、ざ、ですく……
モバＰ,……うん。そうね
未央,あ、諦めた
千川ちひろ,今回の茶番は短かったですね。それで今度の長期休暇、旅行に決めたんですか？
モバＰ,はい。先輩の休暇も終わったし、やっと羽を伸ばせますよ～
ちひろ,先輩Ｐの娘達の面倒に加えて、新人の娘達も入ってきましたからねぇ。ほんとお疲れさまです
モバＰ,学生達は夏休み中の撮り溜めだったりで、実は言うほど忙しくはなかったんですけどね
ちひろ,ふふ。その夏に休みなしで杏ちゃん達と頑張ってたのは、プロデューサーさんもですから。ゆっくりしてきて下さいね
モバＰ,うっす！楽しみだなぁ
美嘉,それで、どこにする？アタシとしては海外がいいなぁ～
未央,この前、京都と奈良でまったりしたいってプロデューサー言ってたよねっ……あ
モバＰ,お前ら何言っ……あ
先輩Ｐ,……
トライアド,おつ
先輩Ｐ,シッ
トライアド,？？？
美嘉,え～？修学旅行じゃないんだから。ねっねっ！グアムとかよくない？アタシの生水着姿見たいでしょ？サービスしちゃうよ★
モバＰ,んんっ！美嘉……悪い事は言わないから、冗談もその辺で……な？
未央,そ、そうだよ～。美嘉ねー、はしゃぎ過ぎ！あはは……
美嘉,アタシは本気だよっ。旅行のこと知ってるのアタシ達だけだし、凛達には悪いけど、ここは華麗に抜け駆けするんだ★先輩Ｐにもオフのお願いしたし！アタシも息抜きしないとっ
モバＰ,おぉ……もぅ……
未央,ぁぁ……さよなら、美嘉ねー
卯月,ん？後ろに何かあるんですか？。あ！凛ちゃん達おかえり～！
美嘉,！？
渋谷凛,うん。ただいま……美嘉
北条加蓮,旅行と抜け駆けについて
神谷奈緒,くわしく
美嘉,プロデューサー……アタシ振り返りたくない……
モバＰ,あぁ……奴もいるしな
