千川ちひろ,いえ知りませんが
Ｐ,え、知らないんですか？平成仮面ライダー２０作目にして９月１７日に第３話が放送されたあの仮面ライダービルドを！？
ちひろ,知りません
Ｐ,いやー、まさか知らないなんてな～…
ちひろ,…
Ｐ,結構面白いのにな～
ちひろ,………
Ｐ,展開も今のところ中だるみすることなく…
ちひろ,うるせえ！お前はガチャだけ回してろ！！
Ｐ,もう白封筒はこりごりですっっ！！
安部菜々,あのう…私はなぜこんなところに呼ばれたんでしょう…
Ｐ,決まってます、仮面ライダーの歴史を見てきたものとしての証人です
菜々,は、はあ…？
Ｐ,とりあえず、菜々さんは仮面ライダーいつから見ました？
菜々,私ですか？えーっと………ナナは子供の頃はクウガとか見てましたよ！
ちひろ,ってそれよりＰさん！仕事してくださいよ仕事！！
Ｐ,お願いします！この話が終わったらちゃんとやるんで！
ちひろ,はぁ…とりあえず手短にお願いします
Ｐ,まず仮面ライダーは46年続いてきています！
ちひろ,思ったより長いんですね
Ｐ,そうですね、菜々さんがようやく成人した辺りかな？
菜々,ちょっと！そこまで昔じゃありません！ていうかナナは永遠の１７歳ですー！！
Ｐ,そして今年の９月から始まったのがご存知仮面ライダービルドですね
ちひろ,さっき言ってましたね
Ｐ,はい、この作品の主人公は記憶を失った天才物理学者が変身して人体実験を行う悪の組織ファウストを倒すんです！
ちひろ,なるほど
菜々,１号に変身する本郷猛もIQ600でしたね……ハッ！
Ｐ,突っ込みませんよ。それで仮面ライダービルドは倒した怪人の成分を抽出できるんです！例えばラビット×タンクとか！
ちひろ,なるほど、悪いですね
Ｐ,えっ？。いやいや！人体実験で化け物にされてしまった人たちの成分を抜き取って元の人間に戻してあげてるんです！
ちひろ,あ、そうなんですか……。なるほど
Ｐ,ビルドは生き物×機械の組み合わせで変身できますからね
菜々,そうなんですか、例えばどんな？
Ｐ,ベストマッチ、いわゆる最高の組み合わせがラビット×タンク、ゴリラ×ダイヤモンド、タカ×ガトリングですね
ちひろ,ふふっ
Ｐ,？。人体実験された人はスマッシュっていう怪人になるんですよ！
ちひろ,となると黒幕はぴにゃこら太…
菜々,え？
ちひろ,なるほど、大体わかりました
Ｐ,いやいや！まだ大事なアレがまだですよ！
ちひろ,大事なアレ？
Ｐ,１０年前の惨劇ですよ！
菜々,１０年前…？ってことは2007年？え！？もうそんなに経ってるんですか！？
Ｐ,もう突っ込みませんからね
ちひろ,１０年前っていうとアレですか？ウチの親会社の星の球団の暗黒期！
Ｐ,ちげえよ！確かにアレも惨劇だけどさ！
菜々,そうですよ！その時はまだ横浜ベイスターズですから！
ちひろ,よく知ってますね？
菜々,えっ…そ、そりゃ親会社ですから！
Ｐ,うまく逃げましたね…じゃあ菜々さんの好きな球団は？
菜々,ロッテオリ…ロッテです！！
Ｐ,今ちょっとオリ…って聞こえたんですけど
菜々,ろ、ロッテオンリー！！ロッテだけってことです！
Ｐ,オンリー…そうだと思ってましたよ
菜々,で、ですよね！
Ｐ,毎日オリオンズなわけないですもんね
菜々,ナナを何歳だと思ってるんですかー！
ちひろ,じゃなくて！１０年前の惨劇の話でしょう！？
Ｐ,あーそうでした
菜々,ほっ
Ｐ,火星から持ち帰った謎の箱、パンドラボックス……
ちひろ,パンドラの箱、ですか…開けてはならない神話上の箱ですね
蘭子,！
菜々,この世の闇と恐怖が全部詰まってるんでしたっけ？
Ｐ,そうですね、それを開けてしまったから今人間界には恐怖が満ち溢れているんだっていう話です
蘭子,…
Ｐ,とにかくそのパンドラボックスを地球に持ち帰り、有人火星探査機が帰還したセレモニーを行ったとき！
菜々,とき？
Ｐ,謎の人物がセレモニーに乱入！
ちひろ,それで？
Ｐ,謎の人物がパンドラボックスに触れた瞬間！まばゆい光が！
菜々,そ、それでどうなったんです！？
Ｐ,スカイウォールと名付けられたスゴい壁が日本を３つに分断しました
ちひろ,は？。あ、でもアリですね
Ｐ,何がですか？
ちひろ,こっちの話です
Ｐ,と、まあこれが大体の説明です
ちひろ,なるほど、わかりました
菜々,なかなかユニークな設定ですね！
Ｐ,まだ３話なので全体の評価はなんとも言えませんが、将来有望ですね！
ちひろ,ふむふむ…ところで他におすすめの仮面ライダーとかあります？
Ｐ,え！？ちひろさんが興味を！？
ちひろ,は、はぁ、まあ…
Ｐ,そうですね…仮面ライダーオーズとかどうですか？
菜々,あ！それなら菜々知ってますよ！３つのメダルで変身するんですよね！
Ｐ,ようやく１７歳らしいところ出ましたね
菜々,ちょっと！今までだって１７歳ですよー！
Ｐ,オーズの変身者は少しの小銭と明日のパンツがあればいいをモットーに世界を旅する流浪の旅人です
ちひろ,あー、プロデューサーさんみたいな？
Ｐ,え？
菜々,ちょっとちひろさん！
Ｐ,おっいいぞ、言ってやれー
菜々,Ｐさんはそんなにかっこよくないですよぅ
Ｐ,え？。えっ？。仮面ライダーオーズは欲望の怪人グリードという全身がメダルでできている相手と戦ってコアメダルを奪っていくんです
菜々,あれ？どうしたんですか？
Ｐ,自覚あったんですね
ちひろ,うるさいです、宝くじ７等にしますよ？
Ｐ,ちひろさんのアマゾンズ！王蛇！ゴルゴム！
