堀裕子,サイキック不良！
モバP,どうしたんですか！？ラウンド終わるごとに鯖落ちするんですか！？
ちひろ,ゆっこちゃんがグレました！
モバP,サイキック反抗期ということですか！？
ちひろ,サイキックそのとおりです！
モバP,それはサイキック大変ですね！サイキックなんとかしてきます！
ちひろ,サイキックよろしくおねがいしサイキック！
モバP,ゆっこぉ！ゆっこはどこにサイキック！？
卯月,ゆっこちゃん？ゆっこちゃんなら外にサイキック買い物にいきましたよ？
モバP,サイキック本当か！？サイキックありがとうサイキック卯月！
卯月,サイキックどういたしまして！
モバP,ゆっこを探してサイキックる！
卯月,いってらっサイキック！
モバP,ゆっこぉ！どこサイキックだぁ！！？
文香,あ…プロデューサーさん…
モバP,文香！文香もサイキック買い物か？
文香,サイキック図書券が…サイキック余ってたので…
モバP,どんな本をサイキック購入したんだ？
文香,サイキック…小説です
モバP,今度またサイキック貸してくれないか？
文香,サイキック…かまいませんよ…
モバP,ところでゆっこサイキック知らないか？
文香,堀さんですか…サイキックわかりません…
モバP,もし見つけサイキックしたらサイキック携帯にサイキック連絡してくれないか？
文香,サイキックわかりました…
モバP,それじゃあまたサイキック事務所でな！サイキックじゃあな！
文香,サイキック…さようなら
モバP,ゆっこ…あいつが行きそうな場所といえば……どこだ…？
藍子,あ、プロデューサーさん！
モバP,ドラム…サイキック藍子！
藍子,どうしたんですか？急いでるみたいですけど
モバP,それがサイキックかくかくしかじかでな…
藍子,なるほど…ゆっこちゃんがサイキックグレちゃったんですか
モバP,本当にサイキック困ってるんだ…あいつが行きそうな場所にサイキック心当たりはないか？
藍子,サイキックそうですねぇ……前二人で一緒にいったカフェがあるんですけどそこかもしれないです
モバP,サイキックカフェか…ありがとう、そこはどこにあるのか教えてサイキック？
藍子,そこのサイキック道をサイキック右折してサイキック突き当たりにサイキックです
モバP,サイキック！！
藍子,どういたしまして！
モバP,あった！ここだな！。サイキック休みだと！？くそっ…またサイキックふりだしかよ…！
きらり,Pちゃんだにぃー☆
モバP,サイキックきらり！
サイキックきらり,こんなところでなにしてうのー？ｻｲｷｯｸ☆
モバP,サイキックがサイキックしてな…
サイキックきらり,それは大変だにぃ！きらりもきらりんサイキックぱわぁー☆でお手伝いサイキックにぃ！
モバP,サイキックきらり…ありがとう！
サイキックきらり,んんぅ??……きらりんサイキックぱわぁー！！！。見えたにぃ☆ゆっこちゃんは楽器屋さんにいるにぃ！
モバP,サイキックきらりパねぇ！。ゆっこぉぉ！！いるんだろサイキック出てこいやぁ！！
夏樹,んあ？プロデューサーじゃん、なにしてんの？
モバP,ゆっこがサイキック
夏樹,ゆっこがグレた…？サイキック信じれないな
モバP,なんでサイキックこんなことになってるのか俺にもサイキックさっぱりだ…
店主,ゆっこちゃんならさっきまでいたよ
モバP,サイキック本当ですか！？
店主,あぁ、ギターを一本買って出ていったよ
夏樹,グレるの方向サイキック間違ってるな
モバP,そうですか…サイキックありがとうサイキックございますサイキック！
店主,…？あ、あぁ…？
モバP,ところで夏樹はなにサイキックしてたんだ？
夏樹,ダリーにギターをサイキックプレゼントしようとサイキック考えててさ、サイキック選びにきたんだ
モバP,そうか…サイキックお前たちはサイキック仲サイキック…
夏樹,ハハ、まぁな
モバP,ギターをサイキック買った…サイキックよし、一回サイキック務所に戻サイキックってるかもしれない！行サイキックってみるか！
ｻｲｷｯｸP,サイキック！！！
ちひろ,サイキックお帰りなさい！ゆっこちゃんがサイキックたいへんなんです！！
ｻｲｷｯｸP,サイキック！！？
ちひろ,サイキックとめてきてください！
ｻｲｷｯｸP,サイキックサイキック！！
ゆっこ,サイキックなんて最低だぁぁ！！
あい,ゆっこくん！サイキックやめるんだ！
真奈美,ギターはサイキックに使うもので物をサイキックするためのものじゃないサイキック！
ｻｲｷｯｸP,サイキック！！！
ゆっこ,プロデューサーさん…！
ｻｲｷｯｸP,サイキック……サイキック、サイキック？
ゆっこ,……。そういうところが嫌でゆっこはグレたんですよぉぉぉぉぉ！！
モバP,ゆっこ……。サイキックが…サイキックった…でもな、ゆっこ！このサイキックはお前というアイドルのサイキックが本当にサイキックだから皆サイキックしたんだ！。だから…どうか、前のサイキックにサイキックってくれないか？
ゆっこ,プロデューサーさん…。じゃあ…もう、サイキックってからかわないなら…もとに戻ります…！
モバP,……。サイキックわかった！
ゆっこ,んぁ"ぁ"ぁ"ぁ"ぁ"ぁ"ぁ"ぁ"ぁ"ぁ"ぁ"！！！。もうしらない！！！！絶対にみんな許しませんから！！！
モバP,そんな…こんなにサイキック誠心誠意謝ってサイキックてるのに……
ゆっこ,もう……！もう事務所なんてやめます！！！。……！？
蘭子,…甘えし愚民よ(ゆっこちゃん…)
ゆっこ,……なんですか、蘭子先輩…！！蘭子先輩に私の苦しみは…！！
蘭子,甘えるな！！！(その程度で辞めないでください！！)
ゆっこ,……え？
蘭子,我など…地獄の猛火に…！(私なんて…もっとひどいことに……！)
モバP,やみのまwwwwwwww蘭子wwwwwwやみのまwwwwww
ちひろ,生命の雫wwwwww
真奈美,堕天使魔王草不可避
蘭子,私なんて……こうなんですよ！！！？
ゆっこ,蘭子先輩……！
蘭子,だから…やめないでください！！
ゆっこ,蘭子先輩…！わかりました！ゆっこ、サイキック根性で耐えきってみせます！！
モバP,サイキック闇に飲まれよ
