一人は金髪の人間,ヒューマン
もう一人は赤髪の吸血鬼,ヴァンパイア
金色の髪を持つ可憐な少女の職業,ジョブ
赤髪の活発そうな明るい少女の職業は暗黒騎士,ダークナイト
【Gavuriru】,ちくしょう！今日という今日は許さないぞ！！大人しく私に導かれろサターニャ！！！
【Satanikia】,そっちこそ大人しく私にやられなさい！この大悪魔サタニキア様が直々にアンタをギタギタにしてあげるわガヴリール！！！
【Gavuriru】,望むところだ！お前を蜂の巣にしてから身体を八つ裂きにして燃やしてやる！！！
【Satanikia】,私だって、アンタを斬ったり、斬ったり…えっと……斬ったりしてやるんだから！！
人,天使
彼女のトラップの使用法は実に巧妙かつ有効的であり、弓をかわすと地雷が発動、地雷を避けると設置されたボウガンからの攻撃、さらに周囲に撒菱,まきびし
それはMob相手にはカケラも意味をなさないであろうプレイヤーを狩る事だけに全てを特化させた外道のいやらしい人殺し,対人
装備の質,ドロップ運
【Vignette】,ねぇ、ラフィ
【Rafieru】,はい、どうしましたかヴィーネさん
【Vignette】,私達もう帰っても良くない？
【Rafieru】,あはは、私も本当はそうしたい所ではありますが、ほら？一応私達この戦いの立会い人というポジションですし……それに。これだけ沢山の人を巻き込んだ以上、そうそう帰して貰えないと思いますよ
【Vignette】,そうよね……。あぁ、なんでこんな事になってしまったのかしら……
ラフィエル,ゲームですか？
サターニャ,そうよ、今日はゲームをする為にこの私が直々にアンタ達を呼び出してあげたのよ、感謝しなさい
ガヴリール,てい
サターニャ,いたっ！ちょっとなにすんのよガヴリール！！
ガヴリール,いや、なんとなくムカついたから
ヴィーネ,それで、ゲームをするのよね？別にいいけど何をするの？やっぱりトランプとかボードゲーム？
サターニャ,ちっちっちっ。甘いわねヴィネット、この大悪魔であるサタニキア様がそんな下劣な庶民達の遊びをする訳がないじゃない
ラフィエル,でもサターニャさんトランプもボードゲーム将棋とか
サターニャ,う、うるさいわね、あれは気まぐれでやっただけよ、き・ま・ぐ・れ
ヴィーネ,トランプやボードゲームじゃないんなら、一体どんなゲームをするのよ？
サターニャ,今回私たちが遊ぶゲームはコレよ！！
ガヴリール,こ、これは……
ヴィーネ,え、何なのこのヘンテコな機械は？
ラフィエル,私もわかりません、でもどうやらガヴちゃんはわかるみたいですね
ヴィーネ,そうなのガヴ？
ガヴリール,ああ、これはつい最近発売されたばかりのVRゲームマシンとそのソフトドロップクエストファンタジぃ・オンラインだ。入手困難でこの私でさえ手に入れる事が出来なかった一品なのに……。ちくしょう、なんでサターニャごときがこれを手に入れているんだよ！！
サターニャ,ふふふ、この前偶然懸賞が当たって手に入れたのよ。しかも四つもねっ！！
ガヴリール,うぅ悔しい…なんでこんな頭空っぽの馬鹿に四つも………
ヴィーネ,ガヴ何も泣かなくても……
ガヴリール,だって…だってサターニャが……
ラフィエル,そうですよガヴちゃん、サターニャさんが今日それで私達を呼んだという事は恐らく……
サターニャ,その通り！3台はアンタ達にあげるわ
ガヴリール,本当か！！
ヴィーネ,食い付くの早っ！？
サターニャ,ええ、だから泣くのは良しなさいガヴリール
ガヴリール,サターニャ……あぁ流石私の心の友
ヴィーネ,はぁ、ガヴったらこんな時だけ調子いいんだから
サターニャ,ふふふ、そうよガヴリール、もっと私に感謝しなさい。なーっははは
ラフィエル,ガヴちゃんもですがサターニャさんも同じくらいお調子者さんですよねー
サターニャ,それじゃあ、あんた達このゲーム機とソフトを持って家に帰りなさい
ヴィーネ,え？一回サターニャの家で集まったのにまた帰るの？
ガヴリール,当たり前じゃん、だってVRゲームだぞ、VRゲーム、同じ部屋でやる意味もないだろ？
ヴィーネ,言われてみればそうだけど……なんか寂しいわね、これが現代っ子の遊びの現状なのかしら
ラフィエル,時代はドンドン進んで行きますからねー
サターニャ,次はゲームの中で落ち合うわよ
ガヴリール,いや～、それにしても思わぬ所からとんだ宝が手に入ったなー。これはサターニャに借りが出来ちゃったかな？。まあ今度あいつをシメる時は少し手ごころを加えてやろう。よし、セッティング完了っと！後はこの機械を装着してゲームを始めるだけ。それじゃ始めるか、ゲームスタート！！！。おぉ、すげぇ声が頭の奥に響いてくる、これがVRと言うやつなのか。ここは無難にGavuriruで。まあ、もちろん女だよな。うーむ、種族か、人間、エルフ、ハイエルフ、ドワーフ、獣人系統なんかを基本とした定番系は勿論全部揃っているとして……。吸血鬼、エイリアン、地底人、野菜人、ワーム、ゴーストとかその他ニッチなアンデット系もろもろ……種族だけで100を超えてるぞ！？。しかも8割がネタ枠みたいな種族ばっかりだ。ま、こういう場合は一番性能に偏りの無さそうな人間ヒューマン
貴方の職業,ジョブ
ガヴリール,種族の時で大体想像がついてたけど職業もめちゃくちゃ多いな……。ただこっちは職業と違って多くてもあんまテンション上がらないんだよなー。後半上位職を獲得する為にここに載ってる職業を掛け持ちして経験値稼ぎするんだろうな～とか思ってしまうとさ。職業、これは最初から決めていた弓使いアーチャー。別に容姿は変えなくてもいっか、私達は元から下界人離れした見た目だし。いいえで。よーし、始めるぞ！。あれから約15分くらい長ったらしい初歩的なチュートリアルがあっただなんて……。ネトゲゲーマーとしては予測しておくべきだったが、VRで浮かれて頭になかった……。不意打ちで来た分ストレスがヤバい。何がドロップクエストファンタジぃ・オンラインの世界を堪能して下さいだよ、お前がそれ言ってから全然堪能出来てねぇんだっての！。はあ、このチュートリアル終了ボタンを押せば最初の町に行けるのか。気を取り直してゲームを始めますか。うおー、すげー、めっちゃ綺麗。ここが最初の町か、ザ・はじまりの町感がやべー。まさかこれをリアルで見れる日がくるとは……まあこれもゲームなんだけど
ヴィーネ,ガヴ～
ガヴリール,おうヴィーネ、こっちだぞ
サターニャ,私たちもいるわよ！！
ラフィエル,ガヴちゃん、お待たせしましたー
ガヴリール,おー、みんな揃ったか。正直もっとぐだぐたした感じで集まるかと思ったけどこれは幸先が良さそうだな…
サターニャ,なによ、ぐだぐたって酷いわね！
ヴィーネ,まあまあサターニャ、ゲームの世界にまで来て一番にケンカしなくても……
サターニャ,はあ、それもそうね
ラフィエル,それで無事合流出来た訳ですが、次はどうすれば良いのでしょうか？。チュートリアルではクエストという物を進めて行けばいいと言っていましたが……。是非ゲーム熟練者のガヴちゃんご教授お願いします
ガヴリール,あーそうだな、ならまずはフレンド登録からするか
ヴィーネ,フレンド登録？なんなのそれは？
ガヴリール,フレンド登録ってのは名前の通り友達を登録する機能だな。これを登録すれば仲間のステータスとかログイン情報が確認出来たり、メッセージを送ったりする事が出来るんだよ
サターニャ,ふーん、便利な機能があったものね、褒めてつかわすわ
ガヴリール,お前は一体何様だよ
ヴィーネ,友達を登録する機能……ガヴ、登録しないと友達が出来ないだなんて、やっぱり最近のゲームは子供の教育に悪いんじゃないの！？
ガヴリール,確かにそう言われてみると現代社会の闇を感じる機能だけど、ヴィーネの考え過ぎだって。若いうちからそんなオカンみたいな事ばっか言ってたら、早くに老けちゃうぞ
ラフィエル,これがガヴちゃんのステータスですか。弓使いアーチャー
ガヴリール,まあこういうゲームじゃ、後半はともかく序盤は無個性であればあるほど逆に強いみたいな所あるから
ヴィーネ,そうなの？
ガヴリール,ああ
ラフィエル,じゃあ私のキャラクターは少し微妙かも知れませんねぇ
ガヴリール,そうなのか
ラフィエル,少し偏った種族と職業にしてしまいました
ガヴリール,ふーん、ラフィエルのステータスはっと。機凱種アンドロイド
ヴィーネ,確かによくみるとラフィの見た目機械っぽい所があるわ
サターニャ,そうね、人間のガヴリールはともかく私達はなんとなく見た目の雰囲気が変わっている感じがする
ラフィエル,これも種族間によるパラメーターの差の一環のようですね
ガヴリール,機凱種がどういう種族かはまだよくわからないけど鍛冶屋が序盤不利なのは確かだな
ラフィエル,そうなんですか？
ガヴリール,ああ、生産職はMMOじゃ基本不利なんだよ。最初にレベルを上げようにも戦闘向きじゃないからレベルが上がり辛いし、素材も中々集まらないから肝心の生産もやり辛い。最初の職業で生産職を選ぶのは、ネトゲ初心者がやっちゃう失敗例の代表例の一つって感じだな
ラフィエル,そうだったんですか…
ガヴリール,まあ気にするな、ソロプレイだったらともかく、幸い私たちは最初から4人いるから。みんなでラフィをカバーすればすぐにレベルも上がって強くなれるよ
ヴィーネ,そうよ、私達もラフィを手伝うから大丈夫よ
サターニャ,任せておきなさい！その代わりにアンタが使える様になったらその分こき使ってあげるんだから
ラフィエル,みなさん、ありがとうございます
ガヴリール,さて、次はヴィーネか、ヴィーネのステータスは……。妖精フェアリー。この組み合わせは大抵のゲームでも種族と職業の相性が抜群にいいと相場が決まっているから心配は要らないな
ラフィエル,ヴィーネさんは妖精になった影響で背中に羽と少し身体から光のようなものが漂っていますね
ガヴリール,ネタとしての面白味はないけど、まあゲーム初心者のヴィーネにしてはいい選択じゃないの
ヴィーネ,ガヴ
ガヴリール,で、最後に一番心配そうな奴な訳だけど……
ヴィーネ,特に見た目に変化はないわね
ラフィエル,いえ、少し肌の色がいつもより白い気が…
ガヴリール,サターニャは、吸血鬼ヴァンパイア
一同,……………
ガヴリール,わからん、ラフィの機凱種と同じく吸血鬼がどういう種族かイマイチわからんからこのチョイスがどうなのかが……。でも、剣士はお前にしてはいい選択だと思うぞ、お前の事だからもっと変な職業にすると私は思っていたし
サターニャ,ふふん、それはなんかネットで最初は剣士が一番強いとか大きく書いてたから選んだのよ
ヴィーネ,言われてみれば周りの初心者も剣士っぽい装備の人が多いわね
