モバＰ,そうですかね？
ちひろ,肥満、とまではいきませんが、小太りには見えますよ
Ｐ,……痩せたほうが、良いですか
ちひろ,それは、ご自由に。でも、どうしてそんなに太ったんですか
Ｐ,一応、心当たりはあります
ちひろ,ほうほう、どんなものでしょう
Ｐ,最近、よく――
ﾆｱ,パンを分けてもらってるんです
ちひろ,パンを？パンでそんなに太るんですか！
Ｐ,量が量ですから
ちひろ,そもそも、どうして太るまでパンを食べることに……
Ｐ,みちるが分けてくれるんですよ。それが美味しいから、ついつい
ちひろ,みちるちゃんが、ああ、なるほど
Ｐ,――おっと、そろそろ、みちるを迎えに行く時間だ
ちひろ,事故には気をつけてくださいね
Ｐ,もちろんですよ
大原みちる,お、来ましたね
Ｐ,すまん。待たせたか
みちる,まさか！早いぐらいですよ
Ｐ,それは良かった。それじゃあ、車に乗ってくれ
みちる,了解です。……プロデューサー、事務所に帰る前に、公園に寄りませんか
Ｐ,なんだ、パンでも食べるのか
みちる,あははー、よく分かってるじゃないですか！
Ｐ,何度も付き合ってたら、嫌でも分かるさ
みちる,いやぁ、外の空気とパンがウマイ！
Ｐ,そりゃ良かったな
みちる,プロデューサーもどうですか、外で食べるバケットは、とても美味しいですよ
Ｐ,外でバケットを丸かじりするのは、お前だけだよ
みちる,みんなも、食べれば良いと思うんですけどねー
Ｐ,真似できないんだよ……
みちる,あははー、残念です！それじゃあ、惣菜パンはどうですか
Ｐ,ああ、それなら――いや、今日はやめておく
みちる,あれ、じゃあ菓子パンでも
Ｐ,それはさらにダメだ
みちる,……そうですか。では、いただきまーす！。フゴフーゴー
Ｐ,飲み込んでから、話しなさい
みちる,フゴゴフゴ。――プロデューサー
Ｐ,なんだ？
みちる,どうして、今日はパンを食べないんですか
Ｐ,ん、んー
みちる,いつもなら、美味しそうに食べてくれるのに
Ｐ,……実は、ちひろさんに太ったんじゃないか、と言われてな
みちる,私は、太ってませんよ？
Ｐ,俺が、だ！
みちる,分かってますよ、あははー！
Ｐ,まあ、それで少しは節制しようと思ってな
みちる,私の半分も食べてないのに、私より太るなんて、おかしな話ですね
Ｐ,本当だよ。なんで、みちるは太らないんだ？
みちる,あははー、私は、小麦粉と仲良しですから！
Ｐ,適当なことを言ってからに
みちる,プロデューサーだって、仲良くなれますよ。というわけで、どうですか、一つだけでも
Ｐ,……一つだけな
みちる,やった！では、どうぞ
Ｐ,惣菜パンか。よりにもよって、カロリーの高いパンを渡してくるとは
みちる,ちょっとくらい、問題ないですよ。ささ、ガブっといきましょう
Ｐ,太らない奴は、気楽に言ってくれるぜ。――美味い！やっぱり、みちるのパンは美味いなぁ
みちる,そうでしょう、そうでしょう。なんといっても、うちのパンですから
Ｐ,挟んである惣菜も、ソースが濃くて、パンに合ってる。もう一つパンが欲しいくらいだ
みちる,なら、もう一つどうですか。まだまだありますから
Ｐ,……そうだな、もう一つもらうよ
みちる,はい、一緒に食べましょう！
Ｐ,あ、いや、そのバケットは無理
みちる・Ｐ,ごちそうさまでした
Ｐ,結局、いつもと同じくらいに食べてしまった……
みちる,いいじゃないですか。プロデューサーが太っても、私は気にしませんよ！
Ｐ,そうか、それなら別に
みちる,プロデューサーパンを作るときに、顔が丸いほうが作りやすそうですし
Ｐ,やっぱり痩せる
みちる,冗談ですよ、あははー！。痩せるにしても、私のパンは食べてほしいですねー
Ｐ,みちるのパンが、原因なんだが
みちる,だとしても、ですよ
Ｐ,なんで？
みちる,私の好きなパンを、私の好きなプロデューサーに、食べてほしいので！
Ｐ,……あ、あのなぁ
みちる,これからも、一緒にパンを食べてくださいね、プロデューサー
ちひろ,プロデューサーさん、最近、小太りどころじゃなくなってますよね
Ｐ,やっぱり、分かりますか
ちひろ,それはもちろん、見れば分かるので
Ｐ,……まあ、良いじゃないですか
ちひろ,はあ、そうですか。……ちなみに、そうなった原因は？
Ｐ,あー、その、なんというか
みちる,おはようございます。プロデューサー、今日も一緒に、パンを食べましょう！
Ｐ,――幸せ太り、ですね
ﾆｱ,和菓子を食べることがありまして
ちひろ,和菓子、ですか。確かに、物によっては太りますね
Ｐ,お茶を飲んでると、ついつい手が伸びまして
ちひろ,お茶……ああ、そうえば、よく菜帆ちゃんと一息吐いてるような
Ｐ,ええ、一緒にどうかって、誘ってくれるんですよ
ちひろ,私も誘われたことがありますねー。――あ、菜帆ちゃんがそろそろ帰ってきますね
海老原菜帆,ただいま帰りました～
ちひろ,おかえりなさい、菜帆ちゃん
Ｐ,おかえり、菜帆
ちひろ,あら、菜帆ちゃん、その袋は？
菜帆,帰り道で、お饅頭が売ってあったのを買ったんです～。お茶を淹れますから、ちひろさんもどうですか
ちひろ,なら、いただこうかしら
菜帆,Ｐさんも、どうでしょうか
Ｐ,ああ、それなら俺も――あ、いや、今日はやめておこう
菜帆,そうですか……。なら、Ｐさんはお茶だけで～
Ｐ,ありがとう
ちひろ,わ、これって愛海ちゃんが絶賛した、プニプニのお饅頭！
菜帆,ふふふ、そうですよ～。一緒に食べましょ～
Ｐ,……やっぱり、食べればよかったかな
ちひろ,お疲れ様でした
Ｐ,はい、また明日
ちひろ,事務所の施錠、任せて大丈夫ですか
Ｐ,はっはっは、たまには、俺がやりますよ
ちひろ,それじゃあ、お任せしますね。ありがとうございます
Ｐ,さて、一息吐いてから帰るか。――あれ、ソファーに誰かが……菜帆？
菜帆,ん……あ、おはようございます～
Ｐ,もう夜なんだがな
菜帆,ちひろさんとお茶をしたあと、寝ちゃったみたいで
Ｐ,そうか、そうか。俺もそろそろ帰るし、そのときに送るよ
菜帆,はい、お願いしますね～
Ｐ,……えっと、お茶いるか
菜帆,私が淹れましょうか
Ｐ,いや、俺が淹れるよ。ついでだし
菜帆,ありがとうございます～。Ｐさんのお茶、美味しいです
Ｐ,誰が淹れても、変わらんだろう
菜帆,そんなことないですよ～。Ｐさんが淹れてくれたから、美味しいんです
Ｐ,やめろ、やめろ、照れるだろ
菜帆,あとは、甘い物があれば良いんですけど
Ｐ,さすがに、何も無いところから、和菓子は出せないぞ
菜帆,ふふ、わかってますよ。……確か、お饅頭の余りがあったような
Ｐ,ちひろさんと食べたやつか
菜帆,いえ、それとはまた別の――そうだ、Ｐさん。どうしてあの時、お饅頭を食べなかったんですか～
Ｐ,え、あー、あー
菜帆,もう、誤魔化しちゃ嫌ですよ。私とＰさんの仲じゃないですか
