渋谷凛,お疲れ様です
千川ちひろ,おかえりなさ～い。凛ちゃん、お茶飲む～？休憩しようと思って今淹れてるんだけど～
凛,あ、はい。頂きます
ちひろ,りょ～か～い
凛,ふぅ……他に誰も居ないのか……ん？この原稿、美嘉が連載してるおもしろ恋愛相談……。愛の……鼓動？わからないわ……美嘉も長いし
ちひろ,おまたせ～
凛,あ、ありがとうございます。これ、美嘉のコメント、途中で切れてますね
ちひろ,ふふ、ほんとはこの三倍くらい書いてたんだけど、プロデューサーさんが長いって削ったの。それに、ちょっとキワドイ事も書いてたから
凛,経験もないのに、よく書けるよ……
ちひろ,でも素直になるっていうのは一理あると思うな～。回りくどい事しても、プロデューサーさんは躱してくるだろうし
凛,……なんでプロデューサー？
ちひろ,さあ？
凛,むぅ……でも素直か……
ちひろ,ふふふ。あ、そうだそうだ。これ、新しいドリンクなんだけど良かったら
凛,え、治験？
ちひろ,私をなんだと……大丈夫、プロデューサーさんも飲んでるから
凛,それじゃ……遠慮なく
モバＰ,ただいま帰りました～
ちひろ,噂をすれば……おかえりなさい。あら、菜々さんも一緒ですか
安部菜々,はいっ！同伴出勤……あ、嘘です。凛ちゃん、そんな真顔で見つめられると……とても震えます
モバＰ,迎えに行って一緒に軽く飯食ったから、ある意味同伴出勤……あ、嘘です。真顔やめて
凛,……
モバＰ,うん、何か喋ろうっ！怖いっ！！
ちひろ,ビビり過ぎですよ……ん？
三船美優,あの……お疲れ様で……
モバＰ,美優さんっ！癒しの美優さんっ！！お疲れ様ですっ！
凛,っ！
美優,ひゃっ！お疲れ様です……Ｐさん。ふふっ
モバＰ,荒んだ、イッ！空気を、グッ！浄化する、んはっ！美優さんっ！！痛いっ！
凛,っ！っ！っ！！っ！！！
菜々,……女子高生が放つローキックではないですね、アレ
凛,いつまで手を握ってんのっ！
モバＰ,え、だって癒し……
和久井留美,……Ｐ君？
モバＰ,あ、お帰りなさい……
美優,ぁ……
留美,……私には？
モバＰ,え？
留美,……
モバＰ,あ、あの……ほっぺ痛いかなぁって……
凛,……
モバＰ,りんもはんでふねる？
留美・凛,……
モバＰ,いひゃい！いひゃいっ！！
本田未央,それで、プロデューサーの頬赤いんだ
北条加蓮,まあ、それはＰさんが悪いね
モバＰ,えぇ……
佐久間まゆ,Ｐさんは悪くないですよ。彼女でもないのに嫉妬して、ましてや暴力なんて……ちょっと信じられないですねぇ
留美,そう言われると堪えるわね。ごめんねＰ君
凛,……ごめん
モバＰ,いやっ！そんな大袈裟にせんでもっ。全然気にしてませんから！まゆも、な？
まゆ,Ｐさんがそう言うなら……それじゃ、まゆが擦ってあげますねぇ
モバＰ,ぃよっし！学生組はテスト勉強するんだろ？ほら、頑張れ頑張れ
まゆ,あん。つれないですねぇ
加蓮,んじゃ、やろうか。……う～ん
未央,いざやろうと思うと、アレだね。ここの空気、居心地良くてもういいかなぁってなるね
加蓮,ね？ていうことで、Ｐさん遊ぼ？
モバＰ,馬鹿言ってないで、はよせい。凛とまゆはもう始めとるぞ
凛,ねぇ、まゆ。ここなんだけど――
まゆ,それはですねぇ――
加蓮,あの二人、Ｐさん絡んでないと仲良いよね
未央,切り替え早くて、たまに混乱するよね。それじゃ、私達も……早速なんだけど、これどうやるの？
加蓮,ん、わかんない
未央,おう、先輩
菜々,テスト勉強とか懐かしいですねぇ
モバＰ,ナウいＪＫが言うと説得力が違いますね
菜々,……そうですよ？ナウいＪＫですよ？何か言いたい事でも？
モバＰ,え？言っていいんですか？
菜々,駄目ですよぉ～。うわ～ん、ちひろさ～ん。プロデューサーがイジメるんですよぉ～
ちひろ,あぁ、可哀想に。人生の先輩をイジメるとは、許せませんね！
菜々,ウーサミン!っハイ!
ちひろ,あうっ。うさみみビンタでのご指導……ありがとうございます！先輩っ！
菜々,うわ～ん、美優ちゃ～ん。いい歳した二人がぁ～ナナを、ナナを～
美優,えっと……お二人とも菜々さんとじゃれあいたいだけですから……よしよし
留美,ここで悪ノリしないのが美優らしいっていうか
モバＰ,ですね。普通、いい歳した二人がって所に、絶対突っ込み入れますもんね
留美,それはどうかしら……ふふ
菜々,そうですよ！美優ちゃんが普通なんです！留美ちゃん！なんでちょっと笑ってるんですかっもう！
ちひろ,17歳っていう設定で、留美ちゃん美優ちゃんはどうなんでしょう……あら？ＣＤが落ちてますね
モバＰ,あ、すいません。俺のですね
ちひろ,昭和の名曲集？何かの資料ですか？
モバＰ,いえいえ。この前実家帰った時、発見しまして。これ、俺が小さい頃、親父が車でよく流してたんですよ。それで懐かしいなって
ちひろ,へぇ……あ、この曲知ってます。もしも～♪ですよね？菜々さん
菜々,あなたですね。……ナナもお母さんが聞いてたから知ってるんですよ
モバＰ,即座に菜々さんに聞いたちひろさんって生粋ですよね
ちひろ,何がでしょう？？
モバＰ,あ、これは無自覚なんだ。ま、いっか。ていうか、それ！その曲ですよっ
菜々,全然良くないんですけど……この曲がどうかしたんですか？
モバＰ,幼い頃から聞いてた所為なんですかね？将来住むならこんな感じがいいなぁとかガキの頃から漠然と思ってて
菜々,えっと…………大きな窓と～小さなドアーと～♪部屋には古い暖炉があるのよ～♪でしたっけ？
モバＰ,そうそう！久しぶりに聞いて、やっぱいいな～って
留美,……それだけ？
モバＰ,いえ、この前実家帰ったって言いましたけど、祖父母が親父達と一緒に住む事になったんですよ。それで元々住んでた家は取り壊すことになって
ちひろ,それで、プロデューサーさんに土地を譲って、後はお前の好きにしな～みたいな展開ですか？
モバＰ,……こういうお金が絡んでくることには察しがいいですね。概ねその通りです。手続きやら、税金のことやらで面倒でしたね
ちひろ,え！？適当に言ったのに、びっくりですよ。それじゃ、まさか……
モバＰ,はいっ！懐メロが切っ掛けと言うのもなんですが……土地とか俺には持て余すし、この際家建てちゃおっかなって
アイドル達,！？
ちひろ,幸せにしてくださいね？
モバＰ,は？
ちひろ,一戸建てを買えるほどの年収ではあるということですよね？一千万はあるのかな？ローンの組み方は？あ、土地はもうあるんだから……
モバＰ,ほんとゲスいですね。冗談にしては必死さが垣間見えてますよ
ちひろ,プロデューサーさん……菜々さんの設定をお笑い視点で、イジッたりもしましたが
菜々,ちょっ！？お笑い！？？
ちひろ,私だって結婚を意識しなきゃヤバイくらいの歳なんですよ！そんな私の前で一戸建ての購入の話をされたら、それはもうプロポーズと捉えてもおかしくないでしょーが！？
モバＰ,おかしいでしょーよ。美優さん、癒しパワーであの黄緑の人を落ち着かせ
美優,おかしくないですよ？
モバＰ,おほぉ……留美さ
留美,おかしくないわね
モバＰ,ふわぁ……こっちも食い気味で…………あ、あー！レッスンの時間だぁ！！菜々さん、行きましょうっ！！ルキちゃんが僕達を待ってる！
菜々,ほあっ！？ちょっ待っ！引っ張らないでっ！こけ、こけるっ！ふぎゅっ
モバＰ,あ、すいません……ナイスパンツ！
菜々,ひょあ！
モバＰ,……お先
菜々,なぁ！？何逃げてるんですかぁ！いろいろ責任とって貰いますからねぇ！！
アイドル達,……
モバＰ,疲れたぁ～幸子～つかれたよ～
輿水幸子,ちょっ！圧し掛からないでくださいっ！お～も～い～！
モバＰ,マストレさんのレッスンがあんなにもハードだとは思わなかったんだよ～
幸子,運動不足解消したいとか迂闊に言うから……ふぬっ！もうっ！自分で歩いてください！
モバＰ,なんだよ～俺とさっちゃんの仲じゃ～ん
幸子,イラッときますねっ！大体これセクハラですよっ！！
モバＰ,それはイカンね
幸子,あ……
モバＰ,名残惜しそうなさっちゃんカワイイ
幸子,……そんな事あるわけないでしょう！
モバＰ,え？カワイくないの？
幸子,こ、この……
モバＰ,ふはは、ごめんごめん。ほら、入るぞ。……ただいま帰りましたぁ
幸子,まったくもう……お疲れ様です
ちひろ,おかえりなさい……プロデューサーさん、なんとかして下さいね
モバＰ,え？何を……
凛,おかえり。ほら、ハナコもプロデューサーにおかえりって
ハナコ,あんっ！
