千川ちひろ,ゆかりちゃん、大丈夫？
ゆかり,あ、平気です……ちょっと頭をぶつけただけで
ちひろ,気をつけてくださいね
ゆかり,うーん、見つかりませんね……こちら側は一通り見て回ったんですが
ちひろ,私の方も……どこに行ってしまったんでしょう
ゆかり,もう一度探してみましょう。今度は私がそちらを探します
ちひろ,私が見落としたところでも、ゆかりちゃんなら気付くかもしれませんね。じゃあ私はそっちを
遊佐こずえ,おはよぉー……なにしてるのー？
ちひろ,はい、おはようございます
ゆかり,おはよう、こずえちゃん。ちょっと探しものを……
こずえ,ふーん……。ぷろでゅーさーは、どうしたの……？おねんね？
P,ソファーに寝かされている
ゆかり,ええと……ちょっとしたアクシデントで、気を失ってるんです。プロデューサーさんの意識が、この部屋のどこかに落ちてるはずなんですけど
ちひろ,そう……プロデューサーさんを揺すってみると、意識がないので異様に頭が軽いんです。少し前……。つまづいたゆかりちゃんを助けようとして、プロデューサーさんは手を差し出しました。なにもないところで転ぶのはアイドルの推奨特技の一つです。でも同時に私も、ゆかりちゃんを助けようとしていたのです。そして三人はもみくちゃになり、気付いたときには……。プロデューサーさんは、顔をゆかりちゃんのスカートの中に突っ込み。両手は私の胸を鷲掴みにしていました。そんなことあるわけねーだろ、と思う人は今すぐToLOVEるダークネスを買ってきましょう
P,な、なんだ？何が起きたんだ！？真っ暗だ！
ゆかり,きゃっ、くすぐったい……っ！
ちひろ,だ、だめぇ……あんっ。ドタバタしているうちに、プロデューサーさんの顔を二人でお尻の下敷きにしてしまい。プロデューサーさんの意識はどこかにふっ飛んでしまいました
こずえ,わかったー……こずえもさがすぅー。んー……。あったよぉー
ちひろ,Pと書かれた小さなハート……間違いありません、プロデューサーさんの意識です。こずえちゃん、ありがとう
こずえ,えへー
ゆかり,でも、これをどうやって戻せば……？
ちひろ,とりあえず、口から飲み込ませてみましょうか……ホコリが付いてますね。ふーっふーっ。なかなか取れない……ふっ！あっ！！
ゆかり,えっ、どうなりました？
ちひろ,強く吹きすぎてどこかに飛んで行っちゃったかも……
ゆかり,ええっ！？
ちひろ,ん？……あっ、ゆかりちゃん、じっとして！
ゆかり,はい？
ちひろ,……良かった！ゆかりちゃんの胸元に落ちてる！
ゆかり,！？
ちひろ,ああっ、動いたら奥に入り込んで……！
ゆかり,そ、そんなっ！！
ちひろ,どこ？どこに行ったんですか、プロデューサーさん！？
ゆかり,きゃあっ、服の中に手を入れないでぇっ！。ちひろさん、身体をまさぐらないで……あんっ
こずえ,…………ふわぁー
ちひろ,無事確保！
こずえ,やったー
ゆかり,もうお嫁に行けない……くすん
こずえ,こんどは……とばしちゃ、だめだよー
ちひろ,そうですね。ゆかりちゃんの汗付着してる気もしますが、このまま飲み込ませましょう！
ゆかり,言わないでください！
P,うーん……あれ、俺は何をしていたんだ？
ちひろ,えーと、疲れが溜まっていたみたいで……仮眠を取ってましたよ
P,あ、ちひろさん。そうでしたっけ……？。でもたしかに夢を見ていた気はするなぁ。怪獣映画のような……
ゆかり,怪獣映画ですか？
P,そう、オフィス街を怪獣がのしのし歩いて……一体目はビルに頭をぶつけるんだ
ゆかり,え、それって……でもまさか
P,二体目は全身黄緑色で……ちひろさんのジャケットみたいな
ちひろ,……！？あの小ささならたしかに怪獣のように見えなくも……でも、そんなことは……
P,それから三体目に捕まって一体目に食べられて。あれ、食べられたんだっけ？。場面が変わったんだったかな？母の胸に抱かれて
ゆかり,わ、私を母親と錯覚……なんだか恥ずかしい
P,ところで今気付いたんだけど……なんでゆかりは下着姿なの？
ちひろ,さっき脱がせたの忘れてた！
ゆかり,見ないでください！
P,へぶっ！
こずえ,……またとんでったよぉー
