目が覚めたら、周子の顔が頭を過ぎり,好きだ
P,……
ちひろ,プロデューサーさん？どうかしましたか？
P,い、いえ？何も……
ちひろ,じー……
P,……
ちひろ,本当、何にもないですか？何か、悩みとか
P,ええ、まぁ
ちひろ,ならいいんですけど……何か困った事があったらすぐに言ってくださいね？。みんなに心配かけちゃダメですからね
P,……はい
周子,おっはよー
ちひろ,おはようございます
周子,んー？どしたん？
P,好きだ、結婚してくれ
周子,は、へ？
ちひろ,プロデューサーさん？
周子,P、Pさん？どしたん……？
フレデリカ,カキ氷ってさー、シロップの味全部おなじらしーよ？
美嘉,え、マジで？アタシブルーハワイ好きなんだけど
奏,ブルーハワイ味……って冷静に考えると謎よね
志希,作ったげよーか？志希ちゃん特製――
美嘉・フレデリカ・奏,いらない
周子,ぷ、プロデューサー？……なんか、言ってよ……
ちひろさん,じょ、冗談！冗談ですよね、プロデューサーさん！
周子,あ、ああ……そ、そういう……？
P,目の形が好きだ。サラサラの髪が好きだ
周子,は、
P,信頼して無防備な姿を見せてくれるのが、好きだ
周子,へ、
P,白い肌も好きだ。頬擦りしたくなる
周子,ふ、
P,その寝顔を、毎日見ていたいんだ
周子,え、えと
P,周子。大好きだ。一緒に暮らそう
周子,本気、なの？
P,ああ
周子,あたしで、いいの？
P,お前が、いいんだ
周子,……。なら。頷くしか、ないやん。こんなの。よろしくお願いします……できれば末永く、ね？
P,というわけで。ちひろさん
ちひろ,は、はい……？
P,俺たちは、これからのことがあるので
背後で,えんだー？
周子,なんか、テキトーすぎない？
P,嫌いじゃないだろ、そういうの
周子,ま、そーだけどさ
