ヴァリアスハートシリーズです,と言ってどれくらいの人に通じるのか疑問ですが
ありす,おはようございます
梨沙,じゃんけんほい！
心,あいこでしょ！
梨沙,あいこでしょ！
心,しょっ！
梨沙,しょっ！
心,しょっ！
梨沙,しょっ！……やった、勝った！
心,あー、負けちゃった。しょうがないなー
ありす,……何をしているんですか？
梨沙,あ、おはようありす
心,喉渇いたんだけど、二人ともソファーから動きたくなかったから、じゃんけんでどっちが冷蔵庫に飲み物取りに行くか決めてたの☆
ありす,はあ、そうですか。そんなこと決めている間に自分で取りに行った方が早い気がしますが
梨沙,確かに、じゃんけんで決めようとすることを決めるまでに1分以上かかってるわね
心,そーいう細かいことは気にしない♪あんまり考えすぎると疲れるぞ☆マジで☆
梨沙,ま、それもそうね
ありす,でもそれは論理的でないような……
梨沙,論理？
心,だからロンリロンリー切なくてー♪
ありす,そういえば、飛鳥さんの姿が見えませんが
梨沙,今日は風邪で休みだって。さっきプロデューサーが言ってた
ありす,風邪ですか
心,季節の変わり目は体調崩しやすいからねー♪みんなも気をつけるんだぞ☆
梨沙,帰りに寮に寄って様子見とこうかしら
ありす,お見舞いですか
梨沙,ち、違うわよ。様子見るだけ
心,梨沙ちゃん優しい♪
梨沙,だから違うってば！
心,でも、飛鳥ちゃんがいないとなんかあれだなぁ。物足りないっていうか
梨沙,アタシ達3人でユニット組んでから、一緒にいること多かったし。さっきだって、飛鳥がいたらじゃんけんなんてしなくても飲み物取りに行ってくれてただろうし
ありす,やれやれ、と言いながら動いてくれるイメージですね
心,はぁと達のプロデューサーが担当してるアイドルの中だと一番の先輩だから、気が利くっていうか☆
梨沙,プロデューサーも、何かあった時に頼るのはちひろさんか飛鳥だしね。それだけ信頼されてるってことでしょ
ありす,信頼……ですか。私も、Pさんに信頼してもらえてるのかな
心,あ、今自分もプロデューサーに信頼されたーい！とか思った？
ありす,お、思ってません
心,ほんとかなー？表情が恋する乙女だったぞ～☆
ありす,恋なんてしてませんっ
心,素直じゃないなぁ♪うりうりー
ありす,や、ちょっ、頭を撫でないでください！。心さん、私を子ども扱いしてないですか
心,子どもだよ♪私の半分も生きてないんだから☆。キミ達二人が束になっても、はぁとの年齢には届かないのだ☆ハッハッハ！。……はぁ、ほんと無駄に歳食ったなぁ
ありす,自分の言葉で落ちこまないでください。反応に困ります
梨沙,テンションの上がり下がりが激しい人だからしょうがないわよ。あ、そういえば。ありすをからかってたけど、ハートさんのほうはどうなのよ
心,ん？どうってなにが？
梨沙,だから、プロデューサーのこと好きなのかってこと
ありす,確か、二人の出会いはお見合いの場でしたね
梨沙,その時の感想は？
心,感想？そうだなぁ……パッと見た印象的には、普通にアリだと思ったかな。顔はそこそこいいし、雰囲気もなんか優しそうだったし♪
梨沙,おおー
ありす,ら、ライバル……？いえ、そもそもライバルってなんですか。仮に心さんがPさんのことを好きでもそれで私のライバルになるって意味がわかりません何考えてるんですか私
心,でもねー、あの人お見合いの席でアイドルの話ばっかりしてね。アイドルが好きなのか仕事が好きなのか知らないけど、どっちみち恋愛する余裕はないんじゃないかなって思ったの
P,それで、結局俺の方から断りを入れたんでしたね
心,そうそう……ってあれ？プロデューサーいつの間に？
P,たった今来たところです
ありす,Pさん。飛鳥さんの体調は……
P,さっき寮まで行ってきた。熱はあるみたいだけど、そこまでしんどそうではなかったな
梨沙,大丈夫なの？飛鳥のことだから、カッコつけて平気なフリしてるだけかもしれないわよ
P,俺は飛鳥の強がりは見抜けるから
心,わお、頼もしい☆
P,付き合い長いしな
ありす,………。Pさん
P,ん？
ありす,参考までに聞きますが、飛鳥さん以外の方の強がりとかは、見抜けるのでしょうか。……たとえば、私とか
P,そうだな……まあ、だいたいはわかると思うぞ
ありす,そ、そうですか。勝手にわかったつもりになられても困りますが、まあいいです
梨沙,よかったわね、ありす
心,ちゃーんと自分のこと理解してもらえてて♪
ありす,べつにうれしくなんてないですから！
P,さて。それじゃみんな、そろそろ雑談は終わりだぞ
心,あ、おしゃべりしてたらもうこんな時間かー
ありす,行きましょう、Pさん。私を現場まで送ってくれる予定でしたよね
P,うん、そうだな。じゃあ、梨沙と心さんはしっかり頼む
梨沙,しょうがないわね。今日はアタシが飛鳥のぶんまで頑張ってあげるわ
ありす,Pさん
P,なんだ？
ありす,………。なんでもありません。呼んでみただけです
P,はは、なんだそりゃ
ありす,私なりのジョークです。……今は、このままがいいと思うので
飛鳥,………。久しぶりに教育テレビを見ると、無性に懐かしくなるな……。ピタゴラスイッチ、まだ続いているんだね……っくしゅん。……Pに言われた通り、おとなしく寝ていよう
