モバP,あー…しんど…もう帰りたい…
ちひろ,あれ、珍しいですね、疲れ知らずのプロデューサーさんがそんなこと言うなんて
P,いや、俺だって普通に疲れますよ、特に最近はイベント多かったし
ちひろ,ついにエナドリ買いますか！？
P,いやそれは遠慮しときます、…というか体というよりは精神的なものなので
ちひろ,ゴミ無課金野郎が
P,えっ
ちひろ,精神的ですかぁ、でもあれだけ仕事して精神的だけって、流石ですね
P,…え、えぇまぁ体力だけは俺の自慢ですし、でも女の子達を相手にするので気を遣うのが大変で大変で。…聞き間違ったかな？
ちひろ,まぁ皆お年頃ですし、うちの子達は特に個性的ですしね
P,いい子達なんですけどね
ちひろ,あ、そういえば新しい試作ドリンクを作ってみたんですがもしかしたらそれが役に立つかもしれませんよ！
P,…まーた怪しい製品ですか
ちひろ,まぁまぁそんなこと言わずに、…あ、あったあった、これです！これ！
P,い、色真っ青ですね、絶対ヤバイ奴ですねそれ
ちひろ,これを飲めば遠慮なんか全くしなくなりますよ！無料で良いんで飲んで見てください！…実際どんな影響が出るかみてみたいですしね…
P,ちょっ、それって人体実験っていうガボガボボガボ
杏,うー…なんでプロデューサー迎えに来ないんだ…。せっかく杏が働いてやるってのにこの待遇の悪さ、こうなったら飴をくれるだけじゃすまさんぞー。プロデューサーに十連休くらいもらえるように文句言ってやる、くひひ。疲れたー、おーい杏が来てやった…ぞ…
P,空を！空を自由に飛ぶんや！俺は翼を持ってるんや！
ちひろ,プ、プロデューサーさん！ここ八階ですから！落ちたら死にますから！
杏,………。扉開いたら窓に乗り上げた上半身裸のプロデューサーがいた。…まぁ、昨日ゲームやりすぎちゃったから疲れたのかも、さすがに杏もちょっと反省しようかなー…。…。…
P,これが、ヴィーナス…そう、重要なヴィーナス！
ちひろ,ヤバイなんか理性崩壊してるっぽい。ど、どうしよう、どうしようこれ
杏,。な、なんなんだこれ、何が起こってるのさ
ちひろ,杏ちゃん！
杏,ち、ちひろさん！
ちひろ,プロデューサーは今、その、ちょっと理性が崩壊しちゃってるの！だからその…
杏,り、理性が崩壊？、なんで？
ちひろ,そ、その…。…とりあえず頑張ってね？
杏,ちょ、ちひろ！、にっ逃げるなー！
P,あああああああああんずううううううううう！！
杏,ひゃっ
P,無視とはいい度胸だなぁ杏、ペロペロだけじゃなくモフモフやハムハムもされたいのか？
杏,やっ、な、なんで杏がペロペロされないといけないのさ、杏は飴を舐めるのは好きでも舐められるのは御免だー！
P,…この俺の腹斜筋を見てもまだそんなことが言えるとはなぁ
杏,こわい、何が怖いって全然お腹だるんだるんなのに自信満々なのが怖い
P,…ペロペロ、飴十袋でどうだ？
杏,えっ
P,…二十でもいいぞ？、ただしモフモフもさせてもらうが
杏,…………あっ、杏は買収なんかされないもんね
P,…ほう？
杏,杏をペロペロしたければそうだな、一生ニートで暮らせるような生活をよこせ！働かせるな！
P,…そうかそうか、ならば
杏,ひっ
P,ふふふそう怯えるなよ杏…
杏,パンツ一丁が太極拳のポーズで間合い詰めてきたら怯えるわっ
P,隙ありじゃおらああああ
杏,わあああああああ……あ？
P,…
杏,…。なにしてるのさ、杏は抱き枕じゃないぞー…
P,…
杏,な、なんなのもう…
P,…なぁ、杏、やっぱりお前はアイドル、嫌か？
杏,？、急になにさ
P,俺は、ずっと部屋に引きこもってたお前を無理やり引っ張ってアイドルにした。最低だよ、お前ならトップを目指せる、その一心だけでお前の意思なんか尊重しないまま、アイドルへの道へ進ませたんだ
杏,…別に杏がアイドルやるのはプロデューサーのせいじゃないよ、杏が将来印税生活を送るためだし
P,…本当にそうなのか？
杏,…
P,お前は凄く多彩な能力をもってる、わざわざアイドルなんて過酷な道を選ばずとも引きこもり生活はできただろう？
杏,プロデューサーの自意識過剰だよ、杏はそんな器用じゃない
P,………
杏,………。……プロデューサーは杏がアイドルやるの嬉しいんでしょ？
P,！、もちろん、もちろんそうだ！だけどそれがおまえの負担になるなら俺は…！
杏,ならないよ
P,！
杏,杏は面倒くさいの嫌いだけど…プロデューサーとなら…プロデューサーだから、少しくらい頑張るの我慢してもいいかなって思ったんだよ。だからさ、そんな面倒くさいことで悩んでないで早いとこ杏をトップアイドルにしてよ。杏もそんなに……そんなにアイドル、嫌いじゃないから…
P,…杏っ！
杏,ぐえっ、ちょっ、プロデューサー、絞まってる！絞まってるってば！
P,っと、す、すまん…
杏,ったく勘弁してよ、杏はアイドルなんだよ？大切な商品なんだから
P,……なーにが大切な商品だ
杏,ちがうの？
P,…くく、はははっ
杏,そこで笑うのは失礼じゃないかなー
P,すまんすまん、そうだな、杏はとても大切だ、俺にとって凄く大切な人だよ
杏,…恥ずかしいなーもう
P,ん？
杏,…杏を、そう、杏をトップアイドルにしてくれたら、プロデューサーになら、杏を…ペロペロしてもいいよ
P,ほっ、本当かっ！
杏,トップアイドルにしてくれたらね、あっ、でもあれだ、だからといってレッスン増やしたりしたら絶対だめだ、ペロペロさせないぞ、絶対に絶対にだっ！
P,なん…だと…せっかく今から特訓に特訓を重ねてすぐにでも杏をペロペロしようと思ったのに…
杏,くひひっ、そうだなー、杏を今すぐペロペロしたければ、自分の肘を顎につけることができたらいいよ
P,ほ、本当か！？
杏,うんうん、つけることができたらねー
P,よっよしっ！ふん、うおおおっおあああああああ！
杏,くふふ、まぁつくわけないけどねー
P,うおっ、うおあっ！ずあああああああああっ！
