・みこりんのtwitter,公式企画
野崎,………
千代,………
御子柴,……。……よし、できた。野崎、このページ終わったぞー、次ないか？
野崎,ありがとう、少し待っててくれ、もうすぐ仕上がる
御子柴,おう。さて、原稿も一段落したし……
佐倉,……
御子柴,佐倉はベタに集中してるな……今月ベタ多いから大変そうだ。となると暇だな……。おっと、そういえばそろそろスタミナが溢れる頃か、今のうちに消費しとこう。しまった……！イヤホン外したまま起動しちまった！
佐倉,ん？みこりん、今のなに？
野崎,女子の声が聞こえたな
御子柴,……デ、デレステだよ…///
野崎,デレステ…？何だそれは
御子柴,知らねーの？アイドルマスターシンデレラガールズスターライトステージ、略してデレステ
野崎,アイドル……？
佐倉,シンデレラ…？
御子柴,えーと、今流行ってるスマホのゲームアプリで……
野崎,あー……
佐倉,あー……
御子柴,？
野崎のガラケー,
佐倉のガラケー,
御子柴,。そうか……スマホゲーとか言う前に、こいつらまだガラケーなんだった……
野崎,それで、そのデレステというのはどういうものなんだ？
御子柴,おっ…き、興味あるのか…？
野崎,流行りものはなるべく知っておきたいしな
御子柴,そう思うならスマホ買えよ…。アイドルゲームだけど、いいのか？確かに女子にも人気はあるらしいけど
野崎,ああ、アイドルはいつの時代も女の子の憧れだしな
御子柴,ふーん、佐倉は？
佐倉,いやー私はあんまり……。これで野崎くんの好みのタイプがわかるかも…！？。のっ野崎くんが興味あるなら私も…！
御子柴,コイツ野崎が絡めばマジでなんでもいいんだな
野崎,しかしアイドルものか…描いたことはないが挑戦してみてもいいかもしれん…
御子柴,まぁ口で説明するよりとりあえず見た方が早いだろ。あっまたタイトルから入り直しか…
野崎,こ、この声は！！
御子柴,えっどうした！？
野崎,マミコ！マミコの声じゃないか！？
佐倉,えっマミコ声ついてたっけ！？
野崎,いや俺の想像してるマミコの声
佐倉,あ、そういうイメージあったんだね……
御子柴,この声はウサミンだな、安部菜々さんだ
野崎,ウサミン……覚えておこう。いつか恋しよっがアニメ化することがあれば、マミコはこの人に頼みたいな……
佐倉,野崎くん、こういう感じの声がタイプなのかな…覚えておこう。あ、かわいい女の子だ
野崎,ほう、おっとり系ヒロインか
御子柴,おう、この子が俺の推し、高森藍子ちゃんだ！優しくてお散歩好きなふんわり森ガールだぞ！
佐倉,推し？
御子柴,あー、特に好きな子って意味だ。アイマスに関しては担当って名乗る人が多いかな？
佐倉,ふーん、じゃあこの子がみこりんの好きな子ってことか
御子柴,な、なんか改めてそう言われると照れるな……///
野崎,しかし……意外だな
佐倉,そう？かわいらしくていかにもみこりんが好きそうじゃない？
野崎,いやその、御子柴の持ってるフィギュアと比べると……こう……胸が
御子柴,おいそれ以上は口を慎め
野崎,！？ス、スマン
御子柴,大事なのは内面だから
佐倉,みこりんがいつになく真剣な顔してる……
野崎,怒られた…
佐倉,ん？プロデューサー？
御子柴,おう、このゲームは自分がプロデューサーになってアイドルを育成するゲームなんだ
佐倉,へぇー、この子以外も育てられるの？
御子柴,あぁ、デレステ、というかモバマスでプロデュースできるアイドルは200人近くいる
佐倉,そんなに！？
御子柴,年齢層も9歳から31歳までいるし、誰しもティンと来るアイドルが居るんじゃないかな
野崎,それだけの数のヒロインのキャラを…考え出すだと…？。絶対にキャラ被りが起こるじゃないか！
御子柴,そのへんはまぁ…モバマスはいろいろがんばってると思うぞ
佐倉,ん？モバマスって？
御子柴,えーと、詳しい説明は省くけど、デレステのもとになってるゲームのことだ
佐倉,何か違うの？
御子柴,平たく言うと、キャラは同じだけどゲームのジャンルが違うってカンジかな。モバマスはカードバトルだけど、デレステはジャンル的には音ゲーだな
佐倉,音ゲー…って、太鼓の●人みたいな？
御子柴,まぁ基本はそんな感じだ
佐倉,へー、それなら私も楽しめそう！
御子柴,おう、それにデレステは音ゲー要素以外のところがすごくてな
佐倉,ふーん？
御子柴,うん、とりあえず一曲やってみるぞ。ちょっと見ててくれ
佐倉,あ、後ろに映像が流れるんだね。わ！実写みたい！
野崎,ほう、3Dモデルか、かわいいな
御子柴,だろ！？っあ、Missった
野崎,なるほど、アイドルが歌って踊ってくれるんだな
佐倉,すごいねー、絵がそのまま立体になったみたい
野崎,ダンスも自然な動きだな
御子柴,……
佐倉,みこりん喋らなくなった…
御子柴,……と、まぁこんな感じだ
佐倉,かわいかったー
野崎,かなり完成度が高いな
御子柴,だろ！？デレステの売りはなんといってもこの3Dモデルのクオリティの高さ！。アイドル全員分のモデルが作られてて、それぞれちゃんとかわいいってのが凄いよな！
野崎,急にテンション上がったな。しかし、こんなものができる、アプリはすごいなぁ
佐倉,やっぱりアプリって便利なんだねー
御子柴,こいつら未だにアプリがどういうものかわかってねぇよな…
佐倉,ところで、この藍子ちゃん？だけ衣装が違うんだね
野崎,ひまわりをあしらった、かわいらしい衣装だな
御子柴,そうなんだよ…これがデレステの最大の魅力であり、最大の鬼門でもある
佐倉,？
御子柴,えーと、デレステはガシャでアイドルを手に入れるんだけど、SSRっていう最高レアのアイドルには、こんなふうにそのアイドル個別の衣装が付いてくるんだ
佐倉,えっそれぞれ別なの！？
御子柴,ああ、だからSSRの衣装はそれぞれキャラの個性が出ててすげーかわいい
野崎,衣装デザインもしなくちゃいけないのか……大変そうだ
御子柴,ちなみに持ってるSSRはプロデュースノートでも衣装を確認できるぞ
佐倉,わー、こうして見るとすごい細かく作ってあるね
野崎,360度から見れて、人体モデルにいいなぁ…好きにポージングさせたりできないのか？
御子柴,そういうのは運営に言ってくれ
佐倉,ねぇ、他の子の衣装はどんな感じなの？
御子柴,見せてやりたいんだけど…俺の事務所のSSRはこの藍子ちゃんだけで…
野崎,手に入りにくいのか
御子柴,ああ、これがデレステの怖いところなんだけど。プラチナガチャで最高レアのSSRが出てくる確率は1.5%
佐倉,1.5%…
御子柴,しかもその中でもいろんな子が出てくる可能性があるから、お目当てのアイドルを手に入れようとするとさらに確率は下がる
野崎,おお…
御子柴,下手するとお目当てのSSRを引くために何十万円も溶かす人も居るらしい
佐倉,えぇ！？そんなに！？
御子柴,とはいえ、たまに販売されるスカウトチケットを買えば好きな子のSSRをお迎えできるし、ノーマル衣装もかわいいから充分楽しめるぞ。まぁどうせ俺はまだそんなに課金できないけど…楽しくデレステをやるには、ガシャはほどほどに、の意識が重要だな
何十万で済めば良いですね……,遠い目
御子柴,他にもいろいろ機能はあるけど、ひとまずメインはこんな感じだ
野崎,なるほど、わかった
御子柴,せっかくだからやってみるか？簡単な難易度のやつもあるぞ
佐倉,あ、じゃあ私、やってみていい？
御子柴,おう、いいぞ
佐倉,わーい！
御子柴,佐倉はトロいし、DEBUTからがいいかな……
佐倉,っとと……お、意外と…？。できた！できたよー！
御子柴,おー、できるじゃねーか
佐倉,うん、意外とできるかも！
御子柴,んじゃこの調子で次REGULAR行ってみるか
佐倉,私、もしかして向いてるかも…！？。…って、うえっ、えっ！？わー！。譜面が追いきれない！。む、向いてないのかな……
御子柴,まぁ、デレステは慣れたら誰でも上手くなっていくから…。野崎もやってみるか？
野崎,手先の器用さには自信があるぞ
御子柴,じゃあしょっぱなからPROぐらいでやってみるか
野崎,……
御子柴,おっけっこういい感じ……か？
佐倉,真剣な野崎くん…かっこいい…
野崎,おっ、ここは指をスライドさせるんだったな…。あっ…。くっ…！
御子柴,フリックでスマホが飛んでいくのは置きプレイあるあるだな
佐倉,悔しがってる野崎くんもかっこいい…。あんまりうまくはできなかったけど、面白かった！
野崎,音ゲーとしてもなかなか楽しそうだな
御子柴,だろ？
佐倉,みこりんは難しいのもクリアできるの？
御子柴,まだ練習中だけどな！MASTARもいくつかクリアしてるぞ！
佐倉,へー、すごい！
御子柴,へへっ。といっても、クリアできたのはおねシンととどドルと、あとジュエルを使って無理矢理クリアしたお散歩カメラだけだけど……。MASTARをクリアするとMVが観られるようになるから、見せてやるよ
佐倉,見る見るー！
野崎,俺はウサミンさんとやらが見てみたいな
佐倉,おーねがいー、しーんでれらー♪。昨日あのあと何回もMVを見せてもらったから、なんだか頭に残ってるなぁ
瀬尾,ん？千代、なんだその歌
佐倉,あっ結月、かくかくしかじかでね、デレステっていうゲームの曲だよ
瀬尾,デレステ…？ああ、中居さんがCMやってるあの
佐倉,なんで中居くんにさん付けなんだろ…
瀬尾,デレステかー、おもしれーの？
佐倉,うーん、結月には合わないかもね……。結月、細かい作業とか向かなさそうだし……。あっでも、デレステの曲って、いい曲がけっこうあるみたいだよ
瀬尾,ふーん？
佐倉,曲調もいろんなのがあるらしいから、歌ってみるのもいいかもね
瀬尾,へー
佐倉,じゃー私は野崎くんのとこに行ってくるねー
瀬尾,おー。デレステなぁ…検索してみるか…。たしかにいろいろあるみてーだな…。おっ…このつぼみってやつ、合唱でも歌えそうだな…。ちいさなーひかーりをー～♪
通りがかりの若松,
モブ,若松！？大丈夫かー！？
若松,Zzz…
モブ,ね、寝てる…
御子柴,今のうちにスタミナ消費しとかないと……イベント中は忙しいよなぁ
鹿島,あれ？御子柴ー？そんな隅っこでなにやってるの？
御子柴,かっ鹿島！お前こそどうしたんだよ。くそっ、ライブの途中だから手が離せねぇ！
鹿島,昼錬サボってるからさー、堀ちゃん先輩から隠れてるんだよねー
御子柴,いや部活出ろよ
鹿島,いやぁ気分が乗らなくて…あっ、イヤホンして音楽聞いてたの？なになに
御子柴,あっ待て！ちょっと…！。あとちょっとで終わるのに…！。
鹿島,ごめんごめん、ゲームしてたんだね
御子柴,まぁ別に鹿島にならバレてもいーけどよ。二日続けてやらかすとは……
鹿島,何のゲームしてたの？
御子柴,かくかくしかじか
鹿島,へー、これがデレステかぁ、聞いたことはあったけど、やったことはないなぁ
御子柴,ん？待てよ……。鹿島には一年のときに散々勝負を挑んで、ことごとく惨敗してたけど……。デレステでなら俺も勝てるかもしれない……！？。鹿島！勝負だ！
鹿島,おっ久々だねぇ、いいよー！。落ちてくるのを押したらいいの？
御子柴,おう、簡単だろ？。できるもんならな…！
鹿島,ほっほっよいっと。わー、結構忙しい！
御子柴,なん…だと！？回復なしでオバロを入れた編成にしてるのに…！？しかも親指プレイで…！？
鹿島,あちゃー、全部はできなかったよ、なかなか難しいねー！
御子柴,……
鹿島,ん？どうしたの？次、御子柴やらないの？
御子柴,……今日はやめとく。でも正直あんずのうたのMV解放してくれて助かった…
鹿島,それにしても、アイドルかぁ
御子柴,悪いかよ
鹿島,いや、御子柴がやってるのは別にいいけどさー。堀ちゃん先輩って、アイドルとかも興味あるのかなぁ…自分がなりたい的な意味で。ねぇ、この中に男の子アイドルとかいないの？
御子柴,え？うーん、なつきちとかあいさんとかはかっこいいキャラだけど、お前みたいに完全に男に見えるアイドルまではいないかなぁ。胸あるし
鹿島,いやそうじゃなくて、女の子に見える男のアイドルとか
御子柴,それはSideMか876の管轄だから
堀,鹿島のヤツ、また練習サボってどこ行ってんだ…？ん、あっちにそれっぽいのが……
鹿島,あっ、堀先輩だ！隠れて！
御子柴,えぇ！？っておい待てスマホが…！
鹿島,いーから！
堀,あれ、このへんに鹿島が見えた気がしたんだが…
鹿島,ふぅ、なんとか見つからずにすんだ
御子柴,スマホ落としちゃったじゃねぇか
スマホ,……
堀,……ん？スマホ？忘れ物か？誰のだ
御子柴,おい、堀先輩が俺のスマホ触ってるぞ！？
鹿島,先輩、デレステ見てどういう反応するのかな…
堀,あ、触ったら画面ついた
御子柴,といっても堀先輩はああいうの興味ないだろ…
