結城晴,おはよー…ふわぁ～…
神谷奈緒,おーおはよー晴
姫川友紀,おっはよーう！晴ちゃん！眠そうだねー
荒木比奈,おはようっす、もう朝ご飯できてますよ
友紀,晴ちゃーん！ご飯食べたらキャッチボールしようよー！
晴,えーサッカーやりたいんだけど…
友紀,この前はアタシが折れてサッカーしたから今日はキャッチボール！
晴,しょうがねぇな～…友紀にオレの全力を捕れるかな～？
友紀,おっ言ったな～！まだまだ晴ちゃんには負けないよ～！
晴,なあ奈緒―、もう疲れたんだけど…
奈緒,もうちょっと！もうちょっとだけ！
晴,なんでオレがこんなヒラヒラな服を着なきゃいけないんだよ
奈緒,買ったは良いけどアタシじゃサイズが合わなくてさー。いやー！晴はこういう可愛い服も似合うなー！
晴,オレと奈緒とじゃサイズが違いすぎるだろ！最初からオレに着せる予定で買ったな！
奈緒,
比奈,晴ちゃーん！夕飯の前にお風呂掃除お願いっす
晴,さっき洗っちゃたよー
比奈,おっ流石晴ちゃんですねー、ついでにお箸とか並べてもらえます？
晴,はーい、あっ今日のオカズなんだ？
比奈,今日はハンバーグっすよ
晴,！！やったー！ラッキー！！。
奈緒,晴、寝ちゃったなー、まあもう10時だし仕方ないか
友紀,今日のキャッチボールでもカーブ投げれるようになるんだーって張り切ってたしねー
比奈,ほーら、晴ちゃんコタツで寝てると風邪ひくっすよ
晴,んん～…抱っこ…
比奈,晴ちゃんは眠いと甘えんぼさんっすね～
晴,えっパーティーあんの！？。美味しいもの食える！？。オレも行きたい！美味しいもの食べたい！
比奈,ん～それがっすね～…
友紀,残念だけど、参加できるのは高校生からなんだよね
奈緒,だから晴は連れて行けないんだ、ごめんな
晴,えーー…。比奈たちだけズルいぞー！
比奈,晴ちゃんを一人置いていくのは申し訳ないですけど、パーティーの主催者が仕事先の偉い人で…
友紀,どうしても行かなきゃいけないんだよねー、ごめんよー晴ちゃん
奈緒,今度、晴の欲しいもの買ってあげるから！ね？
晴,。そ、それじゃあ仕方ねえな～…
比奈,なるべく早く帰ってきますからねー！
友紀,寂しかったらアタシのねこっぴー抱きしめてもいいからね
奈緒,いい子で留守番しててなー
晴,いってらっしゃーい！別に寂しくなんかないからなー！。とは言っても…。暇だなー…。宿題も終わっちまったし…。…あいつら早く帰ってこないかなー。…ん？何か聞こえる…？
ウサミン,じゃーん！歌って踊れる声優アイドル、ナナの登場ですよー！キャハッ☆
晴,おっおう…
ウサミン,ちょっと！引かないでくださいよ！。んんっ！まあいいでしょう、普段一緒にいる人たちがいなくて寂しがってる晴ちゃんに魔法をかけてあげましょう！。ウサミンパワーでメルヘンチェーンジッ！
晴,えっ！？梨沙！？
梨沙,あれっ晴じゃない！っていうかここどこよ！アタシ家でパパの帰りを待ってたんだけど！？
ウサミン,ふっふっふ、梨沙ちゃんも寂しそうにしてたのでこっちに呼んできちゃいました。あっ梨沙ちゃんの家には代わりに転送されたウサミンロボが留守番しているので心配しなくて大丈夫ですよ
晴・梨沙,いや！そういうことじゃなくて！！
ウサミン,それじゃあナナは戻りますね！ごっゆくり～
晴・梨沙,
晴,…まっ悩んでてもあれだし、遊ぼうぜ！
梨沙,えー…なんでアンタそんなに順応できてるのよ、アタシまだ脳が追いついてないんだけど
ウサミン,あっ梨沙ちゃんは帰りたいって思ったら直ぐに梨沙ちゃんの家に戻れますので安心してくださいね
晴,…なんていうか自由だな、あの人
梨沙,アタシ、ちゃんと考えようとしてたのがバカらしくなったわ…
友紀,ただいまー！晴ちゃん寂しかったー！？
晴,おっ友紀もう帰ってきたのか
梨沙,友紀さんお帰りなさーい！あと、おじゃましてまーす！
友紀,あれ！？梨沙ちゃん！？なんで家にいるの！？
梨沙,いやー…それが
晴,よくわからないけど…ウサミンパワー？
友紀,どういうこと！？
梨沙,んっ？。あっパパからもう帰るってメールが来たから、アタシ戻るね
晴,ん、そうか。悪かったな、急に暇つぶしに付き合ってもらって
梨沙,いーのいーの、アタシも楽しかったし。それじゃ、おじゃましましたー
友紀,…えっ！？えっ！？梨沙ちゃん消えちゃったんだけど！？なに！？
晴,えーっと…ウサミンパワー？
友紀,何それ怖い
比奈,ただいまーっす、晴ちゃんいい子にしてましたー？
奈緒,ただいまー、友紀さん急ぎすぎだよー
比奈,友紀ちゃんったら、晴ちゃんが寂しがってるかもしれない！って一人で走って行っちゃったんすよ
晴,へー
友紀,なっ何さその顔は！晴ちゃんだってアタシが早く帰って来て嬉しかったでしょー！寂しかったでしょー！
晴,はんっ梨沙がいたから別に寂しくなかったもんな
比奈,え、梨沙ちゃん来てたんすか？
晴,このボールがいい！
奈緒,高っ！なにサッカーボールってこんな高いの！？アニメのボックス買えんじゃんか！
晴,欲しいの買ってくれるって言ったじゃんかー
奈緒,ぐぬぬ…！。まあ、いつもコスプレさせてもらってるし仕方ねーか…
晴,やったー！さすが奈緒…ってやっぱりコスプレだったのかアレ！
梨沙,やっほー！遊びに来たわよー
ウサミンロボ,うさうさうさー
晴,おっ来たな！それじゃ行ってくる
友紀,いってらっしゃーい
奈緒,気をつけてなー
比奈,夕飯までには戻ってくるんですよー
晴,はーい！いってきーす！
