私の名前は涼風青葉。19歳。ゲーム会社,イーグルジャンプ
青葉,
コウ,今日も青葉は真面目に集中して取り組んでるな！感心、感心！！
青葉,
葉月,おっ、やってるやってる♪流石は涼風くん…見てるこっちまで一生懸命さがしっかりと伝わってくるよ♪♪
青葉,おっ！？さて、そろそろ…
コウ,青葉ー、休憩か？
青葉,はい！すみませんが、休憩入らせて貰います！
コウ,いいよ。しっかりと休んだらまたいつものように元気で真面目に集中して取り組んでくれよ？
青葉,はい♪
デビル青葉,デビル青葉…降臨～っ♪♪ふふふふっ、私の出番…私の時間が来ましたっ♪。さて、さっそく、いつもの場所へ…
りん,……
デビル青葉,遠山さん、お待たせしてすみませんね
りん,あ、青葉ちゃん……よね？
デビル青葉,何回言わせる気なんですかぁっ？私はデビル青葉…涼風青葉とは違う存在なんですよ♪
りん,そう……なの
デビル青葉,さて遠山さん、休憩中いくらぐらい私の銀行口座に振り込んでくれましたかな？
りん,……100万
デビル青葉,はい？よぉーく、聞こえませんよぉ～。もっと大きな声でお願いします♪
りん,100万よ！
デビル青葉,ふふふっ、ありがとうございます♪いやあ、流石に新作ゲームのプロデューサーとなれば前回の50万はおろか、今回の100万だって簡単に振り込んでもらえるでしょうからねぇ～。
りん,くっ……
デビル青葉,悔しいですか、悔しいですよね？私にあれを目撃されたせいで弱味を握られてる自分が、それに屈して強請りに応じる自分が腹立たしいですよね～♪
りん,これはコウちゃんがいつも履いているズボン！まったく…脱ぎ捨てておくなんて、だらしがないわよ………でも、ちょっと…だけっ///。あぁ～…//////コウちゃんの………匂いがっ///。ついでに匂いをオ○ズに……あ、あぁ…あぁぁぁぁぁーーーーーっ//////。！？っ/////
デビル青葉,ふふふふっ♪♪
りん,あ、青葉…ちゃん…………
デビル青葉,違いますよぉ～、私はデビル青葉！涼風青葉とは別人なんですよ。さて、遠山さん、今の様子をおさめた写真……バラされたくありませんよね？
りん,あ、あぁ……
デビル青葉,まさか、あの完璧で、皆からは頼れる存在。しかも最近プロデューサーに抜擢されたばかりの遠山さんがこんなえっちぃ事をしたなんて…八神さん、いや八神さんはおろかひふみ先輩や葉月さん、他の皆さんも知ったらどう思うんでしょうかねぇ～♪
りん,あ、あああ…あああぁぁ、ああああぁぁぁ…………
デビル青葉,ちなみに匂いをかいでいた所やその後のシーン、実はさっきの写真と一緒に動画としても撮影してましてね…。もし、写真とセットでバラしたらもっと面白くなるかなー♪
りん,あ、青葉……ちゃん…。お、お願い……それ、だけは………
デビル青葉,じゃあ、私のお願いを聞いてくれるのなら、私と遠山さんだけの秘密という事にしておきましょう
りん,お願い……
デビル青葉,えぇ。それはですね……口止め料、ですよ！
りん,！？
デビル青葉,では、遠山さん。翌月は更に倍でお願いしますね♪
りん,………
青葉,今日は私が奢りますので、皆さん遠慮しないで食べてください♪
はじめ,後輩に奢ってもらうなんて初めてだな！
ゆん,青葉ちゃん、ホンマにええの？
青葉,はい！たまには後輩から奢らせてください！
ひふみ,青葉ちゃん……気前が良いねっ///
ねね,あおっちー、本当にいいの…ごちそうになっちゃって？
青葉,いいんだよ、ねねっち♪たまには私から奢らせて！
ねね,じゃあ、これを！
青葉,いや、ねねっち。これよりもこっちを頼んだら？
ねね,なっ！？あおっちー、それ一番高いよっ？！
青葉,大丈夫、大丈夫♪今月の給料、けっこう入ったからさ！。皆さんの分のお昼、買ってきましたのでどうぞ！
コウ,えぇっ、これ全部、青葉のおごりっ！？
はじめ,私達の分までなんて…やけに羽振りがいいね
コウ,青葉ー、お前ってそんなに給料高くないだろ？どうしてこんなに買えるんだよ？
青葉,内緒です♪
ひふみ,あっ、あれは…青葉ちゃんの……私物っ////。最近…青葉ちゃんますます……可愛くなってきた…から、宗次郎を撫でる時…みたく…おもいっきり…撫でてみたい…。けど、中々その機会が…ない……。だから、青葉ちゃんや他の皆が…いない時だけ…青葉ちゃんの私物……を青葉ちゃんだと思って…撫でているっ////。ふぇっ！？///
デビル青葉,ふふふっ、ひふみ先輩、何をしているんですか？
ひふみ,あ、青葉……ちゃんっ！？/////
デビル青葉,違います。私はデビル青葉です♪
ひふみ,デ…デビル…？どう…しようっ！？青葉ちゃんが……意地悪にっ？！
デビル青葉,私の私物を勝手に拝借した上にそれを撫でるなんて正気じゃないですね？それに撫でた時に笑うなんて、もしかして本性は変態なんですか？♪
ひふみ,ち、ちがっ////
デビル青葉,今の……写真に取ってますし、もちろん動画も撮影してありますので、どうしましょうかね～♪
ひふみ,あ、あぁ……
デビル青葉,これ皆さんにバラしたらどうなりますでしょうか？もしかしたら、変態なんて呼ばれて好奇の目に晒されるのかな～？
ひふみ,あ、青葉ちゃん。お、お願い……バラさない…で…。これで…どうにかっ///
デビル青葉,一万円ですか？こんなはした金額では満足できませんね～。
ひふみ,じ、じゃあ……いくら…なら……大丈夫…なの……？
デビル青葉,そうですねぇ…では50万で！
ひふみ,50万っ…？！
デビル青葉,秘密にするんですから、それくらいは支払って頂かないと♪
ひふみ,……わ、分かった……
デビル青葉,あっ、それと50万は私の銀行口座に振り込んでおいて下さいね！今から口座番号などをお教えしますので♪
ひふみ,うぅ……
デビル青葉,ふふふっ、遠山さんに続いてひふみ先輩の弱味を握りました♪これで……ふふふふふっ！。と思ったんですが、まだまだ足りませんね♪最低、あと一人は……
紅葉,よろしくお願いします…
はじめ,よろしくね、ももちゃん♪
ゆん,ウチは飯島ゆん言いますねん。よろしゅうな！
紅葉,はい……
青葉,よろしくね♪
紅葉,…………涼風青葉っーー！！！！！
青葉,？
コウ,紅葉だっけ？インターンでうちに来てるって事だから期待してるよ！
紅葉,わぁ……/////はい、頑張りますっ♪♪
はじめ,八神さんに声を掛けられた途端、急に元気になったねっ！？
紅葉,八神さんから期待されちゃった♪。初日は緊張したなぁ。さて、そろそろ帰る……んっ？。こ、これは…八神さんのズボンッ！？なぜこんな所に？！。でも……ゴクリッ♪。だ、ダメだ！！でも、やっぱりちょっとだけ……///。はぁ～～～//////。っ！？
デビル青葉,ふふふっ……♪♪♪
