青葉の母,青葉～、休みだからっていつまでも寝てないのっ！！早く起きなさーーい！
青葉,はーーーい！。ふわああ～、眠いなぁ…。昨日、遅くまで仕事だったからなぁ……おっとっ！？。あっ………きゃあああぁぁぁっっっっっーーーーーー！！？？。おはようございます……
ゆん,おはよう、青葉ちゃっ！？
はじめ,おはｙっ！？
ひふみ,えっ！？
青葉,はははっ、やっぱり驚かれましたか？
ゆん,驚くよ、青葉ちゃん！！一体、その左腕はどないしたんや！？
はじめ,包帯だらけだけど？
青葉,実は昨日の朝、階段が落ちて左腕を骨折しまして……
ひふみ,えぇっ！？大丈夫…だった……の？
青葉,はい。すぐに病院に行って包帯をしてもらいましたので！でも、全治一ヶ月なので、一か月間はこのままの状態で。
はじめ,そっかぁ。大変だね、青葉ちゃん
青葉,えぇ。ですが、幸い利き腕は大丈夫ですので、いつも通りに仕事は出来ます！
ゆん,それ聞いたら安心したわ
ひふみ,大変だけど…頑張って
青葉,ありがとうございます！。でも、いつも両手だから、いざ片手だけとなると大変……
コウ,よぉっ、青葉！
青葉,あっ、八神さん！
コウ,聞いたぞ、左腕…骨折したんだってな？
青葉,はい…。すみません。こんな忙しい時に…
コウ,別にいいって！それに仕事に支障が出なければ尚良し！！
青葉,ありがとうございます…
コウ,いいって事よ！じゃあ、頑張れよ
青葉,はいっ！。八神さん、わざわざ心配して声を……。よし、それなら八神さんの為にも頑張らないと！！。ここは、確か……
りん,青葉ちゃん……
青葉,あっ、遠山さんっ！
りん,聞いたわ……骨折したんですって？
青葉,はい。左腕を…
りん,大変ね。仕事してても大丈夫？
青葉,幸い利き腕ではないので、何とか！
りん,そう。何かあったり、仕事に支障が出そうなら言ってね？
青葉,すみません。ご迷惑をおかけしまして
りん,いいのよ。青葉ちゃんは普段から頑張っているものね♪
青葉,っ///
りん,それじゃあ、頑張ってね♪
青葉,はいっ！。遠山さんも心配して声を掛けてくれました……。これは八神さんだけでなく遠山さんの為にも頑張らないと！。………
ひふみ,あ、青葉ちゃん……
青葉,……
ひふみ,青葉ちゃん……
青葉,……
ひふみ,青葉ちゃん！っ////
青葉,わぁっ！？って、あれ、ひふみ先輩？
ひふみ,青葉ちゃん……やっと…反応して…くれた
青葉,あっ、すみません。さっきから呼んでましたか？
ひふみ,うん…
青葉,本当にすみませんっ！？それでなんでしょうか？
ひふみ,お昼になる…けど、一緒に…どうかな…って……思って///
青葉,あっ、もうそんな時間ですか！？
ひふみ,うん…///
青葉,はい！ご一緒させて頂きます！
ひふみ,良かったっ///。仕事は…どう？片手…だけで…大変じゃ……ない？
青葉,えぇ！いつも両手でですので、初めての片手での作業は大変ですけど、一ヶ月はこのままなので慣れないと、と思いまして！
ひふみ,青葉ちゃん…こういう…状況でも…真面目…なんだね……。感心…///
うみこ,おや、涼風さんに滝本さんっ！
青葉,あっ、うみこさんっ！
ひふみ,っ///
うみこ,そういえば、涼風さんは骨折なさったとか？大丈夫ですか？
青葉,はい！ですが、皆さんにご迷惑をおかけしましてっ///
うみこ,いいえ、別にご迷惑とかでは。とりあえず、普通に仕事が出来ればいいだけですし、涼風さんも無理はしないで下さいね！
青葉,すみません…。
うみこ,いいえ。では、お大事に！
青葉,ありがとうございます！
ひふみ,うみこさん…普通に…してる…けど、青葉ちゃん…が心配で…声を掛けたんだ…ね……
青葉,美味しい～♪///
ひふみ,うんっ…/////
葉月,おやぁっ、涼風くんじゃないか！それに滝本くんも…珍しいねぇ♪
青葉,あっ、葉月さん！
ひふみ,こ、こんにち…はっ///
葉月,うん、こんにちは♪それにしても滝本くんが食堂にいるなんて珍しいね。いつもは家で済ますとかって聞くがね？
ひふみ,あ、あのっ///
葉月,その様子だと自分から涼風くんを誘ってここに来た、という所だね！けど、それはイイコトだよ♪
ひふみ,ふぇっ！？
葉月,滝本くんの心境に変化が現れ始めたという証拠であって、それは今後の社会生活に良い影響を及ぼしてくれるからね♪
ひふみ,っ/////
葉月,それと涼風くん？
青葉,はい？
葉月,八神や遠山くんから聞いたが、骨折したらしいじゃないか？大丈夫なのかね？
青葉,はい、とりあえずは！
葉月,おぉ～、これは凄いね…。左腕がほぼ包帯でしっかりと……。
青葉,まさか…昨日、階段から落ちて急に骨折するなんて…恥ずかしいですっ///
葉月,なぁに…不注意は誰にだってあるものさ！。それに八神や遠山くんからは利き腕で何とか仕事が出来るから一応は大丈夫だろうって説明があったからね…。とりあえずは良かったよ！
青葉,はい！
葉月,けど、それでも無理だと思ったら遠慮せずに言ってくれたまえ！君は私の可愛い部下だ…無理はさせたくないからね♪
青葉,ありがとうございます！！
ひふみ,青葉ちゃん…こんなに…たくさんの人に…心配されて……本当に恵まれて…良かった…ね……///
はじめ,お疲れ様、青葉ちゃん！怪我の事はお大事に…また明日！
青葉,お疲れ様です、はじめさん！
ゆん,お疲れさん。青葉ちゃん、お大事にや！
青葉,お疲れ様です、ゆんさん！それとありがとうございます。
ひふみ,お疲れ…様っ///
青葉,お疲れ様です！あっ、ひふみ先輩、今日はお昼に誘って頂きありがとうございます！！
ひふみ,えっ、あっ…うんっ///ちゃんと礼儀を忘れない青葉ちゃん、可愛いっ///
青葉,………
コウ,おぅ、青葉。残業か？
青葉,八神さん！もしかして八神さんも？
コウ,まぁな！けど、青葉は帰らなくていいのか？
青葉,私はまだやる事はありますので…
コウ,別に明日またやってもいいんだよ？就業時間は過ぎてるし、それに腕を怪我してるんだから無理はしなくても。
青葉,いいえ。八神さんや遠山さん、うみこさんに葉月さんと私の腕骨折
コウ,かぁ～、相変わらず真面目だねぇ～！！まぁ、そこが青葉の良い所だけどさ…
青葉,はぁ～。それにしてもこの包帯がどうも気になるなぁ…。
ねね,あれ、あおっち？
青葉,あぁっ、ねねっち！？
ねね,奇遇だね～♪こんな遅くなのに、どうしたの？
青葉,私は仕事で遅くなっただけ。ってか、ねねっちはどうしたのさ？
ねね,私は友達と遠くまで遊びに行ってて。今はその帰りだよ～
青葉,そうなんだ！
ねね,ねぇ、あおっち…その腕、まだ痛む？
青葉,まだ痛むって昨日、怪我したばかりだよっ！？でも…少しだけ痛むかな？
ねね,昨日の夜、あおっちとの電話で怪我の事聞いたけど、本当に大変そうだったよね！仕事は大丈夫？
青葉,何とか大丈夫って感じかな。実際、いつも両手を使うから、今日から初めて片手だけで仕事をしてさ…最初は慣れないよ。まぁ、全治一ヶ月でしばらくは片手だけになるから、慣れていかないとダメだけどね！
ねね,あおっちは本当に真面目なんだね～。昔からそう！
青葉,むぅ～、真面目なのがそんなに悪い事っ！？
ねね,うぅん、むしろ良いと思うかな～？あおっちはそのままのあおっちが一番だよ！
青葉,褒めているかは分からないけど、ありがとう…ねねっち。今日は怪我の話だけで八神さんを始めとした会社の人たち、それにねねっちまで心配させちゃったなぁ…。この腕、一日でも早く治したいけど、全治は一ヶ月。せめて、もう少し早く治せないかな…例えば全治一週間、短ければ三日とか…。あれっ、誰だろう？……ひふみ先輩っ！？。はい。涼風青葉です！。こんばんは、ひふみ先輩。珍しいですね、ひふみ先輩から私に電話なんて？。えぇーーっ…心配して、で、電話まで下さるなんてっ！？ひふみ先輩、優し過ぎますよっ！！////。ありがとうございます、嬉しいです///。えっ？！。ひふみ先輩っ……。まさか、そこまで考えて下さるとは……///。大丈夫だなんて、そんな滅相もございませんよ！むしろ、嬉し過ぎて涙が……。はい！一緒に行きましょう！！エスコート、よろしくお願いします！！！
ひふみ,宗次郎…私…今日は青葉ちゃんが怪我をしたって本人から聞いて驚いたんだけど…それでも頑張る青葉ちゃんを見て、私…青葉ちゃんの為に何か出来る事はないかなって…考えたんだよ…
宗次郎,……
ひふみ,そしたら、私ね…青葉ちゃんのエスコートが一番かなって思って…。思い切りって、さっき青葉ちゃんに電話…したんだよ！そしたら…明日、青葉ちゃんと一緒に会社に行く約束をしたんだよっ///青葉ちゃんにはっきりと一緒に行こうって言えたんだよっ///
宗次郎,………
ひふみ,ふふっ、改めて見ると…宗次郎と青葉ちゃんって本当にそっくり♡小動物にそっくりな青葉ちゃんと出会えて本当に良かったっ///。青葉ちゃんがいたから、私は変わりたいと思えるようになったっ///ふふふっ、青葉ちゃんのおかげだよっ♡
宗次郎,………
ひふみ,あっ、宗次郎、珍しく懐いたっ！？////私も表情が柔らかくなった…かなっ/////
青葉,一緒に行くにしても…会社までの道を歩くだけだけど、ひふみ先輩とのコミュニケーションが取れる時間でもありますし！何よりもひふみ先輩からの好意…後輩として遠慮する訳にもいきませんしね！！
ひふみ,青葉…ちゃん～
