モバP,…………おはようございます……
ちひろ,あ、おはようございますプロデューサーさん
P,あ……ちひろさん………おはようございます……
ちひろ,…………えっと…どうかされました？元気ないですが……
P,えっと……その……色々ありまして……
ちひろ,……私で良ければ相談乗りますよ？
P,あ、今お金のほうがあまり無くて……
ちひろ,別にお金なんてとりませんよ！私を何だと思ってるんですか！
P,実は昨晩ですね……。昨晩自分たちのアイドルがどう思われてるか知りたくて某掲示板を見てたんです……
ちひろ,はあ
P,そこで”輿水幸子を虐めるスレ”ってのがあったんですよ…
ちひろ,あー……
P,泣かせたいだの………腹パンしたいだの………しばらく見てたんですけど……もう………
ちひろ,プロデューサーさん……
P,ホント俺は………ダメなプロデューサーだ……！。どうして今までそんな事すら思いつかなかったんだ！！
ちひろ,…………………はい？。えっと……何を言って…
P,クソ生意気で！可愛くて！ちっちゃくて！自信過剰で！そんな女の子を苛めるなんて事も思いつかないなんて！
ちひろ,…………えっと、プロデューサーさんはその書き込みに腹をたててたんでは……？
P,え？なんでそうなるんですか？
ちひろ,え？………え？
P,まぁ確かに暴力はいけないと思います。でもあんないじられる為に生まれてきたような女の子そうそういませんよ？
ちひろ,は、はあ……
P,あぁぁ……こうしたらいてもたってもいられない……。幸子ぉ……早く来てくれぇ……
ちひろ,………どうでもいいですけど今日幸子ちゃん休みですよ？
P,………え？。な、なんでですか！？
ちひろ,なんでって言われましても……今日幸子ちゃんＯＦＦですし……
P,いやだ！
ちひろ,いやだって…
P,やだやだ！今すぐ幸子いじめたいもん！！
ちひろ,じゃあ呼んだらどうですか？電話かなんかで……
P,それだ！。………………。あ……さ、幸子か……！？よかった……出てくれて……。実はな……いま事務所で一人なんだが……動けなくなっちゃt…う゛っ！。はぁ……はぁ………あ、ああ……大丈夫だ……うぐぁぁぁ！。さち……こ………助けて……くれ…。……………ふぅ……これなら幸子もくるだろ…
幸子,プロデューサーさん！！大丈夫ですか！？
ちひろ,はや！
幸子,あ…ちひろさん？ちひろさんがなんでここに……そ、それよりプロデューサーさんは！？
ちひろ,あ、あぁ……プロデューサーさんなら……
P,幸子ぉぉ！
幸子,わわ…！ぷ、プロデューサーさん！？
P,あぁぁぁぁ！幸子は可愛いなぁぁ！
幸子,ちょ…！やめてください！
P,はぁぁぁぁぁ！幸子ぉぉぉおぉ！
幸子,んっ……か、髪の毛が乱れるからやめてくださ……///
P,さぁ幸子……
幸子,きゃっ…！
P,…………
幸子,……ちょ！な、なにスカートおろして……。ひゃうっ！///。いっ…！………ひぐっ！。ひゃっ！……にゃうっ！
P,…………
幸子,ぷ、プロデューサーさん……………やめて下さい……
P,…っ！。な、なぁ幸k
ちひろ,早苗さん！こいつです！変態鬼畜ロリコン強姦男は！
P,え……
早苗,Pくぅん？これはどういうことかなぁ？
P,…くっ！は、はなせ！
早苗,向こうでじっくり話は聞かせてもらうよ♪
P,うわぁぁぁぁぁ！幸子ぉぉぉ！
幸子,…………
P,はぁ……昨日は散々だった………
幸子,………
