速水奏,えぇ……。嘘でしょ……
うえきちゃん,……
奏,ホントに美嘉までうえきちゃんになるなんて……
城ヶ崎美嘉,汚れちまった悲しみにいたいたしくも怖気づき汚れちまった悲しみになすところもなく日は暮れる……
奏,……は？
美嘉,奏ぇ……アタシ、汚れちゃった……
奏,どういう事？
美嘉,聞かないでっ！
奏,……卯月。これ、深刻なやつ？うえきちゃんになってるあたりその心配はなさそうだけど
島村卯月,大丈夫ですよ。ちょっとまゆちゃんに襲われただけですから
奏,そう……。それは大丈夫ではないけど、大丈夫ね
美嘉,どういう事よっ！こちとら弄り回されて身も心もズタズタなのにっ！もっと労わってよぉ！！
奏,何があったか知らないけどうえきちゃんになれる余裕があるなら大したことないでしょ。て言うより、それフレちゃん達に見られる前に脱いで欲しいんだけど
美嘉,……嫌。アタシはうえきちゃんとして生きていく。アイドル城ヶ崎美嘉は死にました
奏,いいから脱ぎなさい。あの子達に見られると、私も着ろってはしゃぐのが目に見えてるのよ。面倒くさいことこの上ないでしょ
美嘉,一緒に光合成しようね
奏,もう……。卯月、何とかして
卯月,そうですねぇ……。美嘉ちゃん、あれは夢だったんだよ。深淵に生きるものにねっとりと絡まれる夢
美嘉,悪夢じゃん。ていうか、卯月はなんで平気なの……
卯月,……あんまり考えてると変な扉を開いちゃいそうで……
美嘉,あ～……ホント怖いよね。まゆ
卯月,うん……。柔らかくていい匂いがするレベルが同性をも魅了する領域だよ……
奏,……ホント何があったのよ。それより、美嘉。連載の原稿書かないといけないんじゃないの？来月分の締切が早くなったってぼやいてたじゃない
美嘉,……恋愛相談なんて、こんな精神状態じゃ書けないよ
奏,そうも言ってられないでしょ
美嘉,うん……。だから、お母さんが助けてくれた。卯月、アタシのカバンの中にあるからプロデューサーの机に置いてくれる？
卯月,わかった……って、書き込み凄いね、これっ！
美嘉,お母さん張り切っちゃって……
奏,それ、つまりはゴーストライターってことよね
美嘉,……うえきちゃん、にほんごまだむずかしい
奏,まったく……今回だけにしときなさいよ
美嘉,はい……
大西由里子,おはー！
三船美優,おはようございます
奏,あら。珍しい組み合わせね
美優,池袋で用があったんですけど……そこで偶然由里子ちゃんに会ったんで一緒に来たんです
奏,池袋で？……あぁ、なるほど
美優,あはは……
由里子,うへへ。今日は掘り出し物を発掘できたじぇ……。でへへへ
卯月,掘り出し物？……漫画ですか。妙に薄いですね
由里子,お？卯月ちゃん興味あり？これには愛の在り方が描かれているんだよ。ぐふふ
卯月,ほう！それは興味深いですねっ！最近の私は愛について貪欲ですよ！そろそろ次のステージにステップアップしたいですからねっ！！
由里子,次のステージとな？なるほどなるほど……。卯月ちゃんもこちら側へと……高みへと踏み入れると……。よーし！わかったぁ！！このユリユリが卯月ちゃんを完璧にエスコートしようじゃないかぁ！！
卯月,いいんですか！？お願いしますっ！！
由里子,まずは今日買ってきたこの聖典を……
美嘉,ちょっ！？いろんな意味で卯月にはまだ早いって！！くっ……！動きづらいっ！！
美優,！？み、美嘉ちゃん……？
奏,いい加減脱ぎなさいよ……。でも、美嘉の言う事はもっともだわ。由里子さん？
由里子,大丈夫大丈夫！これ全年齢版だし。折角だしみんなも見たらいいよ。そして耽美な世界にどっぷり浸かろうじぇ～……うへへ……
奏,引きずり込もうとしないで……って。卯月、もう読んじゃってるのね……
卯月,おぉ……？シリアスな雰囲気なのに、なんでこの男の人はフランクフルトを持ってるんですか？
由里子,それはね？ねじ込む為だよ？
美嘉,こらこらこらっ！！全年齢版なんでしょ！？
由里子,心配いらないよ。お口にねじ込むだけだから……うへへ
美嘉,もの凄い心配なんだけど！？
美優,……今の美嘉ちゃんの状態のほうが心配なのだけれど……
奏,あれはほっといていいですよ。それよりもこの漫画の支離滅裂っぷりが逆に気になって……
由里子,尻滅裂っ！？奏ちゃん、ハードコアもいける口っ！？
奏,……勘弁して
卯月,ほあぁ！？今度はアメリカンドッグをっ！？おっきい、大きいですっ！！そんなの入らないっ！！
奏,卯月も……言い方考えて……
卯月,だって……！ほらっ、口にねじ込まれてたこの人も怒って……キスしたぁ！？なんでぇ！？
奏,ホントなんでよ……。これのストーリーがよくわからないわ……
由里子,……この世界に置いてはストーリーなんて二の次……。尊い……ただただ尊い……。これが真理
奏,いや、でも……
由里子,唐突だろうがなんだろうが、二人は幸せなキスをしたらそれでハッピーエンドなの。そして……おっと、ここからは十八禁
奏,もう、それでいいわ……
美優,なるほど……二人は幸せなキスをしたら……そして……
奏,……？美優さん？
美優,な、なんでもないです……
卯月,無駄にシリアスなのはなんだったんでしょう
由里子,尻assは大事だじぇ……
美嘉,こ、こらぁ！！変な事言わないっ！！
由里子,ホールとは言ってないのに今のニュアンスで察するとはっ！！美嘉ちゃん素質アリっ！！
美嘉,いらんわっ！！
卯月,シリアスは大事……か……
美優,二人は幸せなキスをして……。唐突だろうがなんだろうが、二人は幸せなキスをして……そして……
奏,……二人共、妙な影響を受けてる気がするわね……
美嘉,う～ん……どうも最近、卯月に一歩先を行かれてる気がするなぁ。……ちょっと休憩室で対策を考えよ
緒方智絵里,
