ビスマルク,Admiral、改装がおわったわ
提督,ああ、お疲れ
ビス,それだけ？もっと褒めてもいいのよ？
提督,えーっと………dreiまでの練度上げ、よく頑張ったな
ビス,………
提督,………
ビス,………Admiral、鳳翔の店にいきましょう
提督,なんで？
ビス,私がこの艦隊に来て一ヶ月。まだAdmiralとお酒の席で話したことは無かったわよね。日本で言う”腹を割って話す”ってやつよ
提督,ああ、わかったよ。来て以来出撃ばっかりだったもんな………
ビス,鳳翔、お邪魔するわね
鳳翔,あらビスマルクさんと………、提督？珍しいですね
提督,ビスマルクがどうしてもって言うんでな………
ビス,鳳翔、ビール二人分お願い
鳳翔,え？でも提督は………
提督,あー、すまんビスマルク。言いにくいんだが
隼鷹,提督はビール飲めないもんね～
ビス,そうなの！？ごめんなさいAdmiral。じゃあ他の………
長門,提督、すまん。急ぎの用事だ！至急来てくれ
提督,そうか。すまんビスマルク。腹を割って話すのはまた今度、機会を見てな
隼鷹,いやぁ～、フラれたね
ビス,なに？
隼鷹,いや、提督行っちゃったし一緒に一杯どうかなって
ビス,いいけれど
隼鷹,やっぱりアレかい？提督と二人でシッポリ呑んだ後は………って感じかい？
ビス,Nein!そういうワケじゃないのよ！
隼鷹,まあ、そういうことにしといてあげるけどさ、提督の好み、知っておいて損はないんじゃない？
ビス,ああ、さっきビールがダメって言ってたわね
隼鷹,まあ好みってワケでもないけどさ、提督はお子様舌だから、ビールとか日本酒よりは甘ーいお酒が良いんじゃない？
ビス,そうだったのね
隼鷹,他にも提督と付き合いの長い連中に色々聞いてみたら
ビス,そうするわ隼鷹、Danke！
隼鷹,Bitteschoen
ビス,提督の好みを知ってそうな人………、気が進まないけどあの人かしら。金剛、居る？
比叡,お姉さまは今出撃してて留守ですけど
ビス,あら、ごめんなさい。なら出直すわ
比叡,なにかご用だったら伝えておきますけど
ビス,えーっと、ちょっと聞きにくいんだけど………Adramilの好きなお酒とかって………分かる？
比叡,司令のですか？
ビス,別に深い意味はないのよ。ただビールが苦手って聞いたからね。断られてショックだったわけじゃなくて、それで好きなお酒を知ってればもっと自然に誘えるかなって思っただけで………
