早坂美玲,うぅ……アイツこの前仁奈といたからって、着ぐるみ着る仕事持ってくるなんて……
美玲,仁奈は楽しそうだったけど、アイツはニヤニヤしながら見てきやがって……あぁもう！。それに何が気に入ったんなら持ってっていいぞ？だよ！別に欲しいって……。……また誰もいないのか。ふぅ。……。よく見るとこの熊の着ぐるみ、意外とかわい……
神崎蘭子,煩わしい太陽ね！おはようございます！
美玲,ほわぁあッ！？
蘭子,わぁっ！
美玲,ななな何だいきなり！
蘭子,せ、戦慄する魂よ……び、びっくりした……
美玲,え？
蘭子,む、新たなる偶像との邂逅か。私の名は神崎蘭子。貴女は？あ、初めまして、だよね？神崎蘭子です！あなたは？
美玲,あ、えっと……み、美玲です？
蘭子,美玲、か。私も此の夢を描きし地の偶像よ。共に輝く時を創ろう！美玲ちゃんかぁ。私もここのアイドルなんだ。これからよろしくね！
美玲,あ、はい……。な、何を言ってるか全然分からないぞ！？。とりあえず名前は聞かれたっぽいけど……。せんりつ？かいこう？どういう意味だ？。けど何だろう、全然分からないのになんかこの人の言葉……。少しかっこいい……
蘭子,如何した？どうしたの？
美玲,な、何でもない！。あ、あのさ……ちょっと聞いていいか？
蘭子,ええ、勿論うん、いいよ
美玲,ら、蘭子のしゃべり方っていつもそうなのか？
蘭子,左様。此の言霊は私の象徴よそうだね。これだとなんとなく話しやすいんだ
美玲,そ、そっか。ことだま？が自分の象徴……。このしゃべり方が自分に合ってるってことか？
蘭子,貴女は私の問いに答える事が出来るかしら？私も少し聞いていいかな？
美玲,まぁ、いいけど……
蘭子,其の纏いし獣は何処から？その服ってどこで買ったの？
美玲,え？これ？
蘭子,あ、そっちじゃなくって……
美玲,こっち？ウチが着てる方か
蘭子,ええ、双眸は貴女が帯びる色にうん、ちょっと気になったから
美玲,えーっと……これはウチん家の近くの店で売ってたヤツだな
蘭子,在り処は闇に憩う地の傍に……フフフ家の近くにそんなの売ってるんだ、いいなぁ
美玲,この近くじゃないんだけどな。蘭子は結構珍しそうなの着てるけど……
蘭子,我が半身は此の手から創られたモノよ実はこれ自分で作ったんだよ
美玲,自分で作った、ってことか？
蘭子,ええうん！
美玲,すごいな……これ全部一人で作ったのか
蘭子,フフフ、その想いは真実か？えへへ、そうかなぁ
美玲,ああ、普通に売られててもおかしくない気がするよ
蘭子,しかしこの混沌の衣を産み出す事は些事に等しい。禁忌が綴られた書も在るべき場所に潜むでも意外と作るの簡単だったりするんだよ？作り方の本も売ってるし
美玲,なんだ、そうなのか
蘭子,！。暫し待たれよ！ちょっと待ってて！
美玲,あれ、なんか前にもこんな……
蘭子,黒き魂の帰還！お待たせ！
美玲,いや、別に待って……って何だそれ？
蘭子,此の地に隠されし我が半身よ事務所に置いてある私の服だよ。貴女ならば美しき漆黒の夜想曲を奏でるだろう！美玲ちゃんなら似合うんじゃないかなって思ったから持ってきたんだ！
美玲,いや、ウチはこういうのは……
蘭子,さあ、今こそ裁きの刻！ね、着てみて！
美玲,わ、分かったよ！。こ…これでいいのか？
蘭子,世界を飲み込もうとする闇は巨大だが、宿主はそれすらも超越するのか……服はちょっと大きいけど、美玲ちゃんにピッタリだよ！
美玲,そ、そう？。……。黒き魂の帰還！
蘭子,おぉー
美玲,なんか…これ少し楽しいかも…。戦慄する魂よ！。おぉ……
蘭子,ククク……血に塗れた獣も奈落に堕ちたわ……ふふ、美玲ちゃん楽しんでるね
美玲,よし……じゃあ次は……
Ｐ,美玲ー、今度はワニの着ぐるみなんかどうかと思うんだけど……
美玲,煩わしい太陽ね！
Ｐ,ん？
蘭子,あっ
美玲,……え？
Ｐ,ん？あぁ、おはよう美玲
美玲,あぅ……なんっ……！
Ｐ,お、蘭子もいたのか。美玲が迷惑かけなかったか？
蘭子,わ、我が下僕よ、迫る影が……プ、プロデューサー、後ろ……
Ｐ,え？迫る影がなんだっげふぅっ！？
美玲,バカやろぉぉぉーっ！！
Ｐ,ま、待て美玲……どこに……
蘭子,封印されしカルマを解き放ってはならぬ……人には触れられたくない事があるんですよ……
