担任,今日の授業は以上です。寄り道せず帰りましょう。ではまた明日、さようなら
リゼ,さ、帰ろっと…
ガキA,おい天々座
リゼ,ﾋｯ!…な、何？A君
ガキA,放課後ドッジボールやらね？女子の人数足りなくて困っててよー
リゼ,ええと……その…今日は予定が
ガキB,はあ！？お前Aの誘い断るってのかよ！？
ガキA,何？この後予定あるの？
リゼ,い、いえ…特に何もない…です
ガキB,よぉっし！おいみんなー！天々座が参加するってよー。あーあ、負けてしまったな
ガキC,誰かさんがあのときアウトにならなければ……ｸｿｯ
リゼ,……ごめんなさい
ガキA,しゃあないしゃあない。でも明日こそは絶対勝とうぜ
リゼ,あ…う、うん。じゃあ私はこれで……
ガキA,ん、じゃあなー。おーい、天々座ーっていねぇし
ガキB,あいつ帰るの早すぎw
ガキA,天々座ってさー女子なのにどこか男っぽい雰囲気してるよな。力とか弱いけど
ガキB,女子から聞いたんだけど天々座って強くなるためにお父さんと毎日くんれんしてるらしいぜ
ガキA,毎日くんれんしてあれかよ。トロいし力よえーし、見てるとイライラするんだよな
ガキB,わかるｗｗｗｗｗｗｗｗ
ガキA,天々座があんなだからきっとお父さんもとろくて弱いんだろうなｗｗｗｗｗｗｗｗｗｗ
ガキB,俺でも勝てそうｗｗｗｗｗｗｗｗｗｗ
ガキA,！？うわ天々座、まだ帰ってなかったのかよ
リゼ,パパはとろくも弱くもない！！パパはお前らなんかとは違ってとってもとっても強くてしっかりもので…お前らなんてすぐ倒しちゃうんだから！だから……大好きなパパの悪口を言ったお前らを私は許さない！勝負だ！
ガキA,おっと
リゼ,……ﾁｯ！うぉぉぉ！
ガキA,ほっ。あらよっと
リゼ,ｶﾞﾊｯ！
ガキB,す、すげー
ガキA,俺幼稚園の頃から柔道習っててよぉ
リゼ,……くっ！
ガキA,お前のノロイ動きなんてお見通し、残念だったな。お前は俺に勝てないよ。いくらくんれんをしてもなｗｗｗｗｗｗｗｗｗｗ
リゼ,……うぅ
リゼ父,……
リゼ,……たぁ！
リゼ父,足が甘い！
リゼ,！？
リゼ父,どうした？いつものお前らしくない。いつもより動きに無駄があるぞ
リゼ,ﾊｧ……ﾊｧ
リゼ父,おっともうこんな時間か。今日はこのへんに
リゼ,ま、まだ…
リゼ父,なに？
リゼ,まだやります！お願いします！
リゼ父,…今日はこれまでだ
リゼ,私はまだやれる、だから……！
リゼ父,今日のお前はいくら訓練しても無駄だ
リゼ,……！それはどういう
リゼ父,とにかく今日はもう休め
リゼ,…私がいつまでたっても強くならないから？
リゼ父,ん？
リゼ,毎日毎日遅くまでくんれんしても親父に勝てない、いつまでたっても強くなれず私は弱いまま
リゼ父,……
リゼ,ねぇパパ、私が毎日してるこのくんれんって意味あるの？
リゼ父,…今日のお前は変だ。相当疲れてるみたいだな、早く休め
リゼ,ねぇ答えて！強くなるにはどうしたらいいの！？それとも私には才能が……
リゼ父,強くなるのに才能なんていらない。強くなりたければ続けることだ。俺を信じろ
リゼ,信じられないよ！パパも……自分自身も
リゼ父,リゼ！
リゼ,はぁ、家に帰りにくくなっちゃった。どうしよう…お金もそんなにあるわけじゃないし……何やってんだろ私。……ん？
うさぎ,……
リゼ,あっ！うさぎさんだー♪待ってー
うさぎ,…！
リゼ,なんで逃げるのー！？待ってー。はぁはぁ、うさぎさん見失っちゃった。うさぎさん足早いなー…………いや、私の足がただ単に遅いだけ…私の足が速ければうさぎさんに追い付けたはずだよね……はは。ｸｼｭﾝ!うう、なんだか寒くなってきちゃった。戻ろう……。…………。大丈夫……ちゃんと戻れる…よね？。はぁはぁ。迷っちゃった……どーしよう。携帯もおいてきちゃったし。ﾋｯ！な、何？
敵兵士,くそ、やつはどこに行った？。HQHQ！ターゲットロスト。これより警戒体制に入る！。見つけたら撃ち殺してやる！。！！そこだな！。……誰もいない、動物だったのか？
リゼ,ここどこー？……
敵兵士,そこにいるのは誰だ！
リゼ,ﾋｬｱｱ！！
敵兵士,こ、子供？どうしてこんなところに…？。とにかくここは危険だ、俺が安全な場所へ連れてってやるから来い
リゼ,は、離して！！
敵兵士,…ｶﾞｯ!?
リゼ,！？
？？？,何をしてる！早くこっちへ来い
リゼ,で、でも…
？？？,ここにいては死ぬぞ！
リゼ,…う、うん！
敵兵士,……ｳｯ…ﾊ…ﾊﾗｶﾞ……ﾏﾀ…
？？？,ここまでくれば大丈夫だろう
リゼ,あの、助けてくれてどうもありがとうございます…
