登場人物：幸子、友紀、こずえ、モバP,Pと表記します
輿水幸子,紗枝さんが風邪？
姫川友紀,そうなんだよー。お腹出したまま寝ちゃっててさ
友紀,これがホントのHARAMARUDASHIだね、って言ったらスネられちゃった
幸子,ホントの、の意味がわかりませんが。にしても、紗枝さんがそんな失敗をするなんて珍しいですね
友紀,あはは、まあちょっと燃え上がっちゃったっていうか、もう余韻に浸ってそのままっていうか
幸子,……なぜその場にいたかのように？
友紀,あ、はしたないからって口止めされてたんだった
幸子,なんてカワイクないテヘペロですか
友紀,ほら昨日、久々にレッスンだけだったじゃない？
幸子,そうでしたね
友紀,で、みんなで早めに晩ご飯食べたじゃない？
幸子,そうでしたね
友紀,んで、一緒にキャッツの試合をテレビ観戦しないかって誘ったじゃない？
幸子,そうでしたね
友紀,幸子ちゃん、断ったじゃん
幸子,そうでしたね
友紀,でも、紗枝ちゃんはたまには付き合うって言ってくれて
幸子,あ、そうだったんですか
友紀,そして、朝
幸子,要所が飛んでますけど！？
友紀,ああ――。キャッツは勝った
幸子,そこ一番の要所でしたね友紀さんはね！
友紀,もー、なにそんな食って掛かってくんのさ。え、なに？どーゆー話が聞きたいのっかなー？
幸子,わざとでしたか……
友紀,まー、そんときはめでたくって、盛り上がったまんま寝落ちしちゃったんだよね。それで、夜中にふと目を覚ましたら――。隣で紗枝ちゃんが、キャミソール一枚で寝てたんだよね！
幸子,盛り上がったってどういう意味なんですか……！
友紀,それもほとんどまくれ上がっててさー
幸子,…………
友紀,可愛いやつめ、ってほっぺたつついてやったよね！
幸子,お腹隠してあげてくださいよ！
友紀,あ、もちろん一番カワイイのは幸子ちゃんだよ
幸子,雑なフォローありがとうございます！
友紀,――いや、まだ酔いが覚めてなかったから、そこまで気が回らなかったんだよね
幸子,ダメな大人ですね
友紀,そうだね……反省してるよ
幸子,そうですよ！いくら気分良く酔っていたからといって、紗枝さんとそんな、ふ、ふしだらな……
友紀,フシダラ？
幸子,わざとらしく片言にならないでくださいよ！
友紀,――つまり幸子ちゃんは、あたしが酔いに任せてキャッツのダブルヘッダー、二戦目が今プレイボール！とばかりに紗枝ちゃんをひん剥いた、って言いたいんだ？
幸子,う……ま、まあそうです
友紀,ネコのくせにひん剥く側なんて、ってツッコミたいんだ？
幸子,意味がわかりませんよ！
友紀,はあ～、そんな想像しちゃうなんて、お姉さん悲しいよ
幸子,いやいや、そういうふうにしか聞こえませんでしたよ！じゃあ実際はどうだと言うんですか？
友紀,紗枝ちゃんが酔っ払って、自分で脱いじゃったんだよね
幸子,あ、もうおしまいですねこれ。もうダメです大人が未成年に酒を飲ませて前後不覚にした上に同衾だなんて隠し通せるわけがありませんゴシップ誌に嗅ぎつけられてお二人は解雇――
友紀,幸子ちゃーん？
幸子,くっ……ですがボクはお二人のことを決して忘れません！KBYD輿水と名を変えて活動を続ける覚悟です！
友紀,そんな、相方のいなくなったお笑いみたいな
幸子,――そのたとえ、妙に的確な気がしていやですね
友紀,あ、戻ってきた。あのね、一点を追う展開が続いたもんだから、紗枝ちゃんと肩組んでテレビにかじりつきだったの
幸子,囚われの紗枝さん
友紀,そしたらビールどんどん飲んでくわけじゃん
幸子,はあ
友紀,気づいた時にはもう部屋中アルコール臭くってさ！途中紗枝ちゃんが換気してって言ってた気もするんだけど、それどころじゃなくって――。で、試合終わってヒーローインタビューの頃かな？なーんか紗枝ちゃんがあったかーくなって、ふにゃっとしてるなあって気づいて
幸子,…………
友紀,多分、部屋の空気とあたしの息で酔っちゃったんだと思うなあ
幸子,どれだけ飲んだんですか……
友紀,いやまさか、匂いだけで酔うほど弱いと思わなくって！。っていうか、そんときはあたしも気分良くってわかんなかったの！。なんか紗枝ちゃんが暑い暑いって言いながら服を脱いでるのも、白熱した試合に興奮しちゃったんだな、わかるよって思ってたから――。あたしもつられて脱いじゃってたね！
幸子,もう……なんかもう……
友紀,いやほんとごめん！やっぱ二人で観戦すると全然違うんだよ盛り上がりが！
幸子,そういうものですか
友紀,ほら、あのー、小梅ちゃん？ゾンビの子！たまに映画鑑賞に誘われるんでしょ？いやーあの子の気持ち、あたしはよく分かるよ！
幸子,い、いや小梅さんは、もっぱら怖がるボクを鑑賞したがってますからね……
友紀,でも、幸子ちゃんが心配するような不祥事を起こしてないってことは、わかってくれたよね！
幸子,起きたも同然な気がしますが
友紀,えー？だって、お酒は飲ませてないんだよ？法は犯してないし、紗枝ちゃんのことも――
幸子,わ、わかりましたもういいです！
友紀,……犯してないし！
幸子,止めてるのに言い切らないでくださいよ！
友紀,いやあ、あたしの心の三塁コーチが回れ回れってさ
幸子,完全にアウトのタイミングでしたよ！
友紀,お、今度一緒に野球観戦行く？
幸子,ボクの野球知識に興味を持たないでください！。は、はい
P,まったく君たちは、小早川がいないと騒がしいな
友紀,プロデューサー
P,廊下に声が響いてたぞ
幸子,う……すみません、ボクとしたことがカワイクないことを
友紀,紗枝ちゃんと連絡とれた？
P,ああ、やっぱり風邪だとさ。声ががらがらだったよ
友紀,あ、あたしのこと怒ってた？
P,いいや、むしろ責めないでほしいと釘を差された
友紀,ぐあー、紗枝ちゃん女神だったか！
幸子,勝利の女神だったんですね……
友紀,お見舞い持ってかなきゃ。いいやつ
幸子,付き合いますよ
P,とりあえず、大事を取って仕事は２、３日休ませるから
友紀,あーい
幸子,歌番組の予定がなかったのは不幸中の幸いでしたね
友紀,今日は打ち合わせだけだからいいとして――
幸子,明日は撮影が入ってますね
P,グラビアとバラエティのロケだな。グラビア撮影は日を改めてもらうよう話をつけておいたが、ロケはそうもいかない。小早川抜きで頑張ってもらう
幸子,わかりました
友紀,紗枝ちゃんにがっかりされないよう、しっかりこなすよ！
P,しかし二人ではややバランスが悪かろうと思って、応援を手配した。今日のうちに顔合わせもしておこうと思って、連れてきてある
友紀,仕事早いね。で、その子って？
P,ドアの外に――さあ、おいで
幸子,な、なんですかこの子は！？。ドール！？ドールですね！？プロデューサーさん、こんなカワイイ趣味をお持ちでしたか！？
P,ええい落ち着け輿水。さあ、ご挨拶してごらん
遊佐こずえ,こずえはー…こずえだよー…。ゆさ…こずえー…
幸子,しゃべったああっ！？。な、なんですかこの、ホイップクリームの中からメープルシロップが出てきたような甘カワイさは！？。カワイサーカウンターが上限近くまで振れてますよ！！
P,聞いたことない表現で感動するな
友紀,カワイサーカウンターっていうのは、カワイさを測る幸子ちゃんの脳内システムだよ
P,聞いたことないのは俺だけだったか
友紀,ちなみに幸子ちゃん自身が基準にして最大値
P,なるほど、わかる
友紀,それよりプロデューサー、あたしがやっと冤罪を晴らしたところなのに、そっちでやらかしちゃったら台無しだよ
P,自分がそういう目に遭ったのなら、人にも優しくなりなさい
友紀,わ、わかってるよ。ちょっとからかっただけだって
P,この子は遊佐こずえといって、うちに所属するキッズモデルだ
幸子,モデルさんでしたか。道理で
友紀,え、プロデューサー、つまりこの……こずえちゃんが、紗枝ちゃんの代打ってこと？
P,ああ、おっとりした感じとか、似てるだろうと思ってな
幸子,…………
友紀,KBYDの顔合わせの時も思ったけど、プロデューサーってドラフトのセンスが独特だよね
P,そうか？
幸子,確かに、ボク達も未だに雑誌やテレビでKBYD、人気の謎とかKBYD、謎の人気とか言われてるみたいですからね。全てはボクのカワイさゆえで説明がつくというのに！
友紀,ま、結果的にはいいチームになったと思うけど、言われるのもわかるよねー
幸子,こずえちゃん。ボクは輿水幸子といいます。幸子お姉さんと呼んでいいんですよ！
こずえ,さちこー…
幸子,……はい！
友紀,お姉ちゃんは、友紀っていうんだよ
こずえ,ゆきー…
友紀,はーい。一緒に頑張ろうね
こずえ,がんばるー…
幸子,あ、あれ？友紀さんがすごくお姉さんっぽいですね？
友紀,こずえちゃんはいくつなのかな？
こずえ,じゅういっさいー…
幸子,なんででしょう、しっかりした友紀さんを見るとむず痒いのは
P,君たちはそれぞれ場数を踏んでからユニット組んだからなあ。手がかからなかったんだよ
幸子,むう、まったく友紀さんは。もっとカワイイボクを愛でてくれても良いのに
友紀,え、ちゃんとかわいがってるじゃん
幸子,ボクを愛でるのに十分ということはないんですよ！
P,――で、明日のロケの内容だが、報道バラエティの特集コーナーで、今話題のスイーツをいくつか取り上げるんだが。君たちにはそのうちのひとつのお店に実際に赴き、レポートしてもらう
幸子,…………
友紀,…………
P,続きを警戒するな。レポーターやるだけだよ
幸子,本当ですか？
P,仕掛けがないと面白くできないわけじゃないだろう？
幸子,もちろんです！。いや、面白くっていうのは、あくまで視聴者の皆さんに興味を持ってもらえるように、という意味で、ですよ
P,何の言い訳だ
友紀,こんにちはー！
幸子,はいっ、ボク達は今話題のスイーツを求めて、ここ京都へやってまいりました！
こずえ,だいふくー…
幸子,あ、先に言っちゃダメですよ
友紀,そう、私達が探しているのは、とある和菓子屋さんに売られている大福なんですよねー！。おっと、ご紹介するのは私、姫川友紀と！
幸子,カワイイボクこと輿水幸子と！
こずえ,ゆさこずえー…
友紀,三人合わせて……
幸子,カワイイボクと！
友紀,野球！
こずえ,こずえー…
友紀,実は今日、このロケに参加するはずだった小早川紗枝ちゃんがお休みしてまして。ピンチヒッターとしてモデルの遊佐こずえちゃんに来てもらいました！
こずえ,ふるよぉー…
友紀,こずえちゃんは甘いもの好きかな？
こずえ,すきー…
友紀,おおっ、これはいいピッチングが期待できそうだね！
幸子,ハードル上げないでくださいよ
友紀,おっ、あれが噂の和菓子屋さんですかね？
幸子,え、あの建物ですか？え？
こずえ,ふわぁ…しかくいねー…
幸子,ゆ、友紀さん、間違ってませんか？
友紀,いや、でもスタッフさんがうなずいてるし。ほら、のぼりも出てる
こずえ,ここなのぉ…？
幸子,どうなんでしょう、あからさまにこのロケのために建てたっぽいですけども
友紀,あ、カンペ出てるよ。えっと、お店側で直接の取材はNGだということで、建物と売り子さんは番組で用意しました、だって！
幸子,おかしくないですか！？
こずえ,おかし…ないのぉー…？
友紀,大丈夫だよ。ウワサの和菓子はちゃんとあるのでご心配なく、って書いてあるし
こずえ,えへー…よかったー…
幸子,ここまでするくらいならスタジオに直接届けたほうがずっと簡単だったと思いますけど……
友紀,いいじゃん、こずえちゃんが喜んでるから
幸子,それは、まあ
友紀,ってことで、早速お店におじゃましてみましょう！
