モバP,サムネだけでもうクッソ可愛いなぁ
ちひろ,プロデューサーさん、何ニヤついてるんですか。もうそろそろ会議の時間でしょ？
P,ああ、そうだったそうだった。んじゃ行ってきまーす
森久保,プロデューサーさん、さっきスマホで、ツイッターやって、何か見てましたね……面白いものでもあったんでしょうか……。気になるから、森久保も、ツイッター開いて、見てみます……。もりくぼのイラスト……ぎゃるくぼ……今は、こんなのが流行ってるんですか……。ほ、本人よりも、可愛く描けてますね……。ひぃやぁぁっ！？！！？？？？
ちひろ,あら、乃々ちゃん、どうしたの？
森久保,い、い、いえ！！な、なな、なんでもないですけど！！？？
ちひろ,あら、そう？……なんか、変なものでも見ちゃった？
森久保,ぅっ！！！え、えーと、その、はい。ちょっと、ヘンなものといいますか、ショッキングなモノを、ですね……
ちひろ,グロい画像でも見たのかしら
森久保,そ、その……お気になさらず……といいますか……
ちひろ,う、うん。イヤなことがあったら、遠慮せず言っていいのよ？
森久保,は、はいぃ……大丈夫ですけど……。プロデューサーさんが、ツイッターで、森久保のえっちな画像をいいねしていたなんて、く、口が裂けても、言えないぃ……。ど、どうすれば……も、もう、むーりぃー……。……。……！！！。こ、ここ、こんなのを描いて……この人は、いったい何を考えて……。そ、そもそも、なんでプロデューサーさんは、もりくぼの、こんなイラストを……いいねしているんでしょうか……。ひょっとして、プロデューサーさん……もりくぼで、えっちなことを……！？
輝子,や、やぁ、ボノノちゃん
森久保,もうむーりぃー！！！
輝子,ど、どうしたボノノちゃん！！？？
森久保,あ、あの、その……
輝子,こんなに赤面して、涙まで浮かべて……ひょっとして、あの画像でも、見てしまったのか……？なんて……。ひょっとして、ボノノちゃんのTLにも、プロデューサーがいいねした、あの画像、流れたのか……？
森久保,っひゃぁ！！？そ、そそそそ、そんな、も、もりくぼのヘンな画像なんて、み、見てないんですけど！！！！？？
輝子,まだ私、もりくぼのヘンな画像なんて、言ってないけど……
森久保,……うぅ……取り乱して、すみません……見ましたけど……。でも、プロデューサーさんが、あんな画像を……いいねするなんて……
輝子,ま、まぁ、その……落ち着け、ボノノちゃん
森久保,プロデューサーさんが、あんな画像、いいねしてたなんて、その、ショッキングで……いろんな意味で……
輝子,うーん……プロデューサーさんも、男だし……
森久保,も、もりくぼは、その……自分が、そんな目で見られることなんて無いと思ってて……む、胸も、もちんちくりんですし……
輝子,私も、そう思ってたけど……どうやら、そういう"需要"も、あるらしいぞ……フヒ……
森久保,あうぅ……それで、その、プロデューサーさんが、もりくぼに、そういう目を向けていると思うと……うへへ……
輝子,あ、まゆさん、おはよう
森久保,！！
まゆ,あら、輝子ちゃん、……と、乃々ちゃん……おはようございます……
森久保,も、もりくぼのことを見て、露骨に、表情に曇りが……
輝子,ひ、ひょっとして、まゆさんも……ツイッターの、プロデューサーさんのいいねした……
まゆ,えぇ。プロデューサーさんのいいね欄を漁っていたら、乃々ちゃんの、あの画像が……
輝子,い、いいね欄を、漁ってたのか……フヒ……
森久保,や、やっぱり……えっと、ま、まゆさん……その、ごめんなさい……
まゆ,なんで乃々ちゃんが謝るんですかぁ？
森久保,ひうぅっ！！
まゆ,悪いのはプロデューサーさんですから、乃々ちゃんは気にしなくていいんですよ？
森久保,……え？
まゆ,こちらこそ、なんだか気をつかわせちゃって、ごめんなさい
森久保,うぅ……怒ってなくて、よかったです……
まゆ,……でも、悪いのはプロデューサーさん
輝子,な、なんだか、アヤしいことを考えているような……
P,ただいま戻りましたー
ちひろ,お帰りなさい、プロデューサーさん
アンデス3人,あっ……
P,……あれ、3人とも、どうしたんだ……？ちひろさん、知ってます？
ちひろ,いえ……？
まゆ,お帰りなさい、プロデューサーさん。その、お話が……
P,？どうした？
輝子,え、まゆさん……聞くのか？聞いちゃうのか？
まゆ,そ、その、ツイッターで……ええと……言いにくいんですけど……
P,ああ、ツイッターで思い出した。森久保ォ！
森久保,っはいぃ！
P,さっき森久保の可愛い画像があったんだが……えーと
輝子,えっ
まゆ,
森久保,ひっ
P,ああ、あったあった、この画像の……。！！！？？？？？これ、ドスケベ画像じゃん！！。あ、えーと……やっぱなんでもない、カナー
まゆ,Pさん、その画像……いいねして……
P,ち、違うんだまゆ、これは、サムネだけ見て可愛いと思って……後で見ようとしてて……
まゆ,へーぇ？
P,ひえっ
まゆ,……でも言われてみれば、確かに……プロデューサーさん、普段そういう画像、いいねしないですよね
森久保,ま、間違いなら、良かったですけど……
輝子,ちょっと安心したぞ、トモダチ……
P,あ、ああ……分かってくれて良かったよ……。よかったー！普段からえっちな画像いいねしてなくて、素行良くてよかったー！
森久保,ちょっと安心したような……でも、少しだけ悲しいような……うぅ……。や、やっぱり、プロデューサーさんは、もりくぼのこと、えっちな目で見たりしませんよね……
P,いや、そんなことｎ……じゃなくて、ええと……
まゆ,……え
P,……ちょっと出掛けてｋ
まゆ,プロデューサーさん？ちょっとお話があるんですけど、いいですかぁ？
森久保,……
輝子,……えーっと、ボノノちゃん……？
森久保,も、もう、むーりぃー……♡
