ワニ子,ｸﾞﾙｩｳ
オウ助,ﾔﾝﾊﾞﾙｸｲﾅｧｰ
ウサ江,ｷｯｷｨｰ
響,ふっふーん！でしょでしょ！今日はいつもよりちょーっと奮発してみたんだ！。へへ、じゃあ自分も食べよーっと。っと、電話だはいもしもし我那覇ですけど…
雪歩,…ひ、響ちゃん…？
響,あれ、その声は雪歩？珍しいね自分に電話なんて
雪歩,お願い…た、助けて…
響,はぁっ…はぁっ……雪歩っ！！
雪歩,ひ、響ちゃん…
響,…捨て犬…？
雪歩,…
濡れて滲んだ,拾ってください
響,雪歩っ！とにかく自分の家に！
雪歩,…ご、ごめんね響ちゃん…
響,さ、入って入って
雪歩,うう…お邪魔しますぅ…
響,お待たせ、はいこれタオル！着替えは自分が用意するから、とにかく雪歩はシャワー浴びてきなよ
雪歩,あ、ありがとう…
響,自分はこの子のこと見てるから、ゆっくりしてていいからね！
子犬,ｸｩｰﾝ…
雪歩,はぁ…ありがとう、ごめんね急に押しかけちゃって
響,わわっ！気にしないでよ、こっちこそありがとう、雪歩がこの子を助けてくれなかったら今頃……うう、自分見直したぞ！
子犬,ｷｭｩﾝ
雪歩,ひいっ…あ…汚れてて気付かなかったけど、この子毛並み白かったんだね…
響,うん！まだ子供だけど多分コーギーだぞ！。…でも、首輪がないってことは、捨てられたってことなんだろうな…
雪歩,…そっか…
響,あっ、そういえばなんで雪歩は自分に連絡してくれたんだ？
雪歩,響ちゃんなら、弱ってる犬のこととかわかるかなって…それに、家が1番近かったの思い出して…
響,…雪歩、自分の家の場所覚えててくれたんだな…えへへ…
雪歩,うん、えへへ…。ひっ！？
響,うわっ雷だ…！本格的に嵐になりそうだな…
雪歩,ひ、響ちゃんは雷平気なの…？
響,まあね！ウチナー…じゃないや、沖縄じゃ台風や嵐はしょっちゅうだったし！。こっちに来てから一人でいるときは怖いこともあるけど…今は雪歩もいるし…。…あっ！ごめん今のなしなし！忘れてー！
雪歩,ふふっ…わかったよ響ちゃん
響,うう…///。…にしても、雨どんどん酷くなるな…
雪歩,あぅ…どうしよう…これじゃ家に帰れないよ…
響,……ねえ雪歩、もし雪歩が嫌じゃなかったらうちに泊まってく？
雪歩,えっ、でも…
響,あっ！い、嫌だったらいいんだぞ！今自分の家犬2匹もいるし、雪歩が犬苦手なのも知ってるし…！
雪歩,いやなんてそんな…！で、でも迷惑じゃないかな…
響,全っ然そんなことないぞ！
雪歩,わあ、じゃあお言葉に甘えようかな…
響,本当！？やったー！
雪歩,ふふ。…うん、それで、雨が酷いしもう夜中だから帰れそうになくて…。友達が泊めてくれるって…うん、ありがとう、伝えておくね…おやすみなさい。ふぅ…
響,大丈夫だった？
雪歩,うん、お友達によろしくって。あ…///
響,ん、なんだ雪歩～もしかしてお腹すいて。
雪歩・響,…ぷっあはは…
響,そういえば自分もご飯まだだった、待ってて雪歩、今作ってくるから！。子犬にも何か食べさせてあげないとだしね
雪歩,手伝うよ、響ちゃん
響,よーしできた！。ほら、お前の分だ温まるからしっかり食べるんだぞー
子犬,ﾜﾝ！
雪歩,ふふ、私たちも食べようか
響,うん！いただきまーす！
雪歩,いただきます…！おいしい！響ちゃん料理こんなに上手だったんだね…！
響,そ、そうかな？えへへ、なんたって自分カンペキだからね！できないことの方が少ないぞー！
雪歩,ふふ、そういえば料理してるときの響ちゃんってなんだか新婚さんみたいでドキドキしちゃった
響,んぶっ…！？ゲホッゲホッ…い、いきなり何言ってるんだよ雪歩ぉ！
雪歩,わわ、冗談だよ。でも響ちゃんみたいなお嫁さんもらえる人は幸せだね
響,あ、あう…。か、からかわないでよぉ…
雪歩,…ねえ響ちゃん
響,な、なに？
雪歩,はい、あーん
響,うぇっ！？///えっあっ…
雪歩,…
響,うう…//…あーん…
雪歩,えへへ、響ちゃん可愛い
響,うぅぅ…///。あーもう…雪歩ってこういうこと天然でやってるのかわかってやってるのかわかんないぞ…
雪歩,？どうしたの？
響,なっなんでもない！ほら、はやく食べないと冷めちゃうさー！
雪歩,…ご飯食べてる響ちゃんって小動物みたいだなあ
子犬,ｸﾋｭｰ…
雪歩,食べたら寝ちゃったね…弱ってないかな？
響,雪歩が雨から守ってくれたおかげで大丈夫だったぞ！寒くて凍えてたみたいだけど…このまま暖かくしてれば明日には元気になるさー！。にしても、起きたら家の場所こいつに聞いて飼い主探さないとな…
雪歩,えっ…で、でも捨てられてたんだよ…？いいのかな…
響,うーん…捨てたにしても何か理由があったのかもしれないし…。それに、本当にいらなくなって憎くてたまらないなら、拾ってください。…無責任には変わりないけど、保健所に連れて行かずに誰かに拾ってなんてお願いする飼い主に、簡単に諦めてほしくないんだ…おせっかいかな
雪歩,……ううん。私は、響ちゃんの言ってること正しいと思う
響,…えへへ、ありがと雪歩！
雪歩,ひえぁっ！
響,うわっ！？
雪歩,う、うそ…停電…？
響,じっ自分ブレイカー見てくるぞ！雪歩はちょっと待ってて！
雪歩,えっ！？あっ待って響ちゃ…
子犬,ｷｭｩｳｳ…
雪歩,…！。…怖くない、怖くない…うぅ…。遅いよぅ…響ちゃんはやく戻ってきてぇ…
子犬,ｷｭｩ…
雪歩,ひぃっ！…あ…ふ、震えてるの…？。…そっか…今の停電で暖房も切れちゃったから…。あう、ど、どうしよう…！あ、あっためないとだめだよね…あぅう…。暗くてよく見えない…湿ったタオルくらいしかないよ…
子犬,ｳｩ…ｸｩﾝ…
雪歩,う、ううう。…。…待ってて、今暖まれそうなもの探してくるから…。うぅ、でも勝手に響ちゃんのもの使ってもいいのかな、どうしよう…
いぬ美,ﾊﾞｳｯ！
雪歩,。いっ、いやぁあああ！！
いぬ美,……
雪歩,ぅうぅう…や、やっぱり無理、無理だよぉ…戻って響ちゃんを探しにいったほうが…
いぬ美,ﾊﾞｳｯ
雪歩,ひえ……あ
ハム蔵先輩,ヂュイッ！
雪歩,ハ、ハム蔵ちゃん…！
ハム蔵,ヂュヂュイ！
雪歩,こ、言葉がわかるの…？お願い助けて…！
ハム蔵,おう
いぬ美,…
雪歩,ひぃい…
いぬ美,…ﾜｳ
雪歩,…うう
いぬ美,…
雪歩,…あ…。いぬ美ちゃんが、子犬を暖めてくれてる…？
子犬,ｸｩﾝ…ｷｭｳ…
ハム蔵,お嬢、ご主人が戻るまで傍にいてやってくれるか？ヂュイ！。ちょっとご主人探してくるヂュヂュイ！
雪歩,……うん…。…犬、怖いけど…今も震え止まらないけど…でも、傍にいるくらいなら…うう、わたしにもできるから…。大丈夫、大丈夫だからね…
子犬,…ｸｩﾝ…
響,雪歩ッ！！！。ごめんっ、結局ブレーカー直らなくて…！急いで懐中電灯買ってき…。！
ハム蔵,…ヂュイ
雪歩,すぅ…すぅ…
いぬ美,Zzz…
子犬,ｷｭｳｩ…
響,ゆ、雪歩が…いぬ美たちと並んで寝てる…。面妖すぎるぞ…。…はは、もーこれじゃ風邪ひいちゃうんだからな。よいしょ…っと…。…じ、自分も並んで寝てもいいかな？えへへ。………雪歩、よく頑張ったね
雪歩,……んぅ…むにゃ…
響,ふんふふんふー…んがっ！？。どっどうしたんだ雪…
雪歩,ひっ、ひぃい！なななんで私いぬ美ちゃんと寝てるのぉ～！
犬美,ワッフゥ
響,雪歩…昨日雪歩が一緒に寝てたんだぞー…
雪歩,えっえぇぇ～…うぅ、そういえば…
子犬,ｷｬﾝ！
雪歩,ひぃっ！
響,あはは…やっぱり雪歩の犬嫌いは治らないんだな
雪歩,うぅ…き、昨日は夢中で…あ、でも…
子犬,ﾜﾝ！
雪歩,…えへへ…よかった…元気になって…
響,…うん、雪歩のおかげだな
子犬,ﾜｩﾝ
響,こいつも、雪歩にありがとうって言ってるぞ！
雪歩,…うう、そんな、結局何もできてないのに…
響,ううん、雪歩が勇気を出したから、こいつは今ここで元気に生きてるその…自分からもありがとう
子犬,ｸｩﾝ
雪歩,……。…勇気…そうかな…わからないけど、でも…この子が無事で本当によかった…ありがとう、響ちゃん
響,…うぅっ//面と向かってこういうのって照れるぞ…。そ、そうだ！自分今朝ごはん作ってたから、雪歩も食べてって！
雪歩,…うんっ食べたら飼い主探し手伝うよ雨もあがってるみたいだし
響,えっ、いいのかっ！？こいつも一緒なのに…
子犬,ﾜﾝ！
雪歩,うん今日はもうちょっとだけ頑張れそうな気がするから…
響,そっか、じゃあご飯食べたら一緒にいこうな！。……あ、あのさ雪歩
雪歩,なぁに？響ちゃん
響,…えっとね、自分雪歩のこと今までよりもーっともーっと好きになったぞ！…えへへっ
雪歩,！わたしも…！響ちゃんのこと大好きだよ！
雪歩・響,……。…えへへへ///
