原田美世,プロデューサー、ドライブとか興味ない？
P,ドライブ？
美世,あたし、クルマのメンテが好きなんだけど、ドライブも好きなんだ！
P,
美世,ねっ、いいでしょー？
P,
美世,最近レッスンとか営業ばっかりでつまんないからさ
P,
美世,ねっ、たまにはいいでしょ？
P,イカン！
美世,えっ
P,ダメ！
美世,そんなっ
P,ダメなものはダメ！
美世,な、なんで！？
P,まさか、車を運転したりなんかしてないよな！？
美世,えっ、一昨日買い物に行くときに使ったけど
P,んなーっ！。ダメだダメだ！。アイドルが運転なんてアブナイことをしたらイカーン！。事故でもしたらどーするんだ！
美世,そんなヘマしないよ！
P,いーや、とにかく、運転は絶対ダメだ！
美世,そ、そんな。がんばって免許だって取ったのに！
P,免許取ってたって、事故するときは事故っちゃうもんだ！。だから車の運転はダメ！
美世,た、確かにそうかもしれないけどっ、しっかり気をつければ、
P,とにかく！。美世は運転禁止！。少なくともアイドルやってる間はな
美世,そ、そんな……
P,車のカスタムも危ないな、最初に会ったときみたいに、顔にアブラが付いたら一大事だからな。それも禁止だ！
美世,ひ、ひどいよ！ひどすぎるよPさん！
P,これはプロデューサー権限だ！なんと言われようと、僕は自分を曲げないよ！
美世,そんなの、むちゃくちゃじゃん！
P,ええい、じゃあかあしい！キーをよこせ！
美世,やめてよ、鞄触んないで！
P,キーを事務所の金庫に入れてしまえば、どうしようもないだろ！
美世,やめてよ！やめてっ！お願い！
P,これは美世のためでもあるんだ！
美世,そんなのエゴだよっ！。あっ！
P,よし、こいつがキーだな
美世,返してっ！返してよ！
P,ゼハハハ、届くまい届くまい
美世,Pさんのバカー！
P,恨むなら俺を恨んだままでいい、美世
美世,サイテー！ばかっ、あほんだらっ！
P,さーて、金庫金庫
早苗,事案が発生したと聞いて
P,ふぇ？
早苗,……
美世,ううっ、すんすん。Pさんの、Pさんのばかっ……
早苗,……
ちひろ,はっ
P,ファッ！？
早苗,再生
ちひろ,御意
早苗,んーっと。有罪で
P,ちょっ早苗さんこれには海よりも深いわけがオッファ！
早苗,続けてくらえ！ベルリンの赤い雨！
P,ギャアア！
ちひろ,美世ちゃん大丈夫？
美世,うっ、うっ、Pさんがいけないんだ、Pさんが……。ひどすぎるよ、Pさん……信じてたのに……
ちひろ,早苗さーん、もうちょい強めで
早苗,タワーブリッジ！
P,ぐわーっ！。
ちひろ,美世ちゃんはあっちで仁奈ちゃんをモフモフしてますから、もう大丈夫ですよ
早苗,オーケイ、じゃあこっちもはじめよっか。それで、なんで美世ちゃんは泣いてたワケ？
P,そそそそそそれにはですね、深い訳が
早苗,御託はいい
P,ひぎいぃっ！
ちひろ,あっ、般若が見える
早苗,なーんで美世ちゃん、泣いてたのかなぁぁ？。答えによっては四十八の殺人技の全てを見せることになるわよ
P,ぴぃぃ
ちひろ,ま、ま、早苗さん。これじゃあ、あとで始末をする凛ちゃんが喜ぶだけですよ
早苗,だからって！
ちひろ,とりあえず、Pさんは順を追って話していきましょう
P,はいぃ
早苗,ったく！
P,というわけでありまして
早苗,はー
ちひろ,そんなことが
P,ぼ、僕は間違ってないはずですよ！もしも美世がケガなんかしたら！
早苗,まあ、そーやってアイドルのことを思ってあげるのはいいことだけどさあ
ちひろ,さすがに過保護すぎですよね
