【モバマスSS】,過去と欲望とすべての解放
P,･･･ほんとうにお前が？
志希,うん。アタシは君の妹だよっ！よろしく～お兄ちゃん♪
P,ハハ･･･悪い冗談だ。本当に
志希,怖い顔だねー。社長さんから君のこと聞いちゃったからね！
P,･･･あの野郎
志希,違うよ～。確証なんてあるわけないよ。アタシが確かめたかっただけだからね！
P,･･･じゃあ人違いじゃないのか？
志希,ん～ん。多分絶対それはないかな～？
P,なんで
志希,君からマッマの匂いがするから～?
P,･･･は？そんなんあるわけないだろ
志希,ホントだよ～ほら、ハスハス～♪
P,離れろ
志希,わっ。女の子に乱暴しちゃいっけないんだ～
P,･･･出来る限り関わるな。･･･頼むからさ
志希,それもちょっと無理かな～？アタシが君の担当になるんだってさ！。正直飽きたら帰ろうと思ったけどお兄ちゃんの姿見たらさ。やる気出ちゃった！。だから、さ。これからよろしくね？お兄ちゃん
P,そのことは他の奴らに黙っとけ･･･悪夢だ。･･･一ノ瀬志希だ。今日から仲間に入る。みんなよろしく頼む
志希,よ～ろしく～あのさキミキミ。あっちにあった空き部屋つかっていい？
P,･･･宮本Pさんの部屋か。何に使うんだ？許可とりにいくならいくけど
志希,ラボ！あたしお薬の研究してるからさ～！社長も別にいいって！
P,なら問題ないな･･･じゃあ各自動こう
志希,しっかし良い部屋だねここは。発情した女の匂いがいっぱいだ～
泰葉・周子・美優,！？
ほたる,あ。あの一ノ瀬さん。そういうのは余り言うものでは
志希,キミもそうなのに？
ほたる,え？
志希,いい感じに発情してるね。何回も自分慰めたりした？今発情してないのはそこの二人だけ～
乃々・悠貴,えっ
ほたる,えっ。あっあのっ違っ///
P,大丈夫だ。信じてないから
フレ,ね～アタシは～？
志希,いい匂い！
フレ,ありがと～
P,･･･初日から爆弾を放り込むんじゃねえよお前は
志希,どうよこれすごいでしょ～？
P,･･･いや、駄目だろこれは。つーかなんでベッドがあるんだよ。泊まり込みでもすんのかお魔
フレ,あ、これは前からずっとあったよ～？
P,まじかよ。すげえなあの爺
周子,いや～すごいねこりゃ。学校の理科室だわこりゃ
宮本,マッドサイエンティストって感じ～
P,･･･お前ら以外は立入禁止にするか。薬品くさすぎるわ。
周子,アタシらはいいのん？
P,ユニット組むから一応な。来たくなかったら来なくてもいいんじゃね？
志希,あ～ひど～い。キミってつめた～い
P,そう思うなら暖かく思わせるように行動しろよ
志希,無理！
P,･･･フレデリカ、周子。こいつのこと頼むわな。ユニット組むんだから頑張ってね
周子,あいよ～
フレ,飛行船に乗ったつもりでまっかせて～
P,･･･じゃあ俺もちょっと体動かしてくるわ。お前らはレッスンちゃんといけよ。･･･
???,･･･荒れてますねえ。P君
P,あ、菜々さん。お疲れ様です
菜々,･･･あの、さん付けはやめてもらえると、菜々は17歳なので
P,お疲れ様です。･･･あの、何か？ここにアイドルが来るのはよろしくないのでは
菜々,いえね。ちょっとお話が耳に入ったもので。まあ愚痴でも聞いてあげようかなあと思いまして
P,すいません。お気遣いいただいて
菜々,いえいえ～。可愛い後輩のためですよっ！。･･･泰葉ちゃんのことは聞いてます。あと美優ちゃんと心ちゃんが飲みに行った時の話をきいてそのあたりも多少。･･･でも今の状態は関係ないですね？それだけだったらあまり変わりませんし
P,･･･大丈夫ですから。叩くのに戻っていいですか？
菜々,･･･一ノ瀬志希ちゃん
P,！？
菜々,･･･当たりですか。菜々のプロデューサーさんがスカウトした子ですけど、今はP君が担当してるそうで。･･･菜々で良ければ、お話聞きますよ？
P,･･･超プライベートな事なんで勘弁してもらっていいですか？
菜々,･･･じゃあ菜々からアドバイスです。仕事にプライベートを持ち込みすぎるのはいけませんよ？。まあ、おそらく何かあるんでしょうけども、菜々に触れてほしくないレベルの何かが。じゃなかったらP君こんなんになりません。･･･いっそのこと、ビジネス相手として割り切った方がいいと思います。そういう偏見を捨てて仕事してください
P,･･･ありがとうございます菜々さん。ちょっと気が晴れました
菜々,お役に立てて何よりです
P,･･･ついでなんで仕事の話を。今度悠貴と一緒に仕事してもらっていいですか？スケジュール開いてるのは確認してるんですけど
菜々,ええ、もちろん！どんとこいです！悠貴ちゃんとはお仕事したことありますしね！
P,いやあ、助かりましたよ。地区別でその街の坂を全部走り抜けられるかって言う番組企画なんですけど。悠貴の番でして
菜々,･･･え？
P,悠貴のペースに合わせてくれそうな人がいなくって困ってたんですよ。その点菜々さんなら安心ですし？
菜々,あ、いや、その、菜々はですね･･･
P,ほら！17歳ですからね！
菜々,･･･そ、そうですよね！菜々は17歳ですからフレッシュに走りますよ！キャハッ☆
トレーナー,1.2.3.4.5.6.7.8･･･
志希・周子・フレデリカ,･･･
トレーナー,お、来たかP
周子,あれ？トレーニング終わったん？
P,おう
フレ,フレちゃんに悩殺されちゃいに来たの～？
P,志希
志希,･･･な～に？
P,全面的にサポートしてやるからちゃっちゃと二人に追いつけ。お前ならできんだろ？
周子,ちょっとーひどくない？
フレ,これは甘く見られていますぞ！認識改善を要求する～！
志希,･･･にゃはは。ハードルが高いなあ
P,お前ならやる気出せば余裕だろう。さっさとやる気出せ、終わったらなんかおごってやっからさ。
志希,･･･本気？
P,本気も本気、歓迎会まだだしな。お前がやらかしたせいで流れちまった。今ちょっと忙しいから全員は無理だけど最悪二人でもいいだろ
志希,･･･キミは根っこの属性が善なんだね～
P,そんなん言われたことないわ。なんか好きなものがあるか？
志希,辛いものがいいな！特にタバスコ！
