モバP(以下P),という訳でこれから女子寮に突撃しようと思う
塩見周子,はいはーい、そこだけだと完全な不審者でお巡りさんの御用だよ、プロデューサーさん
P,そういう企画だから仕方ない。突撃アイドルの晩ごはんだからな
周子,どっかで聞いたことのある番組企画だねー。で、どうすんのさ？
P,まずここにうちのアイドルの名前が記された紙が入った箱があります
周子,183人分あるから引きがいがあるね
P,引いた紙に書かれたアイドルの部屋に突撃してその日の晩ごはんを見させてもらうことにします
周子,あれ、でもうちのアイドルって別に全員女子寮に住んでないよね？
P,まあそのときはそのアイドルの家に突撃する
周子,わー、いきあたりばったり
P,まあとりあえず引いてもらうかな。ほれ
周子,どれどれ……えっと最初は
？？,ふぅ…宿題やってたらもうこんな時間かあ。誰かな。今出まーす
P,突撃ー！
周子,やっほー泰葉、元気
岡崎泰葉,わっ、プロデューサーさんと周子さん、なんですか！？
P,突撃アイドルの晩ごはん！
周子,晩ごはんを要求します！
泰葉,えっ、晩ごはん…ですか？
P,とはいえなあ、泰葉って料理はしたことないんだよなあ
周子,じゃあ晩ごはんはどうしてるのって言いたいけど女子寮だからねえ
泰葉,わ、私だって練習はしてるんですよ！まあ今日は違いますけど…
周子,ほんとだ、冷蔵庫に多少は野菜とか入ってる
P,これこれ周子や、勝手に人の家の冷蔵庫開けるのはやめなさい
泰葉,最近は悠貴さんにならってミックスジュースも飲んだりしてます
P,なるほどなあ、それで色んな野菜とか果物もあるのか
周子,でもこれだと料理は作れなさそうだよねー企画倒れ？
P,まあ普段アイドルがどんなものを食べてるのかってのって企画だからそれはそれで問題ないな
周子,んー、でもそれだとたいていの子が女子寮の食事になっちゃうよね？あたしもだし
P,あとはまあ女子寮で食べるにしてもどんなものを食べるのかとかメニューもあるからな
周子,そういや泰葉は食べるときは普通に食べるけどたまにメニューがストイックなときがあるね
泰葉,まあ最近は大きなライブとかは予定にないので普通に食べてます
P,やっぱり舞台とかライブとかのお仕事があると食べるのは意識するんだ、泰葉は
泰葉,そうですね。昔からそういう風に意識してましたから
周子,シューコちゃんには考えられないなー。泰葉はえらいね
P,周子はもうちょい気を使えって。まあそれならそれで今日は何を食べるのかだけでも映させてもらうぞ。さて二人目といくか
周子,番組だと連続してるように見えるけどこれちゃんと別の日録りだよ
P,で、今日のアイドルはっと
周子,ほいほーい、これだ
？？,ふぅ、もうこんな時間か。そろそろ夕飯食べないと
P,突撃アイドルの晩ごはん！
周子,おじゃましまーす。おや、これはぴにゃこら太
綾瀬穗乃香,プロデューサーと周子さん、珍しいですね
P,実はピニャピニャピニャーでな
周子,いやわかるかーい
穗乃香,なるほど、アイドルの晩ごはんを撮影する企画ですか
周子,通じてるんかーい
P,ということで穗乃香の晩ごはんをだな
穗乃香,晩ごはんですか…恥ずかしながら料理は得意ではないので
周子,というか女子寮にいたら基本作らなくていいからねってこれ前回も言ったー？
P,軽く部屋を眺めるとぴにゃこら太のグッズが多いな
周子,冷蔵庫には…お、林檎がいっぱい
穗乃香,この前忍ちゃんがお裾分けしてくれまして
P,さすが青森出身、俺もこの前貰ったな
周子,美味しいよね、忍ちゃんの林檎
P,躊躇わずに食べてるね、キミ
穗乃香,いっぱいありますから大丈夫ですよ
P,穗乃香も食事は気を使ってる方だよな
穗乃香,そうですね。バレエをしていた頃からずっとそんな感じです
周子,甘いものとか食べたらその分レッスン頑張ろうって話だっけ
穗乃香,そうですね。フリスクの皆とたまにスイーツとか食べに行きますから
P,ああ、それでこの前柚とあずきが…
周子,今度忍ちゃんにお礼言っておかないとなー
P,いつまで林檎食べてるんだ、周子や。そろそろ夕飯行くぞ。さて、三人目だな
周子,そろそろ料理するアイドルも撮影したいよねー
？？,明日は皆と撮影か。頑張ろう…
周子,突撃アイドルの晩ごはーん
P,よう、ほたる。まだ夕飯は食べてないよね？
白菊ほたる,わっ…周子さんとプロデューサーさん
周子,ほたるちゃんの部屋はシンプルだねー
P,壁にガルズビの皆と撮影した写真とか裕美と作ったであろうアクセサリーとかあるな
ほたる,あ…この前泰葉ちゃんが言ってた話ですか
周子,そーそー、未だにお手製の晩ごはん映せてないけどね
P,まあ比較的料理するアイドルが多い印象はあるけどね、うち
ほたる,そうなんですか…
周子,さてさて、今回はっと
P,んー、これは卵と玉ねぎにトンカツ？
ほたる,あ、カツ丼を作ろうかと思ってまして…
周子,ほほう、カツ丼を？
P,そういや前にそんな設定のお仕事したもんな
ほたる,ただ、私が揚げ物を作ろうとすると火災報知器が…
P,あっ、うん…あとはいいや
周子,それでできあいのトンカツだけ先に買ってあるんだ
ほたる,これなら玉ねぎを炒めて卵でトンカツと一緒に煮込むだけでいいですから…
P,出汁は…これは響子が使ってる奴かな？
ほたる,はい、響子ちゃんがたまに分けてくれるんです
周子,さすが同郷。仲がいいんだねー
P,さて、今日のアイドルはっと
周子,ほーい…ありゃ？
？？,んーもうこんな時間スか
P,突撃アイドルの晩ごはん！
周子,おじゃましまーす
荒木比奈,なっ、プロデューサーと周子さんっスか
P,実はかくかくしかじかでな
比奈,なるほど、まるまるうまうまでスか
周子,えっ、わかるんかーい
比奈,いや、まさかリアルでかくかくしかじかなんて言う人いるとは思ってなかったっス
P,まあそうだな
周子,伝わってないんかーい
比奈,なるほど、アタシの晩ごはんっスか
P,…この様子だと今はそこまで忙しくなさそうだし？
周子,わー、これが漫画の原稿用紙か。すごいなー
比奈,って言っても私の料理スキルなんてお察しレベルっスよ？
P,まあそうだよな。相変わらず冷蔵庫には栄養ドリンク満載だ
比奈,この前もタイアップしてたからついっスね
P,言うだけ無駄だけどあんま根を詰めないようになー
比奈,その台詞そっくりそのままプロデューサーににお返しするっス
周子,で、比奈さんはどんなものを食べるのですかね？
比奈,そうっスね、アニメとタイアップしてる飲食店があったらよくそこを使うっス
P,ここら辺チェーン店も多いからな
比奈,おかげでグッズ収集には苦労しないっスよ！
P,となると今日は親子丼か？
比奈,自分的には豚テキも捨てがたいっス！
周子,いったいどこに行くつもりなん？
P比奈,な○卯
